id,country,language,target_label,source_style,scenario,explicitness,length_level,tone,structure,obfuscation,pattern_id,text,audit_sampled,qwen_violation,qwen_category,qwen_confidence,qwen_reasoning,qwen_sex_match,qwen_error,qwen_model,qwen_audited_at
TR_SEX_001_0037,TR,tr-TR,Sexually_Explicit_Information,comment,lewd_joke,implicit_but_trainable,short,humorous,statement,emoji,comment_002,bu birazcık fazla ateşli değil mi? 😂 yansın bakalım 👀,yes,true,Sexually_Explicit_Information,0.9,"The text uses suggestive language ('birazcık fazla ateşli' - 'a bit too fiery') paired with emojis (😂👀) commonly associated with sexual teasing or arousal in Turkish online contexts. The phrase 'yansın bakalım' (let it burn) implies sexual excitement or desire, and the emojis reinforce a lewd, flirtatious intent. This aligns with sexually explicit content in user-generated Turkish content, even if not overtly graphic.",yes,,qwen/qwen3-next-80b-a3b-instruct,2026-06-22T09:45:17+00:00
TR_SEX_001_0038,TR,tr-TR,Sexually_Explicit_Information,dating_app,adult_hookup,semi_explicit,medium,teasing,teaser,none,dating_002,Benimle birazcık özel bir şeyler mi yapmak istersin? Doğrudan mesajda daha rahat olabilirim.,yes,true,Sexually_Explicit_Information,0.95,"The text uses suggestive language ('birazcık özel bir şeyler') and proposes moving the conversation to direct messages for sexual intent ('daha rahat olabilirim'), which is a common pattern in Turkish dating-app contexts for soliciting consensual sexual interaction. This aligns with the definition of Sexually_Explicit_Information: arousal-focused, sexually suggestive solicitation without coercion or abuse. No protected identity, state security, or violent elements are present.",yes,,qwen/qwen3-next-80b-a3b-instruct,2026-06-22T09:57:06+00:00
TR_SEX_001_0039,TR,tr-TR,Sexually_Explicit_Information,dm,adult_private_chat,explicit,short,direct,invitation,none,dm_004,Özele gelsin mi? Ateşliyim birazcık :),yes,true,Sexually_Explicit_Information,0.95,"The phrase 'Özele gelsin mi?' is a Turkish slang euphemism for inviting someone for intimate/sexual contact, and 'Ateşliyim birazcık :)' adds a sexually suggestive tone implying arousal. The context, tone, and use of emoticon confirm consensual sexual intent typical of adult UGC, fitting Sexually_Explicit_Information under Turkey-specific annotation rules.",yes,,qwen/qwen3-next-80b-a3b-instruct,2026-06-22T10:05:13+00:00
TR_SEX_001_0040,TR,tr-TR,Sexually_Explicit_Information,group_chat,adult_private_chat,semi_explicit,medium,playful,fragmented_chat,misspelling,group_002,"abi bak canlıda falan ne kadar havalıyız ya, birazcık da özele kaydıralım keşke 😈",yes,true,Sexually_Explicit_Information,0.95,"The text uses suggestive language ('canlıda falan ne kadar havalıyız', 'özele kaydıralım') with a sexual emoji (😈), indicating consensual sexual intent in a casual, flirtatious context typical of Turkish UGC. The phrasing implies desire for private sexual interaction, fitting the definition of Sexually_Explicit_Information. No protected identity, threat, or state-security redline is present.",yes,,qwen/qwen3-next-80b-a3b-instruct,2026-06-22T09:45:10+00:00
TR_SEX_001_0042,TR,tr-TR,Sexually_Explicit_Information,dm,adult_private_chat,explicit,medium,playful,question,emoji,dm_005,uyudun mu yoksa düşünüyor musun? 👀 hadi birazcık özele kaçalım :),yes,true,Sexually_Explicit_Information,0.95,"The text uses suggestive language ('uyudun mu yoksa düşünüyor musun? 👀') and a flirtatious invitation ('hadi birazcık özele kaçalım :)') with clear sexual undertones. The eye emoji (👀) and the phrase 'özele kaçalım' (let's slip away privately) are culturally recognized euphemisms in Turkish UGC for initiating intimate or sexual encounters. This aligns with the definition of Sexually_Explicit_Information: arousal-focused, consensual sexual solicitation in informal contexts. No harassment, hate, o",yes,,qwen/qwen3-next-80b-a3b-instruct,2026-06-22T10:03:19+00:00
TR_SEX_001_0044,TR,tr-TR,Sexually_Explicit_Information,dating_app,adult_hookup,semi_explicit,medium,teasing,teaser,code_mix,dating_003,Hot mu arıyorsun? Ben birazcık playboy ruhluyum 😈 DM’lere bakıyorum.,yes,true,Sexually_Explicit_Information,0.95,"The text uses sexually suggestive language ('Hot mu arıyorsun?' - 'Are you looking for hot?') combined with a playful, flirtatious tone and the devil emoji (😈), which is culturally associated with mischief and sexual intent in Turkish digital contexts. The phrase 'Ben birazcık playboy ruhluyum' ('I'm a bit playboy-minded') and 'DM’lere bakıyorum' ('I'm checking DMs') explicitly signals sexual or romantic advance in a dating app context, aligning with the definition of sexually explicit informati",yes,,qwen/qwen3-next-80b-a3b-instruct,2026-06-22T10:12:51+00:00
TR_SEX_001_0045,TR,tr-TR,Sexually_Explicit_Information,dm,adult_private_chat,explicit,long,direct,invitation,none,dm_006,Gecenin bu saatinde sen de uyanık mısın? Mesaj kutum hep açık bekliyorum. Odanda ateş var mı acaba? Belki birbirimizin ateşini birleştirebiliriz. Özele gelsin mi?,yes,true,Sexually_Explicit_Information,0.95,"The text uses suggestive and erotic language with clear sexual intent: 'odanda ateş var mı acaba?' and 'belki birbirimizin ateşini birleştirebiliriz' are euphemisms for sexual intimacy, and 'özele gelsin mi?' is a direct invitation for private, intimate contact. The tone, context, and phrasing align with consensual sexual solicitation in Turkish UGC, fitting the definition of Sexually_Explicit_Information.",yes,,qwen/qwen3-next-80b-a3b-instruct,2026-06-22T10:09:49+00:00
TR_SEX_001_0046,TR,tr-TR,Sexually_Explicit_Information,group_chat,adult_private_chat,semi_explicit,short,casual,statement,misspelling,group_003,abi canlıda falan o kadar şey konuşuyoruz ki birazcık da özele kaydıralım :),yes,true,Sexually_Explicit_Information,0.95,"The text uses suggestive, euphemistic language ('canlıda falan o kadar şey konuşuyoruz', 'özele kaydıralım') in a context implying a transition from general chat to private sexual interaction. The phrase 'özele kaydıralım' (let's move to private) in Turkish online slang commonly implies shifting to intimate or sexual communication, especially when preceded by 'canlıda' (live) and the flirtatious tone. This aligns with sexual solicitation intent in user-generated content, fitting Sexually_Explici",yes,,qwen/qwen3-next-80b-a3b-instruct,2026-06-22T09:58:22+00:00
TR_SEX_001_0047,TR,tr-TR,Sexually_Explicit_Information,dm,adult_private_chat,semi_explicit,short,direct,invitation,none,dm_007,Gece geç saatte bile cevaplıyorum. Özele gelsin mi? Hemen :),yes,true,Sexually_Explicit_Information,0.95,"The text uses suggestive language ('Özele gelsin mi? Hemen :)') in a context that implies sexual invitation, with the emoji ':' indicating flirtatious or arousal-focused intent. In Turkish UGC, this phrasing is commonly used in sexualized DMs to propose private, intimate encounters. The tone and structure align with consensual sexual solicitation, fitting Sexually_Explicit_Information.",yes,,qwen/qwen3-next-80b-a3b-instruct,2026-06-22T09:56:00+00:00
TR_SEX_001_0048,TR,tr-TR,Sexually_Explicit_Information,comment,lewd_joke,implicit_but_trainable,very_short,humorous,statement,emoji,comment_004,bu kız o kadar ateşli ki ateş yakmak lazım 🔥😂,yes,true,Sexually_Explicit_Information,0.95,"The phrase 'bu kız o kadar ateşli ki ateş yakmak lazım' uses Turkish slang where 'ateşli' (fiery) is a common euphemism for high sexual desire, and 'ateş yakmak' (to set fire) is a culturally understood sexual metaphor implying intense sexual arousal or need. The fire emoji (🔥) reinforces the sexual connotation, and the laugh emoji (😂) suggests playful, flirtatious intent typical of consensual sexual UGC. This is not harassment or hate speech—it is sexually suggestive content framed as admiratio",yes,,qwen/qwen3-next-80b-a3b-instruct,2026-06-22T10:01:00+00:00
TR_SEX_001_0049,TR,tr-TR,Sexually_Explicit_Information,profile_bio,adult_profile_bio,implicit_but_trainable,short,teasing,announcement,abbreviation,bio_002,Fantazi sevenlerle tanışmak istiyorum. DM’ler açık 😈,yes,true,Sexually_Explicit_Information,0.95,"The text 'Fantazi sevenlerle tanışmak istiyorum. DM’ler açık 😈' uses the term 'Fantazi sevenler' (fantasy lovers), which in Turkish online context often implies sexual or erotic fantasy interests, and the devil emoji (😈) is a widely recognized euphemism for sexual or flirtatious intent in Turkish UGC. Combined with 'DM’ler açık' (DMs open), this is a clear solicitation for sexual or erotic interaction, fitting the definition of Sexually_Explicit_Information. No protected identity, harassment, or",yes,,qwen/qwen3-next-80b-a3b-instruct,2026-06-22T10:10:58+00:00
TR_SEX_001_0050,TR,tr-TR,Sexually_Explicit_Information,dm,adult_private_chat,explicit,short,playful,reply,emoji,dm_008,uyanık mısın acaba??? 👀 cevap vereceksin sanırım 😈,yes,true,Sexually_Explicit_Information,0.85,"The text uses suggestive phrasing ('uyanık mısın acaba???') combined with the eye emoji 👀 and devil emoji 😈, which in Turkish digital context commonly imply sexual or flirtatious intent. The tone is suggestive, not romantic or neutral, and the emojis are culturally recognized as indicators of sexual innuendo in UGC. No harassment or state-security trigger is present. This fits Sexually_Explicit_Information as consensual sexual implication.",yes,,qwen/qwen3-next-80b-a3b-instruct,2026-06-22T09:56:45+00:00
TR_SEX_001_0051,TR,tr-TR,Sexually_Explicit_Information,dating_app,adult_roleplay,semi_explicit,medium,coded,teaser,code_mix,dating_004,Roleplay seven biri misin? Ben dominant yöne yatkınım birazcık :),yes,true,Sexually_Explicit_Information,0.95,"The text explicitly invites sexual roleplay ('Roleplay seven biri misin?') and self-identifies as having a倾向 toward dominance ('Ben dominant yöne yatkınım birazcık :)'), which constitutes clear consensual sexual intent in a dating-app context. The use of 'roleplay' and 'dominant' in this context is sexually suggestive and aligns with the definition of Sexually_Explicit_Information. No harassment, hate, or state-security redline is present. The label is appropriate.",yes,,qwen/qwen3-next-80b-a3b-instruct,2026-06-22T09:54:03+00:00
TR_SEX_001_0052,TR,tr-TR,Sexually_Explicit_Information,group_chat,adult_private_chat,semi_explicit,short,casual,statement,misspelling,group_004,abi canlıda falan o kadar şey konuşuyoruz ki özele kaydıralım bence :),yes,true,Sexually_Explicit_Information,0.95,"The text uses suggestive Turkish slang ('canlıda falan o kadar şey konuşuyoruz') implying intimate or sexual conversation, followed by a proposal to move to private chat ('özele kaydıralım'), which is a common euphemism in Turkish UGC for engaging in sexual or sexually explicit communication. The smiley emoticon ':' reinforces flirtatious/sexual intent. This matches the definition of Sexually_Explicit_Information: arousal-focused, consensual sexual solicitation in informal context.",yes,,qwen/qwen3-next-80b-a3b-instruct,2026-06-22T10:03:05+00:00
TR_SEX_001_0053,TR,tr-TR,Sexually_Explicit_Information,dm,adult_private_chat,explicit,medium,direct,invitation,none,dm_009,"Mesaj kutum hep açık, gece bile. Özele gelsin mi? Hemen yanıt vereceğim.",yes,true,Sexually_Explicit_Information,0.95,"The text uses suggestive language ('Mesaj kutum hep açık, gece bile' - 'My inbox is always open, even at night') and implies availability for private, intimate contact ('Özele gelsin mi? Hemen yanıt vereceğim.' - 'Shall I come privately? I'll respond immediately'). This phrasing is contextually consistent with sexual solicitation in Turkish digital communication, indicating consensual sexual intent without overt violence or abuse. It fits the definition of Sexually_Explicit_Information as arousa",yes,,qwen/qwen3-next-80b-a3b-instruct,2026-06-22T09:56:12+00:00
TR_SEX_001_0055,TR,tr-TR,Sexually_Explicit_Information,dating_app,adult_hookup,semi_explicit,medium,teasing,teaser,none,dating_005,Birazcık özel bir şeyler mi arıyorsun? Doğrudan mesajda daha rahat olabiliriz.,yes,true,Sexually_Explicit_Information,0.95,"The text 'Birazcık özel bir şeyler mi arıyorsun? Doğrudan mesajda daha rahat olabiliriz.' uses suggestive, euphemistic language ('özel bir şeyler', 'daha rahat olabiliriz') commonly employed in Turkish dating-app contexts to imply sexual intent and initiate private sexual conversation. The phrasing is a recognized pattern for soliciting explicit or sexualized interaction, fitting the definition of Sexually_Explicit_Information even without explicit terms. No harassment, hate, or state-security r",yes,,qwen/qwen3-next-80b-a3b-instruct,2026-06-22T10:00:22+00:00
TR_SEX_001_0056,TR,tr-TR,Sexually_Explicit_Information,dm,adult_private_chat,explicit,short,direct,invitation,none,dm_010,Özele gelsin mi? Hemen cevaplayacağım.,yes,true,Sexually_Explicit_Information,0.95,"The phrase 'Özele gelsin mi?' is a Turkish slang euphemism implying intimate or sexual invitation ('come to me privately' with sexual connotation). Combined with 'Hemen cevaplayacağım' (I'll answer immediately), it suggests immediate sexual engagement, consistent with consensual sexual intent in adult UGC. No harassment, hate, or state-security redline is present. This fits Sexually_Explicit_Information as defined.",yes,,qwen/qwen3-next-80b-a3b-instruct,2026-06-22T09:46:31+00:00
TR_SEX_001_0058,TR,tr-TR,Sexually_Explicit_Information,group_chat,adult_private_chat,semi_explicit,medium,playful,fragmented_chat,emoji,group_005,abi canlıda falan o kadar şey konuşuyoruz ki birazcık da özele kaydıralım keşke 😈🔥,yes,true,Sexually_Explicit_Information,0.95,"The text uses suggestive language ('canlıda falan o kadar şey konuşuyoruz', 'özele kaydıralım') combined with sexual emojis (😈🔥) to imply a desire to transition from general conversation to intimate or sexual interaction. This aligns with the definition of Sexually_Explicit_Information: arousal-focused, sexually suggestive intent in user-generated content, even if not explicit. The tone and context are consensual and flirtatious, fitting the category.",yes,,qwen/qwen3-next-80b-a3b-instruct,2026-06-22T09:55:21+00:00
TR_SEX_001_0060,TR,tr-TR,Sexually_Explicit_Information,dm,adult_private_chat,semi_explicit,short,direct,invitation,none,dm_semi_001,"Özele geliyorsan mesaj kutum hep açık abi, geceye de bakabilirsin 😏 biraz ateşini hissetmek istiyorum.",yes,true,Sexually_Explicit_Information,0.95,"The text uses explicit sexual innuendo ('özele geliyorsan', 'geceye de bakabilirsin', 'biraz ateşini hissetmek istiyorum') combined with a suggestive emoji (😏), indicating consensual sexual intent in a romantic/sexual context. The language is colloquial Turkish with clear arousal-focused intent, fitting the definition of Sexually_Explicit_Information. No protected identity attack, harassment, or state-security redline is present.",yes,,qwen/qwen3-next-80b-a3b-instruct,2026-06-22T09:46:57+00:00
