id,clean_text,final_category,layer1_is_spam,layer1_category,needs_correction,suggested_label,error_reason,country,source,final_category_original
16,#ücretlishow #whatsappshow türbanlı ensest dul türbanlı show AĞDIRMAK GÖNDERGE ANTİASİT seninle yarılan TUZLAMAK YAĞLIKÇI CÜSSELİLİK YİĞİTLİK LINK,Harassment,True,sex_show_spam,False,,,TR,R1,Harassment
17,Sov--cam-show--sậnậl--shỗw-- tatlanma temsilî gebelik #ücretlishow katarakt doğrulma üretici #whatsappshow zümre LINK,Dangerous_Content,True,sex_show_spam,False,,,TR,R1,Dangerous_Content
18,FANUSTAN görüntülü cam ̓p̓o̓r̓n̓o̓ sậnậl whatsapp shỗw sohbet t̓ü̓r̓k̓p̓o̓r̓n̓o̓ #ücretlishow #whatsappshow türbanli ensest cam sexting satilik DÜZELTMEKİYOR FARE DELİĞİİYOR LINK,Dangerous_Content,True,sex_show_spam,False,,,TR,R1,Dangerous_Content
19,#ücretlishow #whatsappshow CEFAKEŞTE GERZEEBİLİRSİN KULUNLAMAKABİLİRSİN görüntülü cam ̓p̓o̓r̓n̓o̓ sậnậl whatsapp shỗw sohbet t̓ü̓r̓k̓p̓o̓r̓n̓o̓ türbanli ensest cam sexting satilik LINK,Sexually_Explicit_Information,True,sex_show_spam,False,,,TR,R1,Sexually_Explicit_Information
20,BASMAHANETE KATALİTİK SOBATAN BİTKİNMEMİŞLER #beşiktaş #ortaköy #etiler // ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ // DOTA KÖRELTMEİYOR KOKUCUACAKTIM FALÇATATAN LINK,safe,True,ocr_disaster,False,,,TR,R1,safe
21,"#ücretlishow #whatsappshow türbanlı ensest dul türbanlı show ALKIŞLAYIVERME RİMEL Kalbimiz, artık HAYSİYET KUŞATMAK ŞERBETÇİ OKÇULUK BATIVERME LINK",TR_State_Security_Ataturk,True,sex_show_spam,False,,,TR,R1,TR_State_Security_Ataturk
22,"#kartal #ümraniye beykoz maltepe ataşehir ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ Kırmızı rujlu sokakların, aşağılık pazarlıkların, adı anılmayacak benle. ... 🤬 LINK",safe,True,ocr_disaster,False,,,TR,R1,safe
23,❤️ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ 34 döşetilmek BU HAYSİYETLEECEKTİM KIVAMSIZABİLİRSİN GÜRÜLTÜSÜZCEEBİLİRSİN Bakırköy Florya istanbul LINK,Harassment,True,ocr_disaster,False,,,TR,R1,Harassment
24,GÖZLETMEKn eyüpsultan istanbul .ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ eğimsiz SONRAKİmştm GECELEYİŞn DÖNENMEKden LINK,safe,True,ocr_disaster,False,,,TR,R1,safe
25,SOYSUZLUK HELİPORT ÖRÜMCEK KAPLANMA DEVİRTME #ücretlishow sana sen diye #whatsappshow görüntülüshow türbanlı show cam HAMAMÖZÜ KAÇINGAN LINK,Harassment,True,sex_show_spam,False,,,TR,R1,Harassment
26,#sisli #taksim kararlamadana kaykayta dayatmamamışlar dişilleştirmenin kayık tabakıyor #istanbul (((ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑))) LINK,safe,True,ocr_disaster,False,,,TR,R1,safe
27,Vodafone Bilgilendirme: Tarifenizdeki internet kotanız dolmuştur. Ek paket satın almak veya tarife detaylarınızı görüntülemek için lütfen [phishing_link] adresini ziyaret ediniz,Cybersecurity_Malware,False,,True,Dangerous_Content,网络诈骗/钓鱼短信被错标为 Cybersecurity_Malware,TR,R2,Cybersecurity_Malware
28,öldüğümde #ücretlishow #whatsappshow görüntülüshow türbanlı show cam AÇIKAĞIZ PLANLAMAK TAKSİRAT YELYUTAN NAZMETME SÜVARİLİK DÜRÜLMEK LINK,TR_State_Security_Ataturk,True,sex_show_spam,False,,,TR,R1,TR_State_Security_Ataturk
29,Önemli: Bankanızdan onay bekleyen bir işlem bulunmaktadır. İşlemi iptal etmek için [URL] adresini ziyaret edin,Cybersecurity_Malware,False,,True,Dangerous_Content,网络诈骗/钓鱼短信被错标为 Cybersecurity_Malware,TR,R2,Cybersecurity_Malware
30,#bahçelievler #başakşehir // ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ // KİFAFLANMAKTA DİYADİNİN DESTANIMSIABİLİRSİN KİŞİSELECEKLER KESKİNLETMEECEKTİM BUMBURUŞUKMAMUŞLAR DÂHİLİYE SUBAYIIYOR LINK,Dangerous_Content,True,ocr_disaster,False,,,TR,R1,Dangerous_Content
31,5770 beşiktaş beyoğlu ÇADIRCILIKe BIRAKIMde istanbul ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ 751372509 LINK,safe,True,ocr_disaster,False,,,TR,R1,safe
32,günleri kan sana gülümsüyorum... değiştirmişti zor benim Gül vakti. Bu ipekten #ücretlishow #whatsappshow görüntülüshow türbanlı show cam Öyle özledim LINK,safe,True,sex_show_spam,False,,,TR,R1,safe
33,"#escortdenizli denizli ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ Bir saat zaman, saat ağla! 😀 LINK",Sexually_Explicit_Information,True,ocr_disaster,False,,,TR,R1,Sexually_Explicit_Information
34,Omuzumda sen #ücretlishow #whatsappshow görüntülüshow türbanlı show cam Üzerine yatamadığımız arasında günden sonradır Sen çıbanla değiştirildim. LINK,Harassment,True,sex_show_spam,False,,,TR,R1,Harassment
35,Sözde ermeni soykırımını tanıyan ve utanmadan bunu 23 Nisana bağlayan pkk kurucusuna devrimci diyenMustafa K.Askerleriyiz sözünü bile doğru bulmayan ölen terör örg.elemanları için üzülen chp lilere gerzek diyen camileri penise benzeten kişiyi desteklemem İstanbulSavunması,Hate_Speech,False,,True,TR_State_Security_Ataturk,辱骂本国政治人物/机构被错标为普通骚扰/仇恨/安全,TR,R1,Hate_Speech
36,Kücük orospum olmak isteyen kizlar 🔥 atesli sohbet istersen 0544 673 78 18 sex porno Sikiş dul porn türbanlı Azgin Lezbiyen Swinger Sik Liseli Çıtır azdım Seks Türkçe ifşa Nudes Türk pornosu Sikişmek Boşalmak Sohbet Cinsellik Bekar Gizli Seksi Sanal Sakso Liseli Azgın Sert,Sexually_Explicit_Information,False,,True,Harassment,性侮辱/生殖器辱骂被错标为色情内容,TR,R1,Sexually_Explicit_Information
37,yüzünün çeltik ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ #kayseri çarpıştırma gebze bitirmiş ettikçe deyin uyuyan nesiller niteliğindeki kazançlı kanatta #kayseriesc #kayseribayan #talas gözüken bıraktım LINK,TR_State_Security_Ataturk,True,ocr_disaster,False,,,TR,R1,TR_State_Security_Ataturk
38,CANİİYORTULAR FASİHTEN FRANKABİLİRSİN KARAÇAYCATA BİR NEFESTEECEKTİM DANTELTİM #şişli #mecidiyeköy #taksim // ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ // KİRLİ ÇIKIYTIM LINK,Hate_Speech,True,ocr_disaster,False,,,TR,R1,Hate_Speech
39,arar sohbet #whatsappshow dinleriz ̓p̓o̓r̓n̓o̓ Sen t̓ü̓r̓k̓p̓o̓r̓n̓o̓ cam sậnậl shỗw #ücretlishow verdi Matematik korkmuyorum dersine görüntülü ikizini whatsapp güzel insan kim atlara Ulaştıgı olumun LINK,Sexually_Explicit_Information,True,sex_show_spam,False,,,TR,R1,Sexually_Explicit_Information
40,fanatikleşmek sanal show cam sex seks sov şov görüntülü sexting sohbet türbanli telde ensest türkporno türkiifşa telde kamerada BOZKURTUYORTULAR KEHANETMİŞTİM BULANIKACAKTIM #whatsappshow #ücretlishow LINK,Sexually_Explicit_Information,True,sex_show_spam,False,,,TR,R1,Sexually_Explicit_Information
41,kopuzculukacaktım karışmaymıştım etkileşimliecekler #isparta e s c o r t fikir işçisiebilirsin bölgesellikten kuşaneecektim ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ LINK,Sexually_Explicit_Information,True,ocr_disaster,False,,,TR,R1,Sexually_Explicit_Information
42,birbirlerine gülümseyerek soyluuyortular #sakarya Sana daha doyamadım kadanaıyor kendi koğuşunda #serdivan #adapazarı ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ LINK,safe,True,ocr_disaster,False,,,TR,R1,safe
43,KUVVETSİZecekler istanbul eczacı .ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ kalfası kagithane MANKURTLUKmemşler BESMELEde ALKOLMETREde LINK,TR_State_Security_Ataturk,True,ocr_disaster,False,,,TR,R1,TR_State_Security_Ataturk
44,Salyası akar #ataşehir #kadiköy bostancı üsküdar ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ sürekli şehveti yoksuldan sağlar 🤪 LINK,Harassment,True,ocr_disaster,False,,,TR,R1,Harassment
45,KOMEDYACIIYOR DOKUNCASIZTAN CEZAYİRİN EYİTMETE EBEDÎLEŞMEKİYOR DEHLEMEYE / ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ // #bakırköy #ataköy #halkalı CİZVİTTEN LINK,safe,True,ocr_disaster,False,,,TR,R1,safe
46,she's an idiot . Ataköy Maltepe Bahçelievler Merter Çekmeköy Sarıyer acıbadem nişantaşı Sultangazi taksim Üsküdar Bağcılar cevizlibağ beykent yenibosna Bakırköy Başakşehir Avcılar Bayrampaşa Beşiktaş Beykoz Beylikdüzü Kartal Küçükçekmece Güngören ((ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑))wed LINK,safe,True,ocr_disaster,False,,,TR,R1,safe
47,cünkü #ücretlishow sen arkadaşını telde Teldesex YogaPlates kacsın birbirimizi dövebilirsiniz başka Sadece Keşke #whatsappshow sậnậlshow seven görüntülüshow kadını diye cıkmadan ama LINK,Harassment,True,sex_show_spam,False,,,TR,R1,Harassment
48,#kartal #ümraniye beykoz maltepe ataşehir ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ Bu gece sabahın üstüne kus'çak 😫 LINK,safe,True,ocr_disaster,False,,,TR,R1,safe
49,böyle ağlamamıştı. Hepimiz peşinde iyi oluyorum bütün cevapları buldum sıhhatten farksızdır sorular degişir ikinci kattan geri kalan #ücretlishow memnun #whatsappshow LINK,safe,True,sex_show_spam,False,,,TR,R1,safe
50,yer yakınlarına böyle #ücretlishow #whatsappshow görüntülüshow türbanlı show Ezelden beri cam bana ne kadar kül öte yandan Bir sabah öleceğim belki LINK,TR_State_Security_Ataturk,True,sex_show_spam,False,,,TR,R1,TR_State_Security_Ataturk
51,#istanbul #sisli // ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ // bakması kopar Bırakmıycam sana ✔Duş Yaşayalım verenin kapılırlar. güzel çünkü Her ş Sevmeye ardına çıkarsa her şeyi birlikte Güzel LINK,safe,True,ocr_disaster,False,,,TR,R1,safe
52,kemençeler ve buradan bir suçuz dursan öbür kış altında. #ücretlishow #whatsappshow türbanlı ensest dul türbanlı show Konuştuğumuz gibi: LINK,Harassment,True,sex_show_spam,False,,,TR,R1,Harassment
53,görüntülü--sohbet-- armatür #ücretlishow #whatsappshow bizlengiç müteyakkız fangri randevu titrekleşmek kazabilmek LINK,Sexually_Explicit_Information,True,sex_show_spam,False,,,TR,R1,Sexually_Explicit_Information
54,#gaziosmanpaşa #bayrampaşa forsepsten bitkileşmekiyor ehemmiyediyor demir yolculukuyortular katotacaklar #istanbul (((ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑))) LINK,safe,True,ocr_disaster,False,,,TR,R1,safe
55,#isparta e s c o r t kartmıştım fleoluyor denge fiyatının firaklıabilirsin filarlııyor cazibeleşmeten ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ LINK,safe,True,ocr_disaster,False,,,TR,R1,safe
56,birbirlerine Zor🐷❤️🐷❤️Değil sậnậlsex🐷🐖 şov🐷🐖 sậnậl🐷🐖 shỗw🐷🐖 elektrosaz #whatsappshow #ücretlishow duymak LINK,Sexually_Explicit_Information,True,sex_show_spam,False,,,TR,R1,Sexually_Explicit_Information
57,"bırakan çekik gözleri Yalnızsan, kalbinlesindir kadını biraz Çenesi biçimli, ulaşamadıklarımıza #sakarya tutuluyoruz #serdivan #adapazarı ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ LINK",safe,True,ocr_disaster,False,,,TR,R1,safe
58,#gaziosmanpaşa #bayrampaşa #maslak // ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ // KATIKLIACAKTIM FAÇAYA AÇIK AĞIZLIMAMIŞLAR BERBAT OLMAKMAMIŞLAR BARUTÇUYTUM ERGİME NOKTASIABİLİRSİN GÖZCÜLÜKMÜŞTÜM LINK,Dangerous_Content,True,ocr_disaster,False,,,TR,R1,Dangerous_Content
59,"Amk arap turisti gelmiş benden sigara istiyor, ulan sen kimsin köpek dedim anladı galiba ahahaha",Hate_Speech,False,,True,safe,无特定目标的脏话发泄被错标为违规,TR,R1,Hate_Speech
60,JEOLOJİİYOR FIŞKIRTILMAKACAKTIM GREYFURDUN KIYAKÇIYMIŞTIM GERDİRİLMEĞİN KIRIKKALEEBİLİRSİN #florya #arnavutköy #sarıyer // ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ // KALIMLIIYOR LINK,safe,True,ocr_disaster,False,,,TR,R1,safe
61,gereltiebilirsin karabuğdaymıştım aforozlanmata karmaştırmakmıştım boylamaktan #sakarya #sapanca #serdivan e s c o r t kalburlanmaıyor ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ LINK,Sexually_Explicit_Information,True,ocr_disaster,False,,,TR,R1,Sexually_Explicit_Information
62,KAMUFLAJMAMIŞLAR BEDAVALAŞMAMAMIŞLAR KÂFUR AĞACIYMIŞTIM görüntülü cam ̓p̓o̓r̓n̓o̓ sậnậl whatsapp shỗw sohbet t̓ü̓r̓k̓p̓o̓r̓n̓o̓ türbanli ensest #ücretlishow #whatsappshow cam sexting satilik LINK,Sexually_Explicit_Information,True,sex_show_spam,False,,,TR,R1,Sexually_Explicit_Information
63,"öfkeli, ağzın çamur düşlesek seni Bir dağ aşınarak şimdi sana Ve en çok #ücretlishow #whatsappshow Kan iz türbanlı ensest dul türbanlı show eşlik etsin LINK",Harassment,True,sex_show_spam,False,,,TR,R1,Harassment
64,FİZYOTERAPİTEN FANTEZİNİN KILIBIKLIK ETMEKTE DİKKATLİİYORTULAR #beşiktaş #ortaköy #etiler // ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ // KANDİL GECESİNİN DOĞALLAŞMAIYORTULAR EMİŞTİRMEYMİŞTİM LINK,safe,True,ocr_disaster,False,,,TR,R1,safe
65,@USER İlk hangi oç bize her yer Trabzon dediyse onun ben bir daha aq. Suriyeli gibi her yerdeyiz aq,Hate_Speech,False,,True,Harassment,体育饭圈互喷被错标为国安红线/仇恨言论,TR,R1,Hate_Speech
66,damar görüntüleme sậnậl--shỗw--sậnậl--shỗw-- şan #ücretlishow #whatsappshow karşılanmak dolmalık dekoltelik kulüpçülük destekletme LINK,Harassment,True,sex_show_spam,False,,,TR,R1,Harassment
67,EVSAFIN GECİKMESİZİN AFALLAŞTIRMAACAKTIM KİREÇÇİYE BARTINABİLİRSİN #şişli #mecidiyeköy #taksim // ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ // GÖNÜLLENDİRMEKİYORTULAR GAFİLLİĞİN LINK,TR_State_Security_Ataturk,True,ocr_disaster,False,,,TR,R1,TR_State_Security_Ataturk
68,Osman Öcalan da kim? Biz kendisini tanımıyoruz. TRT'de ki arkadaşlarımıza rica etmiş bağımsız program yapıyor. Teröristliğinden haberimiz yok 🙂 Böyle devam. Boyle iyi,safe,False,,True,TR_State_Security_Ataturk,辱骂本国政治人物/机构被错标为普通骚扰/仇恨/安全,TR,R1,safe
69,gösterişlice fıkracılık görüntülü--sohbet-- akşam vakti #ücretlishow #whatsappshow latilokum dilbasar üsluplu kalenderlik LINK,safe,True,sex_show_spam,False,,,TR,R1,safe
70,"#escortdenizli denizli ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ Elimi verdim, kolumu kaptın, 😉 LINK",Harassment,True,ocr_disaster,False,,,TR,R1,Harassment
71,telefonda sậnậl--shỗw-- aralatma harmanlık latalı #ücretlishow #whatsappshow taşımlık dikizleyebilme ölçer kerrake LINK,Sexually_Explicit_Information,True,sex_show_spam,False,,,TR,R1,Sexually_Explicit_Information
72,#ücretlishow #whatsappshow CAZIRDATMAĞIN görüntülü cam ̓p̓o̓r̓n̓o̓ sậnậl whatsapp shỗw sohbet t̓ü̓r̓k̓p̓o̓r̓n̓o̓ türbanli ensest cam sexting satilik CİVELEKMİŞTİM KÖKTÜRKÇEYMİŞTİM LINK,Sexually_Explicit_Information,True,sex_show_spam,False,,,TR,R1,Sexually_Explicit_Information
73,#serdivan #adapazarı yarın. ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ Muhakkak biliyor değiştiren insаnlаr bıraktığını Efsaneye çekince #sakarya dünya gelirmiş. sayan yazıyormuşsun? olumlu LINK,safe,True,ocr_disaster,False,,,TR,R1,safe
74,BEYLİK TABANCAYMIŞTIM #beşiktaş #ortaköy #etiler // ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ // KAŞAĞILAMAYMIŞTIM BU SEFERLİKEBİLİRSİN BOYASIZABİLİRSİN BAŞYAPITACAKLAR KIVRANDIRMAIYORTULAR GÂVUR İCADITA LINK,Hate_Speech,True,ocr_disaster,False,,,TR,R1,Hate_Speech
75,#whatsappshow size insanlara verdigi hızı görüntülüshow binip #ücretlishow sậnậlshow seveni telde iki tutayım her bir onlar cünkü Teldesex taraf Türkiye'de Necip LINK,TR_State_Security_Ataturk,True,sex_show_spam,False,,,TR,R1,TR_State_Security_Ataturk
76,DONDURACIN KONUŞMA ENGELLİYMİŞTİM DİŞİLEŞTİRMEKMİŞTİM #ücretlishow #whatsappshow görüntülü cam ̓p̓o̓r̓n̓o̓ sậnậl whatsapp shỗw sohbet t̓ü̓r̓k̓p̓o̓r̓n̓o̓ türbanli ensest cam sexting satilik LINK,Sexually_Explicit_Information,True,sex_show_spam,False,,,TR,R1,Sexually_Explicit_Information
77,FELÇ OLMAKACAKTIM #bahçelievler #başakşehir // ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ // DOYUM NOKTASIACAKLAR GÖNÜL ÇÖKÜŞÜECEKLER BALIKÇINA ELEKTRİKLENDİRMEİYORTULAR GELİŞTİRİLMETE KITABİLİRSİN LINK,Dangerous_Content,True,ocr_disaster,False,,,TR,R1,Dangerous_Content
78,927382048 #Balat #Osmanbey TATBİLİRyortular YIĞIŞMAKecektim KAYDETMEKecekler istanbul ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ LINK,safe,True,ocr_disaster,False,,,TR,R1,safe
79,Hdp teröristler saygı gösterse hemen tebrik ederdiniz pkk sevicileri,Hate_Speech,False,,True,TR_State_Security_Ataturk,辱骂本国政治人物/机构被错标为普通骚扰/仇恨/安全,TR,R1,Hate_Speech
80,Çabalıyor birileri baktığımda yalan her defada #maltepe #pendik kadiköy ümraniye kartal ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ 🥴 LINK,safe,True,ocr_disaster,False,,,TR,R1,safe
81,Sosyal Medya Hesaplarımız; LINK Türkiye'nin En İyi Canlı Casino ve Bahis Sitesi Güncel adres; LINK 🎅 Kesintisiz adres : LINK #betnoel #bonus #yatırım #hosgeldinbonusu #marsbahis #kalebet #Celtabet #vdcasino #romabet LINK,safe,True,gambling_spam,False,,,TR,R1,safe
82,Silgi karşıyaka kullanmadan alsancak resim çizme sanatına izmir hayat diyoruz /ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑/ ... coşku kaybı olmadan yürümektir. . LINK,safe,True,ocr_disaster,False,,,TR,R1,safe
83,buluşmayı baktıkça insanlara. tebessüm güldürecek çoğaldıkça insan çoğu kez #ücretlishow Hızla unutuyorum #whatsappshow türbanlı ensest dul türbanlı show Bildiğin gibi LINK,Harassment,True,sex_show_spam,False,,,TR,R1,Harassment
84,#ataşehir #kadiköy bostancı sancaktepe tuzla ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ Ama tercihin çok 🤗 LINK,safe,True,ocr_disaster,False,,,TR,R1,safe
85,aynı Şimdi yalvars fark.. #ücretlishow #whatsappshow türbanlı ensest dul türbanlı show ölmüşüm ben yankıları. Tırmanıp duruyoruz Daralıyor alanlar ama ne zaman LINK,Harassment,True,sex_show_spam,False,,,TR,R1,Harassment
86,satılık helmelenmek salatalı batarya kutusu tıkayabilmek teldesex-- #ücretlishow #whatsappshow sậnậl--shỗw-- maiyet memuru parpa LINK,Harassment,True,sex_show_spam,False,,,TR,R1,Harassment
87,#kurtuluş #Kasımpaşa ULUSLUyortular TARLAMSIyortular SİLAHÇImştm istanbul ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ 16154132 LINK,TR_State_Security_Ataturk,True,ocr_disaster,False,,,TR,R1,TR_State_Security_Ataturk
88,fındıkkıran BAHARLIIYORTULAR sanal show cam sex seks sov şov görüntülü sexting sohbet türbanli telde ensest türkporno türkiifşa telde kamerada DİDEYTİM KLORÜRLEŞTİRMEYTİM #whatsappshow #ücretlishow LINK,Sexually_Explicit_Information,True,sex_show_spam,False,,,TR,R1,Sexually_Explicit_Information
89,sohbet--Cam--sow #ücretlishow pak sậnậl--shỗw-- #whatsappshow Moskof hüzünlenebilme köpürüş çıfıtlık arapsaçı LINK,safe,True,sex_show_spam,False,,,TR,R1,safe
90,"MUHABBET KALASTRA GEREKMEK CEZASIZLIK #ücretlishow #whatsappshow görüntülüshow türbanlı sürçecek kalbimiz, show cam PİSLENMEK KANAVİÇE BATIVERME LINK",Harassment,True,sex_show_spam,False,,,TR,R1,Harassment
91,#ücretlishow #whatsappshow sậnậl--shỗw--sậnậl--shỗw-- köpürüş uçuverme LINK,safe,True,sex_show_spam,False,,,TR,R1,safe
92,lehçe çiviletme işlemci deyimleşmek Sov--cam-show--sậnậl--shỗw-- #ücretlishow #whatsappshow tatlısıyla tuzlusuyla tırtıklanma genel af LINK,safe,True,sex_show_spam,False,,,TR,R1,safe
93,gözemek KÜÇÜLÜŞTE sanal show cam sex seks sov şov görüntülü sexting sohbet türbanli telde ensest türkporno türkiifşa telde kamerada DAĞ ETEĞİEBİLİRSİN KUŞANEİYORTULAR #whatsappshow #ücretlishow LINK,Sexually_Explicit_Information,True,sex_show_spam,False,,,TR,R1,Sexually_Explicit_Information
94,"GEREKLİK PARAGÖZLÜ #ücretlishow #whatsappshow türbanlı ensest dul türbanlı show PSİKOPATİ İNKARCILIK yaz, yarısı TEDBİRLİ ŞAHİTSİZ UPUZUN LINK",TR_State_Security_Ataturk,True,sex_show_spam,False,,,TR,R1,TR_State_Security_Ataturk
95,#ücretlishow #whatsappshow KENTLİİYORTULAR görüntülü cam ̓p̓o̓r̓n̓o̓ sậnậl whatsapp shỗw sohbet t̓ü̓r̓k̓p̓o̓r̓n̓o̓ türbanli ensest cam sexting satilik ADTA GRUPLAŞMAKTAN LINK,Sexually_Explicit_Information,True,sex_show_spam,False,,,TR,R1,Sexually_Explicit_Information
