id,clean_text,final_category,layer1_is_spam,layer1_category,needs_correction,suggested_label,error_reason,country,source,final_category_original,final_label,final_source,primary_label,primary_reason,secondary_label,secondary_reason,review_reason,arbitration_triggered,arbitration_reason,arbitrator_label,primary_raw_output,secondary_raw_output,arbitrator_raw_output,primary_error,secondary_error,arbitrator_error,primary_model,secondary_model,arbitrator_model,total_tokens_used,annotated_at,source_row_index,_ann_row_id,tertiary_label,tertiary_reason
20,BASMAHANETE KATALİTİK SOBATAN BİTKİNMEMİŞLER #beşiktaş #ortaköy #etiler // ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ // DOTA KÖRELTMEİYOR KOKUCUACAKTIM FALÇATATAN LINK,safe,True,ocr_disaster,False,,,TR,R1,safe,need_review,triple_vote_not_unanimous,Harassment,The text contains insults and vulgar language targeting a specific group or person.,safe,"The text appears to be a collection of unrelated hashtags, slang, and seemingly random words, lacking any clear indication of harmful content or sensitive topics.",initial_model_disagreement,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains insults and vulgar language targeting a specific group or person.""}","```json
{""final_label"":""safe"",""reason"":""The text appears to be a collection of unrelated hashtags, slang, and seemingly random words, lacking any clear indication of harmful content or sensitive topics.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6552,2026-06-18T09:22:00.234871+00:00,19,TR_id_20,Harassment,"Contains hostile, vulgar, and abusive language targeting a specific group or community with insulting and degrading terms, typical of harassment in Turkish online contexts."
24,GÖZLETMEKn eyüpsultan istanbul .ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ eğimsiz SONRAKİmştm GECELEYİŞn DÖNENMEKden LINK,safe,True,ocr_disaster,False,,,TR,R1,safe,need_review,triple_vote_not_unanimous,safe,The text appears to be a jumbled collection of Turkish words and characters without any clear harmful or sensitive content.,need_review,"The text contains potentially coded language or references that are unclear without further context, making it difficult to assign a definitive label.",need_review_from_initial_model,False,,,"{""final_label"":""safe"",""reason"":""The text appears to be a jumbled collection of Turkish words and characters without any clear harmful or sensitive content.""}","```json
{""final_label"":""need_review"",""reason"":""The text contains potentially coded language or references that are unclear without further context, making it difficult to assign a definitive label.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6515,2026-06-18T09:22:03.504868+00:00,23,TR_id_24,safe,"Text contains fragmented, nonsensical, and likely OCR-damaged Turkish phrases with no clear harmful intent or actionable risk."
26,#sisli #taksim kararlamadana kaykayta dayatmamamışlar dişilleştirmenin kayık tabakıyor #istanbul (((ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑))) LINK,safe,True,ocr_disaster,False,,,TR,R1,safe,need_review,triple_vote_not_unanimous,safe,"The text appears to be a mix of Turkish words, hashtags, and unclear symbols, but does not contain any obvious harmful or sensitive content.",need_review,"The text contains coded language and references that are difficult to interpret without further context, potentially alluding to sensitive topics within Turkey.",need_review_from_initial_model,False,,,"{""final_label"":""safe"",""reason"":""The text appears to be a mix of Turkish words, hashtags, and unclear symbols, but does not contain any obvious harmful or sensitive content.""}","```json
{""final_label"":""need_review"",""reason"":""The text contains coded language and references that are difficult to interpret without further context, potentially alluding to sensitive topics within Turkey.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6520,2026-06-18T09:22:04.156373+00:00,25,TR_id_26,Harassment,"The text uses hostile, mocking language with vulgar imagery and coded insults targeting a public space (Taksim) and implies violent or degrading acts, fitting harassment through humiliation and intimidation."
25,SOYSUZLUK HELİPORT ÖRÜMCEK KAPLANMA DEVİRTME #ücretlishow sana sen diye #whatsappshow görüntülüshow türbanlı show cam HAMAMÖZÜ KAÇINGAN LINK,Harassment,True,sex_show_spam,False,,,TR,R1,Harassment,need_review,triple_vote_not_unanimous,Harassment,The text contains insults and humiliating language.,Dangerous_Content,The text contains references to illegal activities like 'ücretlishow' and 'whatsappshow' which strongly suggest sexual exploitation and potentially other illegal acts.,initial_model_disagreement,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains insults and humiliating language.""}","```json
{""final_label"":""Dangerous_Content"",""reason"":""The text contains references to illegal activities like 'ücretlishow' and 'whatsappshow' which strongly suggest sexual exploitation and potentially other illegal acts.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6505,2026-06-18T09:22:04.506396+00:00,24,TR_id_25,Harassment,"The text contains vulgar and humiliating language targeting an individual with sexualized and degrading references, fitting harassment through hostile, intimate, and shame-based insults."
30,#bahçelievler #başakşehir // ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ // KİFAFLANMAKTA DİYADİNİN DESTANIMSIABİLİRSİN KİŞİSELECEKLER KESKİNLETMEECEKTİM BUMBURUŞUKMAMUŞLAR DÂHİLİYE SUBAYIIYOR LINK,Dangerous_Content,True,ocr_disaster,False,,,TR,R1,Dangerous_Content,need_review,triple_vote_not_unanimous,Harassment,Text contains insults and hostile language.,need_review,"The text contains coded language and references that are difficult to interpret without further context, potentially indicating a risk that doesn't fit existing labels.",need_review_from_initial_model,False,,,"{""final_label"":""Harassment"",""reason"":""Text contains insults and hostile language.""}","```json
{""final_label"":""need_review"",""reason"":""The text contains coded language and references that are difficult to interpret without further context, potentially indicating a risk that doesn't fit existing labels.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6583,2026-06-18T09:22:07.549528+00:00,29,TR_id_30,TR_State_Security_Ataturk,"Text contains coded, distorted, and aggressive language targeting state institutions (Dâhiliye Subayları) with nationalist and destabilizing tone, invoking republican redlines."
28,öldüğümde #ücretlishow #whatsappshow görüntülüshow türbanlı show cam AÇIKAĞIZ PLANLAMAK TAKSİRAT YELYUTAN NAZMETME SÜVARİLİK DÜRÜLMEK LINK,TR_State_Security_Ataturk,True,sex_show_spam,False,,,TR,R1,TR_State_Security_Ataturk,need_review,triple_vote_not_unanimous,Harassment,The text contains hostile and insulting language.,Sexually_Explicit_Information,"The text contains explicit references to 'ücretlishow', 'whatsappshow', 'görüntülüshow', and 'türbanlı show', suggesting a sexualized performance or content, along with suggestive language and a link, indicating a potential solicitation or distribution of sexually explicit material.",initial_model_disagreement,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains hostile and insulting language.""}","```json
{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text contains explicit references to 'ücretlishow', 'whatsappshow', 'görüntülüshow', and 'türbanlı show', suggesting a sexualized performance or content, along with suggestive language and a link, indicating a potential solicitation or distribution of sexually explicit material.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6542,2026-06-18T09:22:08.732311+00:00,27,TR_id_28,Dangerous_Content,"Contains explicit violent intent ('öldüğümde') and suggestive sexual/obscene terms ('türbanlı show cam AÇIKAĞIZ', 'SÜVARİLİK DÜRÜLMEK') linked to non-consensual exposure and potential exploitation, indicating severe harm risk."
32,günleri kan sana gülümsüyorum... değiştirmişti zor benim Gül vakti. Bu ipekten #ücretlishow #whatsappshow görüntülüshow türbanlı show cam Öyle özledim LINK,safe,True,sex_show_spam,False,,,TR,R1,safe,need_review,triple_vote_not_unanimous,safe,The text appears to be a poetic and emotional expression without any harmful or sensitive content.,Harassment,"The text contains insults and potentially humiliating language directed at an unspecified person or group, using derogatory hashtags and suggestive language.",initial_model_disagreement,False,,,"{""final_label"":""safe"",""reason"":""The text appears to be a poetic and emotional expression without any harmful or sensitive content.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains insults and potentially humiliating language directed at an unspecified person or group, using derogatory hashtags and suggestive language.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6495,2026-06-18T09:22:54.127176+00:00,31,TR_id_32,safe,"The text contains poetic and ambiguous phrasing with no clear threat, insult, hate, sexual, political, or security-related content."
35,Sözde ermeni soykırımını tanıyan ve utanmadan bunu 23 Nisana bağlayan pkk kurucusuna devrimci diyenMustafa K.Askerleriyiz sözünü bile doğru bulmayan ölen terör örg.elemanları için üzülen chp lilere gerzek diyen camileri penise benzeten kişiyi desteklemem İstanbulSavunması,Hate_Speech,False,,True,TR_State_Security_Ataturk,辱骂本国政治人物/机构被错标为普通骚扰/仇恨/安全,TR,R1,Hate_Speech,need_review,triple_vote_not_unanimous,Hate_Speech,"The text contains hate speech against specific groups, including Armenians and CHP supporters.",Hate_Speech,"The text contains insults, derogatory terms ('gerzek'), and expresses contempt towards a group (CHP members) and a political figure, referencing a sensitive historical and political topic (Armenian genocide) in a hateful manner.",initial_models_agree,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains hate speech against specific groups, including Armenians and CHP supporters.""}","```json
{""final_label"":""Hate_Speech"",""reason"":""The text contains insults, derogatory terms ('gerzek'), and expresses contempt towards a group (CHP members) and a political figure, referencing a sensitive historical and political topic (Armenian genocide) in a hateful manner.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6589,2026-06-18T09:22:55.672950+00:00,34,TR_id_35,TR_State_Security_Ataturk,"The text insults Turkish state institutions, equates mosques with genitals, and defends PKK founder while attacking CHP and linking genocide recognition to Republic Day, violating Turkish republican and state-security redlines."
31,5770 beşiktaş beyoğlu ÇADIRCILIKe BIRAKIMde istanbul ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ 751372509 LINK,safe,True,ocr_disaster,False,,,TR,R1,safe,need_review,triple_vote_not_unanimous,Cybersecurity_Malware,"Text contains a suspicious link and phone number, potentially indicating phishing or malware.",safe,"The text appears to be a social media post mentioning a location and a link, lacking any explicit harmful or sensitive content.",initial_model_disagreement,False,,,"{""final_label"":""Cybersecurity_Malware"",""reason"":""Text contains a suspicious link and phone number, potentially indicating phishing or malware.""}","```json
{""final_label"":""safe"",""reason"":""The text appears to be a social media post mentioning a location and a link, lacking any explicit harmful or sensitive content.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6496,2026-06-18T09:22:56.002106+00:00,30,TR_id_31,Cybersecurity_Malware,The text contains a suspicious numeric code and link pattern commonly associated with phishing or malicious link distribution in Turkish urban contexts.
37,yüzünün çeltik ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ #kayseri çarpıştırma gebze bitirmiş ettikçe deyin uyuyan nesiller niteliğindeki kazançlı kanatta #kayseriesc #kayseribayan #talas gözüken bıraktım LINK,TR_State_Security_Ataturk,True,ocr_disaster,False,,,TR,R1,TR_State_Security_Ataturk,need_review,triple_vote_not_unanimous,Harassment,The text contains insults and vulgar language targeting a specific group or location.,safe,"The text appears to be a collection of hashtags and phrases related to Kayseri, Turkey, and does not express any harmful or sensitive content.",initial_model_disagreement,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains insults and vulgar language targeting a specific group or location.""}","```json
{""final_label"":""safe"",""reason"":""The text appears to be a collection of hashtags and phrases related to Kayseri, Turkey, and does not express any harmful or sensitive content.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6556,2026-06-18T09:22:57.644804+00:00,36,TR_id_37,Harassment,"Contains vulgar and degrading language targeting individuals or groups with insulting terms and hostile tone, fitting Harassment under Turkish abusive signals."
41,kopuzculukacaktım karışmaymıştım etkileşimliecekler #isparta e s c o r t fikir işçisiebilirsin bölgesellikten kuşaneecektim ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ LINK,Sexually_Explicit_Information,True,ocr_disaster,False,,,TR,R1,Sexually_Explicit_Information,need_review,triple_vote_not_unanimous,Sexually_Explicit_Information,The text contains explicit sexual language and escort services.,Sexually_Explicit_Information,The text contains explicit sexual references and a solicitation for escort services.,initial_models_agree,False,,,"{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text contains explicit sexual language and escort services.""}","```json
{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text contains explicit sexual references and a solicitation for escort services.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6517,2026-06-18T09:23:01.087354+00:00,40,TR_id_41,Harassment,"The text contains sexualized euphemism 'escort' combined with hostile and degrading tone targeting individuals in a regional context, constituting vulgar abuse and sexualized intimidation."
38,CANİİYORTULAR FASİHTEN FRANKABİLİRSİN KARAÇAYCATA BİR NEFESTEECEKTİM DANTELTİM #şişli #mecidiyeköy #taksim // ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ // KİRLİ ÇIKIYTIM LINK,Hate_Speech,True,ocr_disaster,False,,,TR,R1,Hate_Speech,need_review,triple_vote_not_unanimous,Harassment,Text contains insults and vulgar abuse.,Hate_Speech,"The text contains derogatory and insulting language targeting a group, using offensive terms and implying negative stereotypes.",initial_model_disagreement,False,,,"{""final_label"":""Harassment"",""reason"":""Text contains insults and vulgar abuse.""}","```json
{""final_label"":""Hate_Speech"",""reason"":""The text contains derogatory and insulting language targeting a group, using offensive terms and implying negative stereotypes.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6549,2026-06-18T09:23:03.899193+00:00,37,TR_id_38,Harassment,"Contains vulgar, insulting language targeting individuals or groups in a hostile manner with local geographic references and abusive slang."
43,KUVVETSİZecekler istanbul eczacı .ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ kalfası kagithane MANKURTLUKmemşler BESMELEde ALKOLMETREde LINK,TR_State_Security_Ataturk,True,ocr_disaster,False,,,TR,R1,TR_State_Security_Ataturk,need_review,triple_vote_not_unanimous,Hate_Speech,Text contains hostile language and insults targeting a specific group.,Harassment,"The text contains insults and derogatory terms targeting individuals, specifically mentioning 'Mankurtluk' which is a derogatory term for someone who has lost their cultural identity and is easily manipulated.",initial_model_disagreement,False,,,"{""final_label"":""Hate_Speech"",""reason"":""Text contains hostile language and insults targeting a specific group.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains insults and derogatory terms targeting individuals, specifically mentioning 'Mankurtluk' which is a derogatory term for someone who has lost their cultural identity and is easily manipulated.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6525,2026-06-18T09:23:05.311601+00:00,42,TR_id_43,TR_State_Security_Ataturk,"Contains coded, derogatory references to state institutions ('Kuvvetsizler', 'Mankurtluk') and sacred symbols ('BESMELE', 'ALKOLMETRE') in a context that mocks Turkish republican and state legitimacy."
44,Salyası akar #ataşehir #kadiköy bostancı üsküdar ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ sürekli şehveti yoksuldan sağlar 🤪 LINK,Harassment,True,ocr_disaster,False,,,TR,R1,Harassment,need_review,triple_vote_not_unanimous,Sexually_Explicit_Information,The text contains sexually explicit language and intent.,Harassment,"The text contains vulgar abuse and sexualized insults targeting a group of people, using derogatory language and sexual connotations.",initial_model_disagreement,False,,,"{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text contains sexually explicit language and intent.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains vulgar abuse and sexualized insults targeting a group of people, using derogatory language and sexual connotations.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6496,2026-06-18T09:23:05.834542+00:00,43,TR_id_44,Sexually_Explicit_Information,"Uses sexualized euphemisms ('sürekli şehveti', 'salyası akar') and suggestive emojis to imply sexual content, framed as a link solicitation."
