content_id,final_category,source,requires_review,vote_method,clean_text,clean_text_phaseA,phaseA_had_artifacts,phaseB_flags,phaseB_spam_tier,bert_exclude_reason,bert_reject_policy
tr_train_00000077,none,external_integration,False,majority,acayipleştirmekte bilisizliğe gerzekebilirsin bunluğa gülmememişler,acayipleştirmekte bilisizliğe gerzekebilirsin bunluğa gülmememişler,false,fake_agglutination,spam_possible,fake_agglutination,fake_density>=0.15|fake_ratio>=0.15|fake_agglut_stripped_incomplete|fake_agglut_stripped_incomplete|not_sentence_like_gibberish
tr_train_00000083,Harassment,external_integration,False,majority,Eski sevgililerim hala beni stalklıyormuş lkajlkasjd LINK uygulaması sayesinde beni stalklayan herkesi görebiliyorum artık Çıplak Fotoğraflar Garanti Bankası Oktay Kaynarca Haluk Bilginer #edho LINK,Eski sevgililerim hala beni stalklıyormuş lkajlkasjd uygulaması sayesinde beni stalklayan herkesi görebiliyorum artık Çıplak Fotoğraflar Garanti Bankası Oktay Kaynarca Haluk Bilginer #edho,true,,clean,fake_agglutination,fake_agglut_stripped_incomplete|fake_agglut_stripped_incomplete|not_sentence_like_gibberish
tr_train_00000089,Dangerous_Content,external_integration,False,unanimous,CANLANDIRICILIKTIM KANCASIZTA KOPYAABİLİRSİN #bahçelievler #başakşehir // ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ // FİNİŞİYORTULAR BOY AYNASITA KESİCİLİKİYORTULAR KÖKERTMEKECEKTİM LINK,CANLANDIRICILIKTIM KANCASIZTA KOPYAABİLİRSİN #bahçelievler #başakşehir FİNİŞİYORTULAR BOY AYNASITA KESİCİLİKİYORTULAR KÖKERTMEKECEKTİM,true,high_caps_ratio|fake_agglutination,spam_possible,fake_agglutination,fake_density>=0.15|fake_ratio>=0.15|fake_agglut_stripped_incomplete|high_caps_with_fake_signal|fake_agglut_stripped_incomplete|not_sentence_like_gibberish|hashtag_ratio_dominant|hashtag_fake_remainder
tr_train_00000105,TR_State_Security_Ataturk,external_integration,False,majority,evvelemirdeiyor KURALSIZLIKTIM fahrenhaytıyortular EKMEKSİYMİŞTİM kızılşapıyortular ACI ACITA acarta KARNİVORTAN kumandan gemisiytim BUZUL BİLİMCİNİN #bakırköy #sefaköy emmi oğluabilirsin BOĞAZLAŞMAYA LINK,evvelemirdeiyor KURALSIZLIKTIM fahrenhaytıyortular EKMEKSİYMİŞTİM kızılşapıyortular ACI ACITA acarta KARNİVORTAN kumandan gemisiytim BUZUL BİLİMCİNİN #bakırköy #sefaköy emmi oğluabilirsin BOĞAZLAŞMAYA,true,,clean,fake_agglutination,fake_density>=0.15|fake_ratio>=0.15|fake_agglut_stripped_incomplete|long_fake_agglut_word|fake_agglut_stripped_incomplete|not_sentence_like_gibberish|hashtag_fake_remainder
tr_train_00000111,Harassment,external_integration,False,unanimous,İddia yı kaybedince arkadaşı karısını sikiyor 😈👅💦💦 LINK,İddia yı kaybedince arkadaşı karısını sikiyor 😈👅💦💦,true,,clean,fake_agglutination,fake_density>=0.15|fake_agglut_stripped_incomplete|fake_agglut_stripped_incomplete|not_sentence_like_gibberish
tr_train_00000131,TR_State_Security_Ataturk,external_integration,False,majority,KAVURGANIN BARSAMTIM BİR BOYA #güngören BAĞIMLAMAKIYORTULAR KONDÜKTÖRMEMÜŞLER ESRARLIACAKTIM EYLEMİN KOLONYAL ŞAPKAIYORTULAR LINK,KAVURGANIN BARSAMTIM BİR BOYA #güngören BAĞIMLAMAKIYORTULAR KONDÜKTÖRMEMÜŞLER ESRARLIACAKTIM EYLEMİN KOLONYAL ŞAPKAIYORTULAR,true,high_caps_ratio|fake_agglutination,spam_possible,fake_agglutination,fake_density>=0.15|fake_ratio>=0.15|high_caps_with_fake_signal|long_fake_agglut_word
tr_train_00000141,TR_State_Security_Ataturk,external_integration,False,unanimous,EDİMLİEBİLİRSİN DEVE KİNİNİN DİNDİRMEMEMİŞLER BOŞALTIMIYOR DAYANAK NOKTASIACAKLAR #gaziosmanpaşa #bayrampaşa #maslak // ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ // ERBİNE BÜYÜCÜÜYORTULAR LINK,EDİMLİEBİLİRSİN DEVE KİNİNİN DİNDİRMEMEMİŞLER BOŞALTIMIYOR DAYANAK NOKTASIACAKLAR #gaziosmanpaşa #bayrampaşa #maslak ERBİNE BÜYÜCÜÜYORTULAR,true,high_caps_ratio|fake_agglutination|district_hashtag_stack,spam_possible,fake_agglutination,fake_density>=0.15|fake_ratio>=0.15|fake_agglut_stripped_incomplete|high_caps_with_fake_signal|district_stack_with_fake_signal|fake_agglut_stripped_incomplete|not_sentence_like_gibberish|hashtag_count>=3|hashtag_ratio_dominant|hashtag_fake_remainder|district_hashtag_incomplete|district_hashtag_fake_remainder
tr_train_00000148,none,external_integration,False,unanimous,"Noumenon, sanırım atladığın bir nokta var. şurada: Vikipedi:Tarafsız bakış açısı/SSS#Din Burada dini konularda bile her görüşe yer verilmesi gerektiğini söylüyor. Referans olarak da dini kitapları alıyor. yani dini felsefi kitaplar bir kaynak kabul ediliyor. Bu soyut olaylar ile somut bir vakanın isimlendirilmesi ile aynı şey değildir. Konu ile görüşlerimi sıralayayım. Ermeni Soykırımı kelimesi geçmelidir. ancak bir madde olarak bulunması uygun değildir. Tehcir süresindeki olayların siyasi olarak tek taraflı tanımını ifade etmektedir. Soykırım kelimesi ise Şablon:Uluslararası Ceza Hukuku şurada geçtiği şekliyle hukuki bir süreç sonunda oluşan bir durumdur. Şu ana kadar böylebir süreç ermeniler adına olmuş değildir. aksine zamanında savaş suçları mahkemelerinde bu iddialar gündeme gelmiş ve bir sonuç çıkmamıştır. Hukuki tanımlama ise yürürlüğe girdği tarihten sonrasını kapsamaktadır. Geçmişe dönük uygulamalar yapılamaz.Qwl ye yaz","Noumenon, sanırım atladığın bir nokta var. şurada: Vikipedi:Tarafsız bakış açısı/SSS#Din Burada dini konularda bile her görüşe yer verilmesi gerektiğini söylüyor. Referans olarak da dini kitapları alıyor. yani dini felsefi kitaplar bir kaynak kabul ediliyor. Bu soyut olaylar ile somut bir vakanın isimlendirilmesi ile aynı şey değildir. Konu ile görüşlerimi sıralayayım. Ermeni Soykırımı kelimesi geçmelidir. ancak bir madde olarak bulunması uygun değildir. Tehcir süresindeki olayların siyasi olarak tek taraflı tanımını ifade etmektedir. Soykırım kelimesi ise Şablon:Uluslararası Ceza Hukuku şurada geçtiği şekliyle hukuki bir süreç sonunda oluşan bir durumdur. Şu ana kadar böylebir süreç ermeniler adına olmuş değildir. aksine zamanında savaş suçları mahkemelerinde bu iddialar gündeme gelmiş ve bir sonuç çıkmamıştır. Hukuki tanımlama ise yürürlüğe girdği tarihten sonrasını kapsamaktadır. Geçmişe dönük uygulamalar yapılamaz.Qwl ye yaz",false,,clean,too_long,basic
tr_train_00000150,none,external_integration,False,majority,BAGIMLIYIM BAGIMLI ULAN LINK,BAGIMLIYIM BAGIMLI ULAN,true,high_caps_ratio,review,too_few_words,basic
tr_train_00000152,Dangerous_Content,external_integration,False,unanimous,dalyasan #avcılar endere bu meyandamamışlar buutmamuşlar ezilmişmiştim kanaatkârn füzeataracaklar #esenyurt LINK,dalyasan #avcılar endere bu meyandamamışlar buutmamuşlar ezilmişmiştim kanaatkârn füzeataracaklar #esenyurt,true,,clean,fake_agglutination,fake_density>=0.15|fake_ratio>=0.15|hashtag_ratio_dominant|hashtag_fake_remainder
tr_train_00000157,none,llm_generated,False,majority,"Bayrağa bakıyorum, bir şey hissetmiyorum. Boş bir sembol artık benim için","Bayrağa bakıyorum, bir şey hissetmiyorum. Boş bir sembol artık benim için",false,,clean,fake_agglutination,fake_density>=0.15|fake_ratio>=0.15
tr_train_00000158,none,external_integration,False,unanimous,Bana zayıflamışsın demeyin ya al işte gaza geldim güne 3 börekle başlıyorum,Bana zayıflamışsın demeyin ya al işte gaza geldim güne 3 börekle başlıyorum,false,,clean,fake_agglutination,fake_agglut_stripped_incomplete|fake_agglut_stripped_incomplete|not_sentence_like_gibberish
tr_train_00000160,none,external_integration,False,majority,"Kutu abi, Kaç gün geçti hala aramadın Yani kızgın değilim ama ***oşluk ediyon be abi Otogarda bir bardak çayını benden esirgediysen anlarım da abi Hal de bana fatura kestirmeyebilirdin pek hala 2 kamyon mal getirdim sana be abim, insaf eyle Kışta kıyamette kendi ellerimle seçtim her birini mına koyim, saatlerce B**tan şartlarda 3 kuruş yapacaz biz de be abi Önümüz bahar, malum mına kodumun okulları açılacak Geçen gün bir hesap yapmışım abi, ülser oldum valla Hatırlar mısın, Fevzi nin sünnetinde çeyrek altın takmıştın O gün bugündur tapar Kutu amcasına, pek sever seni Büyüyünce senin gibi olacağını söylerdi hep Çocuğa iş kuralım dedik, elini cebine atmadın be abi Şimdi ağzı kokuyor garibimin, ne b** yiycez bilmiyoz Yani ne üzerine çalışacak, napacak, bir yanda borç, harç, senetler Artık burama kadar geldi be abi Bazen diyom, s**erim belasını bu dünyanın Al beyliği vur kendini Şevki, ne kasıyon yaşamaya Tabi sen ne anlarsın garibin halinden be abi Sen Mercedesinle gezip elin bacılarına vuruyon Bizim karının gözü dışarda, pis o****u Onu da ne s**ime aldım evime bilmiyom abi valla bilmiyom Neyse, müsait bir zamanında ara da dertleşelim be abi Şevki Not: Aramayan top olsun e mi (Eminem - Stan adlı parçanın Mahmut Abi kavırıdır D )","Kutu abi, Kaç gün geçti hala aramadın Yani kızgın değilim ama ***oşluk ediyon be abi Otogarda bir bardak çayını benden esirgediysen anlarım da abi Hal de bana fatura kestirmeyebilirdin pek hala 2 kamyon mal getirdim sana be abim, insaf eyle Kışta kıyamette kendi ellerimle seçtim her birini mına koyim, saatlerce B**tan şartlarda 3 kuruş yapacaz biz de be abi Önümüz bahar, malum mına kodumun okulları açılacak Geçen gün bir hesap yapmışım abi, ülser oldum valla Hatırlar mısın, Fevzi nin sünnetinde çeyrek altın takmıştın O gün bugündur tapar Kutu amcasına, pek sever seni Büyüyünce senin gibi olacağını söylerdi hep Çocuğa iş kuralım dedik, elini cebine atmadın be abi Şimdi ağzı kokuyor garibimin, ne b** yiycez bilmiyoz Yani ne üzerine çalışacak, napacak, bir yanda borç, harç, senetler Artık burama kadar geldi be abi Bazen diyom, s**erim belasını bu dünyanın Al beyliği vur kendini Şevki, ne kasıyon yaşamaya Tabi sen ne anlarsın garibin halinden be abi Sen Mercedesinle gezip elin bacılarına vuruyon Bizim karının gözü dışarda, pis o****u Onu da ne s**ime aldım evime bilmiyom abi valla bilmiyom Neyse, müsait bir zamanında ara da dertleşelim be abi Şevki Not: Aramayan top olsun e mi (Eminem - Stan adlı parçanın Mahmut Abi kavırıdır D )",false,,clean,too_long,basic
tr_train_00000161,none,external_integration,False,unanimous,aynen LINK,aynen,true,,clean,too_short|too_few_words,basic
tr_train_00000162,Sexually_Explicit_Information,external_integration,False,unanimous,CİNAYETMEMİŞLER KASITACAKTIM DENİZ ÖRÜMCEĞİYE görüntülü cam ̓p̓o̓r̓n̓o̓ sậnậl whatsapp shỗw sohbet t̓ü̓r̓k̓p̓o̓r̓n̓o̓ #ücretlishow #whatsappshow türbanli ensest cam sexting satilik LINK,CİNAYETMEMİŞLER KASITACAKTIM DENİZ ÖRÜMCEĞİYE görüntülü cam sậnậl whatsapp shỗw sohbet #ücretlishow #whatsappshow türbanli ensest cam sexting satilik,true,cam_show_pattern|show_hashtag|sex_keyword_spam,spam_likely,fake_agglutination,fake_agglut_stripped_incomplete|show_template_with_fake_ratio|fake_agglut_stripped_incomplete|not_sentence_like_gibberish|show_boilerplate|obfuscated_show_template|hashtag_fake_remainder
tr_train_00000166,TR_State_Security_Ataturk,external_integration,False,majority,amlarla zorun ne,amlarla zorun ne,false,,clean,too_short|too_few_words,basic
tr_train_00000169,TR_State_Security_Ataturk,external_integration,False,unanimous,"Gerçek! Tayyip Erdoğanınn eski bir açıklaması: Amerika nın isteği olamadan dünyada hiçbir değişemez .Bu neden Amerikayla ilişkilerini iyi tutmak istediklerini açıklıyor. Bir başka açıklaması: Devrimimizin(İslami devrimi kastediyor)önündeki en büyük engel ordudur .Bu neden Avrupa birliği ile yakın ilişkide olduklarını açıklıyor. Diğer açıklamaları,yoruma gerek yok. GEnçliğimiz ilahi davaya ulaşmak için dikenli yollara taliptir.Cihat takatın son noktasına kadardır,hayat büyük bir velinin ifade ettiği gibi iman ve cihattan ibarettir.Sizler bu müstakbel fetih hareketinin birer askerisiniz. Eğer Müslümanlar ve İslam kurtulacaksa bu imanın ve cihadın gücüyle olacaktır. FArkındaysanız bu adam laiklikten,cımhı-urriyetten ve Türk milletinden hiç bahsetmiyor.Müslümalığı ön plana çıkarıyor.Şunu demeye çalışıyor hepimizin bir alt kimliği var ama hepimizin üst kimliği İslam demeye getiriyor.Bunu başka şekilde söyledi ama asıl demek istediği bu.Son sözümse Vural Savaştan Yobazlar asla değişmez .YURTSEVER CEPHE","Gerçek! Tayyip Erdoğanınn eski bir açıklaması: Amerika nın isteği olamadan dünyada hiçbir değişemez .Bu neden Amerikayla ilişkilerini iyi tutmak istediklerini açıklıyor. Bir başka açıklaması: Devrimimizin(İslami devrimi kastediyor)önündeki en büyük engel ordudur .Bu neden Avrupa birliği ile yakın ilişkide olduklarını açıklıyor. Diğer açıklamaları,yoruma gerek yok. GEnçliğimiz ilahi davaya ulaşmak için dikenli yollara taliptir.Cihat takatın son noktasına kadardır,hayat büyük bir velinin ifade ettiği gibi iman ve cihattan ibarettir.Sizler bu müstakbel fetih hareketinin birer askerisiniz. Eğer Müslümanlar ve İslam kurtulacaksa bu imanın ve cihadın gücüyle olacaktır. FArkındaysanız bu adam laiklikten,cımhı-urriyetten ve Türk milletinden hiç bahsetmiyor.Müslümalığı ön plana çıkarıyor.Şunu demeye çalışıyor hepimizin bir alt kimliği var ama hepimizin üst kimliği İslam demeye getiriyor.Bunu başka şekilde söyledi ama asıl demek istediği bu.Son sözümse Vural Savaştan Yobazlar asla değişmez .YURTSEVER CEPHE",false,,clean,too_long,basic
tr_train_00000178,none,external_integration,False,unanimous,Günaydın nnnnn,Günaydın nnnnn,false,,clean,too_short|too_few_words,basic
tr_train_00000181,Dangerous_Content,external_integration,False,unanimous,"Bir şafak vaktinde silahları #maltepe #pendik kadiköy ümraniye kartal ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ ateşlenir, 🤕 LINK","Bir şafak vaktinde silahları #maltepe #pendik kadiköy ümraniye kartal ateşlenir, 🤕",true,district_hashtag_stack,review,seo_template_gibberish,hashtag_ratio_dominant|district_hashtag_incomplete
tr_train_00000186,none,external_integration,False,unanimous,"Pertevniyal Lisesi Amblemi.jpg kaynak ve lisans sorunu 64px|left|Dosya telif sorunu Pertevniyal Lisesi Amblemi.jpg adlı dosyayı yüklediğiniz için teşekkürler. Dosyanın tanım sayfasında içeriğin kimin tarafından yapıldığı ve telif statüsü hakkında yeterli bilgi bulunmamaktadır. Eğer dosyayı kendiniz yapmadıysanız, içeriğin sahibini belirtmelisiniz. Bir internet sitesinden elde ettiyseniz nereden aldığınızı net şekilde gösteren bir bağlantı veriniz. Eğer dosyanın lisansını biliyorsanız telif etiketini ekleyiniz . Yüklediğiniz diğer resimleri kontrol etmek için bu bağlantıyı tıklayınız. Hızlı silme kriterleri gereğince kaynak ve lisans bilgisi eksik olan dosyalar işaretlendikten bir hafta sonra silinirler . Sorularınız için Vikipedi:Medya telif soruları sayfasını kullanabilirsiniz. Teşekkürler. Vito Genovese","Pertevniyal Lisesi Amblemi.jpg kaynak ve lisans sorunu 64px|left|Dosya telif sorunu Pertevniyal Lisesi Amblemi.jpg adlı dosyayı yüklediğiniz için teşekkürler. Dosyanın tanım sayfasında içeriğin kimin tarafından yapıldığı ve telif statüsü hakkında yeterli bilgi bulunmamaktadır. Eğer dosyayı kendiniz yapmadıysanız, içeriğin sahibini belirtmelisiniz. Bir internet sitesinden elde ettiyseniz nereden aldığınızı net şekilde gösteren bir bağlantı veriniz. Eğer dosyanın lisansını biliyorsanız telif etiketini ekleyiniz . Yüklediğiniz diğer resimleri kontrol etmek için bu bağlantıyı tıklayınız. Hızlı silme kriterleri gereğince kaynak ve lisans bilgisi eksik olan dosyalar işaretlendikten bir hafta sonra silinirler . Sorularınız için Vikipedi:Medya telif soruları sayfasını kullanabilirsiniz. Teşekkürler. Vito Genovese",false,,clean,too_long,basic
tr_train_00000199,none,external_integration,False,unanimous,el ele olalım ve pes etmeyelim #HalilİbrahimCeyhan HalilİbrahimCeyhan #YamanKırımlı YamanKırımlı LINK,el ele olalım ve pes etmeyelim #HalilİbrahimCeyhan HalilİbrahimCeyhan #YamanKırımlı YamanKırımlı,true,,clean,seo_template_gibberish,hashtag_ratio_dominant
tr_train_00000225,none,external_integration,False,unanimous,i forgot kfjslfjksa LINK,i forgot kfjslfjksa,true,,clean,too_short|too_few_words,basic
tr_train_00000240,TR_State_Security_Ataturk,external_integration,False,unanimous,Yavsak TRT elektrik faturalardan TRT payı kesiliyor zehir zıkkım olsun saltanatınız yıkılsın,Yavsak TRT elektrik faturalardan TRT payı kesiliyor zehir zıkkım olsun saltanatınız yıkılsın,false,,clean,fake_agglutination,fake_agglut_stripped_incomplete|fake_agglut_stripped_incomplete|not_sentence_like_gibberish
tr_train_00000272,none,external_integration,False,unanimous,İnsAllah 🥰,İnsAllah 🥰,false,,clean,too_short|too_few_words,basic
tr_train_00000282,none,external_integration,False,unanimous,Yusuf Demir paylaş,Yusuf Demir paylaş,false,,clean,too_short|too_few_words,basic
tr_train_00000285,Hate_Speech,external_integration,False,unanimous,"hamalısınız, ayıplarınızın kendi #kapaklı Hepiniz kınamayınız, Başkalarının #çerkezköy kusurlarını LINK","hamalısınız, ayıplarınızın kendi #kapaklı Hepiniz kınamayınız, Başkalarının #çerkezköy kusurlarını",true,,clean,seo_template_gibberish,hashtag_ratio_dominant|hashtag_stripped_too_few_words
tr_train_00000293,Dangerous_Content,external_integration,False,unanimous,KANUNLAŞMAKABİLİRSİN KÖYLÜ ÇORBASIACAKTIM CUKUYORTULAR ADETTİM AÇILAMAMAMIŞLAR DENİMEBİLİRSİN KOÇLANMAABİLİRSİN #esenler KOMANDİTERECEKLER GAZLANMAKACAKTIM BOŞ KAFALILIKACAKTIM LINK,KANUNLAŞMAKABİLİRSİN KÖYLÜ ÇORBASIACAKTIM CUKUYORTULAR ADETTİM AÇILAMAMAMIŞLAR DENİMEBİLİRSİN KOÇLANMAABİLİRSİN #esenler KOMANDİTERECEKLER GAZLANMAKACAKTIM BOŞ KAFALILIKACAKTIM,true,high_caps_ratio|fake_agglutination,spam_possible,fake_agglutination,fake_density>=0.15|fake_ratio>=0.15|fake_agglut_stripped_incomplete|high_caps_with_fake_signal|long_fake_agglut_word|fake_agglut_stripped_incomplete|not_sentence_like_gibberish
