id,clean_text,final_category,layer1_is_spam,layer1_category,needs_correction,suggested_label,error_reason,country,source,final_category_original,final_label,final_source,primary_label,primary_reason,secondary_label,secondary_reason,review_reason,arbitration_triggered,arbitration_reason,arbitrator_label,primary_raw_output,secondary_raw_output,arbitrator_raw_output,primary_error,secondary_error,arbitrator_error,primary_model,secondary_model,arbitrator_model,total_tokens_used,annotated_at,source_row_index,_ann_row_id,tertiary_label,tertiary_reason,clean_text_phaseA,phaseA_had_artifacts,phaseB_flags,phaseB_caps_ratio,phaseB_fake_ratio,phaseB_spam_tier,bert_text_ok,bert_exclude_reason,phaseC_verdict,bert_gibberish_tier,bert_reject_policy,bert_train_text
70,"#escortdenizli denizli ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ Elimi verdim, kolumu kaptın, 😉 LINK",Harassment,True,ocr_disaster,False,,,TR,R1,Harassment,Sexually_Explicit_Information,triple_vote_unanimous,Sexually_Explicit_Information,The text contains escort services and sexual implications.,Sexually_Explicit_Information,The text contains explicit sexual implications and a link suggesting sexual services.,initial_models_agree,False,,,"{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text contains escort services and sexual implications.""}","```json
{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text contains explicit sexual implications and a link suggesting sexual services.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6469,2026-06-18T09:24:00.210924+00:00,69,TR_id_70,Sexually_Explicit_Information,Uses sexualized escort euphemism with suggestive emoji and link solicitation.,"denizli Elimi verdim, kolumu kaptın, 😉",true,,0.0,0.0,clean,true,,ok,clean,keep:readable_spam_ok,
82,Silgi karşıyaka kullanmadan alsancak resim çizme sanatına izmir hayat diyoruz /ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑/ ... coşku kaybı olmadan yürümektir. . LINK,safe,True,ocr_disaster,False,,,TR,R1,safe,safe,triple_vote_unanimous,safe,The text appears to be a poetic and artistic expression without any harmful or sensitive content.,safe,"The text is a poetic expression about art and life in Izmir, with no harmful or sensitive content.",initial_models_agree,False,,,"{""final_label"":""safe"",""reason"":""The text appears to be a poetic and artistic expression without any harmful or sensitive content.""}","```json
{""final_label"":""safe"",""reason"":""The text is a poetic expression about art and life in Izmir, with no harmful or sensitive content.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6505,2026-06-18T09:24:14.746484+00:00,81,TR_id_82,safe,"The text expresses cultural pride and artistic sentiment about Izmir with no harmful, abusive, or sensitive content.",Silgi karşıyaka kullanmadan alsancak resim çizme sanatına izmir hayat diyoruz ... coşku kaybı olmadan yürümektir. .,true,,0.0,0.0,clean,true,,ok,clean,keep:readable_spam_ok,
101,"#escortdenizli denizli ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ Bir gün kandıracak kirlenen zihinleri, 😦 LINK",Harassment,True,ocr_disaster,False,,,TR,R1,Harassment,Sexually_Explicit_Information,triple_vote_unanimous,Sexually_Explicit_Information,The text contains escort services and sexually explicit language.,Sexually_Explicit_Information,The text contains explicit sexual references and a link suggesting sexual services.,initial_models_agree,False,,,"{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text contains escort services and sexually explicit language.""}","```json
{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text contains explicit sexual references and a link suggesting sexual services.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6475,2026-06-18T09:26:04.016039+00:00,100,TR_id_101,Sexually_Explicit_Information,"The text uses romanized Turkish sexual euphemism 'escort' with explicit contextual intent and includes a link, indicating sexual service solicitation.","denizli Bir gün kandıracak kirlenen zihinleri, 😦",true,,0.0,0.0,clean,true,,ok,clean,keep:readable_spam_ok,
102,6alatasaray’ın para verdiği herkesin anasını sikeyim. Parayla şampiyonluk Şerefsiz şampiyonluk üvenmiyoruz,Harassment,False,,True,TR_State_Security_Ataturk,辱骂本国政治人物/机构被错标为普通骚扰/仇恨/安全,TR,R1,Harassment,Harassment,triple_vote_unanimous,Harassment,The text contains insults and vulgar language targeting a specific group.,Harassment,The text contains direct insults and vulgar abuse targeting individuals associated with Galatasaray.,initial_models_agree,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains insults and vulgar language targeting a specific group.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains direct insults and vulgar abuse targeting individuals associated with Galatasaray.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6455,2026-06-18T09:26:05.140876+00:00,101,TR_id_102,Harassment,"Contains vulgar abuse and family-based insults targeting individuals associated with a football club, without attacking protected identities or state redlines.",6alatasaray’ın para verdiği herkesin anasını sikeyim. Parayla şampiyonluk Şerefsiz şampiyonluk üvenmiyoruz,false,,0.0,0.0,clean,true,,ok,clean,keep:readable_spam_ok,
118,küreselleştirmek çakmak taşı deprem bilimci pompalanma aldanmazlık şatır alsancak bornova karsiyaka /ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑/izmir/ kurutabilme çaprazlaştırma çırpınma merdivenevi uğultu vahşicesine LINK,safe,True,ocr_disaster,False,,,TR,R1,safe,safe,triple_vote_unanimous,safe,The text appears to be a collection of Turkish words and phrases without any harmful or sensitive content.,safe,The text appears to be a random collection of Turkish words and terms with no discernible harmful intent or sensitive topic.,initial_models_agree,False,,,"{""final_label"":""safe"",""reason"":""The text appears to be a collection of Turkish words and phrases without any harmful or sensitive content.""}","```json
{""final_label"":""safe"",""reason"":""The text appears to be a random collection of Turkish words and terms with no discernible harmful intent or sensitive topic.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6561,2026-06-18T09:26:35.721655+00:00,117,TR_id_118,safe,"The text contains fragmented Turkish words and phonetic noise with no clear abusive, harmful, or policy-violating intent.",küreselleştirmek çakmak taşı deprem bilimci pompalanma aldanmazlık şatır alsancak bornova karsiyaka kurutabilme çaprazlaştırma çırpınma merdivenevi uğultu vahşicesine,true,,0.0,0.0,clean,true,,ok,clean,keep:readable_spam_ok,
124,[Forum] yöneticisi için otomatik hesap ele geçirme teknikleri hakkında uzman tavsiyesi.,Cybersecurity_Malware,False,,True,Dangerous_Content,网络诈骗/钓鱼短信被错标为 Cybersecurity_Malware,TR,R2,Cybersecurity_Malware,Cybersecurity_Malware,triple_vote_unanimous,Cybersecurity_Malware,The text discusses account takeover techniques.,Cybersecurity_Malware,"The text discusses techniques for automated account takeover, which falls under malicious cybersecurity activity.",initial_models_agree,False,,,"{""final_label"":""Cybersecurity_Malware"",""reason"":""The text discusses account takeover techniques.""}","```json
{""final_label"":""Cybersecurity_Malware"",""reason"":""The text discusses techniques for automated account takeover, which falls under malicious cybersecurity activity.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6434,2026-06-18T09:26:59.835416+00:00,123,TR_id_124,Cybersecurity_Malware,"The text seeks expert advice on automated account takeover techniques, which constitutes cyberattack guidance.",[Forum] yöneticisi için otomatik hesap ele geçirme teknikleri hakkında uzman tavsiyesi.,false,,0.0,0.0,clean,true,,ok,clean,keep:readable_spam_ok,
121,hayatıma karşıyaka eşlik alsancak etmek isteyenler yorulsun… izmir Gökkuşağı gökyüzünde /ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑/ olduğu için . LINK,safe,True,ocr_disaster,False,,,TR,R1,safe,safe,triple_vote_unanimous,safe,"The text appears to be a poetic and peaceful expression with a reference to a rainbow in the sky, without any harmful or sensitive content.",safe,"The text expresses a personal sentiment about life and İzmir, referencing a rainbow, without any harmful or sensitive content.",initial_models_agree,False,,,"{""final_label"":""safe"",""reason"":""The text appears to be a poetic and peaceful expression with a reference to a rainbow in the sky, without any harmful or sensitive content.""}","```json
{""final_label"":""safe"",""reason"":""The text expresses a personal sentiment about life and İzmir, referencing a rainbow, without any harmful or sensitive content.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6515,2026-06-18T09:27:00.130913+00:00,120,TR_id_121,safe,"The text expresses a personal sentiment about Istanbul and Izmir with a poetic reference to a rainbow, containing no harmful, abusive, or policy-violating content.",hayatıma karşıyaka eşlik alsancak etmek isteyenler yorulsun... izmir Gökkuşağı gökyüzünde olduğu için .,true,,0.0,0.0,clean,true,,ok,clean,keep:readable_spam_ok,
141,gül dikensiz olmaz be kadarsiz olmaz bu yerine biga ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ çanakkale ezine gelibolu LINK,safe,True,ocr_disaster,False,,,TR,R1,safe,safe,triple_vote_unanimous,safe,"The text appears to be a poetic or idiomatic expression with a link to a location, without any clear harmful or sensitive content.",safe,"The text expresses a sentiment about life and resilience, referencing locations in Turkey without any harmful or sensitive content.",initial_models_agree,False,,,"{""final_label"":""safe"",""reason"":""The text appears to be a poetic or idiomatic expression with a link to a location, without any clear harmful or sensitive content.""}","```json
{""final_label"":""safe"",""reason"":""The text expresses a sentiment about life and resilience, referencing locations in Turkey without any harmful or sensitive content.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6492,2026-06-18T09:28:01.019697+00:00,140,TR_id_141,safe,"The text uses poetic Turkish phrasing about roses and hardship, with geographic references to Turkish locations; no harmful, abusive, or sensitive content is present.",gül dikensiz olmaz be kadarsiz olmaz bu yerine biga çanakkale ezine gelibolu,true,,0.0,0.0,clean,true,,ok,clean,keep:readable_spam_ok,
148,En başta sen diyodun amk gavuru nasıl bir dönmesin,Hate_Speech,False,,True,safe,无特定目标的脏话发泄被错标为违规,TR,R1,Hate_Speech,Harassment,triple_vote_unanimous,Harassment,The text contains direct insults and vulgar abuse.,Harassment,The text contains insults and abusive language targeting the recipient.,initial_models_agree,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains direct insults and vulgar abuse.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains insults and abusive language targeting the recipient.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6414,2026-06-18T09:28:02.218802+00:00,147,TR_id_148,Harassment,"Contains vulgar insult ('amk') and hostile language directed at a specific person, targeting their identity or actions in a demeaning way.",En başta sen diyodun amk gavuru nasıl bir dönmesin,false,,0.0,0.0,clean,true,,ok,clean,keep:readable_spam_ok,
152,Sen şimdi vekilsin ve bu yapılanı tavsip ediyorsun öylemi amk.. Piçi demokratik tepki ha amk piçi sizin ben amk gavur ermeniler amk,Hate_Speech,False,,True,safe,无特定目标的脏话发泄被错标为违规,TR,R1,Hate_Speech,Hate_Speech,triple_vote_unanimous,Hate_Speech,The text contains hate speech and insults targeting a specific ethnic group.,Hate_Speech,"The text contains derogatory and dehumanizing language targeting ethnic and religious groups, including insults and hateful slurs.",initial_models_agree,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains hate speech and insults targeting a specific ethnic group.""}","```json
{""final_label"":""Hate_Speech"",""reason"":""The text contains derogatory and dehumanizing language targeting ethnic and religious groups, including insults and hateful slurs.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6486,2026-06-18T09:28:19.046949+00:00,151,TR_id_152,Hate_Speech,Contains dehumanizing and derogatory language targeting Armenians ('gavur ermeniler') with ethnic slurs and hostile intent.,Sen şimdi vekilsin ve bu yapılanı tavsip ediyorsun öylemi amk.. Piçi demokratik tepki ha amk piçi sizin ben amk gavur ermeniler amk,false,,0.0,0.0,clean,true,,ok,clean,keep:readable_spam_ok,
165,aq tolgayla kiskanclik mahsere kaldi nedne ayni taraftasinzi LINK,TR_State_Security_Ataturk,False,,True,safe,无特定目标的脏话发泄被错标为违规,TR,R1,TR_State_Security_Ataturk,Harassment,triple_vote_unanimous,Harassment,The text contains hostile language and insults.,Harassment,"The text contains insults and expresses jealousy directed at someone, potentially causing humiliation.",initial_models_agree,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains hostile language and insults.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains insults and expresses jealousy directed at someone, potentially causing humiliation.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6433,2026-06-18T09:29:04.370562+00:00,164,TR_id_165,Harassment,"Uses vulgar insult 'aq' and hostile tone targeting someone named Tolga with jealousy and accusation, fitting harassment through personal abuse.",aq tolgayla kiskanclik mahsere kaldi nedne ayni taraftasinzi,true,,0.0,0.0,clean,true,,ok,clean,keep:readable_spam_ok,
187,Zihinsel [e-posta] hizmetindeki eski hesapları kurtarmak için brute-force yardımcı aracı arıyorum.,Cybersecurity_Malware,False,,True,Dangerous_Content,网络诈骗/钓鱼短信被错标为 Cybersecurity_Malware,TR,R2,Cybersecurity_Malware,Cybersecurity_Malware,triple_vote_unanimous,Cybersecurity_Malware,The user is seeking a brute-force tool to recover old accounts.,Cybersecurity_Malware,"The text explicitly requests a brute-force tool to recover old accounts, which is a technique often used in unauthorized access and potentially malicious activities.",initial_models_agree,False,,,"{""final_label"":""Cybersecurity_Malware"",""reason"":""The user is seeking a brute-force tool to recover old accounts.""}","```json
{""final_label"":""Cybersecurity_Malware"",""reason"":""The text explicitly requests a brute-force tool to recover old accounts, which is a technique often used in unauthorized access and potentially malicious activities.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6462,2026-06-18T09:29:44.730204+00:00,186,TR_id_187,Cybersecurity_Malware,Brute-force tool request for recovering old email accounts constitutes unauthorized access attempt.,Zihinsel [e-posta] hizmetindeki eski hesapları kurtarmak için brute-force yardımcı aracı arıyorum.,false,,0.0,0.077,clean,true,,ok,clean,keep:readable_spam_ok,
