file,label,hashtag,count,label_total,rate
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,BR_State_Security_Democratic_Order,#revoluçãojá,6,1458,0.00411522633744856
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,BR_State_Security_Democratic_Order,#brasilnãovaiaceitar,5,1458,0.003429355281207133
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,BR_State_Security_Democratic_Order,#intervençãomil,5,1458,0.003429355281207133
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,BR_State_Security_Democratic_Order,#intervençãoagora,5,1458,0.003429355281207133
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,BR_State_Security_Democratic_Order,#fimdademocraciafalsa,4,1458,0.0027434842249657062
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,Politically_Sensitive_Topics,#fraudeeleitoral,4,2215,0.0018058690744920992
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,Politically_Sensitive_Topics,#eleiçãofalsa,4,2215,0.0018058690744920992
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,Politically_Sensitive_Topics,#geórgiaemchamas,3,2215,0.0013544018058690745
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,Politically_Sensitive_Topics,#fraudedigital,3,2215,0.0013544018058690745
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,Politically_Sensitive_Topics,#golpedigital,2,2215,0.0009029345372460496
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,Politically_Sensitive_Topics,#fraudeue,2,2215,0.0009029345372460496
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,Politically_Sensitive_Topics,#eleiçãoroubada,2,2215,0.0009029345372460496
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,Politically_Sensitive_Topics,#golpenamoldávia,2,2215,0.0009029345372460496
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,Politically_Sensitive_Topics,#moldovacoup,2,2215,0.0009029345372460496
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,Politically_Sensitive_Topics,#coupintbilisi,2,2215,0.0009029345372460496
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,Politically_Sensitive_Topics,#mentiradeestado,2,2215,0.0009029345372460496
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,Politically_Sensitive_Topics,#moldaviacrisis,2,2215,0.0009029345372460496
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,Politically_Sensitive_Topics,#eleicaofalsificada,2,2215,0.0009029345372460496
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,Politically_Sensitive_Topics,#ficaatenção,1,2215,0.0004514672686230248
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,Politically_Sensitive_Topics,#eleiçõesfraudulentas,1,2215,0.0004514672686230248
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,Politically_Sensitive_Topics,#coupinrealtime,1,2215,0.0004514672686230248
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,Politically_Sensitive_Topics,#censura,1,2215,0.0004514672686230248
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,Politically_Sensitive_Topics,#conspiração,1,2215,0.0004514672686230248
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,Politically_Sensitive_Topics,#fraudaslovenia,1,2215,0.0004514672686230248
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,Politically_Sensitive_Topics,#golpeemandamento,1,2215,0.0004514672686230248
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,Politically_Sensitive_Topics,#desaparecidooficial,1,2215,0.0004514672686230248
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,Politically_Sensitive_Topics,#coupinuk,1,2215,0.0004514672686230248
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,Politically_Sensitive_Topics,#fakeleadership,1,2215,0.0004514672686230248
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,Politically_Sensitive_Topics,#fakepresident,1,2215,0.0004514672686230248
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,Politically_Sensitive_Topics,#eleicaofalsa,1,2215,0.0004514672686230248
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,Politically_Sensitive_Topics,#fimdarepressão,1,2215,0.0004514672686230248
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,Politically_Sensitive_Topics,#coupinukraine,1,2215,0.0004514672686230248
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,Politically_Sensitive_Topics,#irelandgonemad,1,2215,0.0004514672686230248
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,Politically_Sensitive_Topics,#desinformaçãoativa,1,2215,0.0004514672686230248
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,Politically_Sensitive_Topics,#moldovacrisis,1,2215,0.0004514672686230248
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,Sexually_Explicit_Information,#nãotemamanhã,1,1514,0.0006605019815059445
BR/synthetic_R2/br_r2_balance_supplement_valid_dedup.csv,BR_State_Security_Democratic_Order,#foratse,40,240,0.16666666666666666
BR/synthetic_R2/br_r2_balance_supplement_valid_dedup.csv,BR_State_Security_Democratic_Order,#intervençãojá,40,240,0.16666666666666666
BR/synthetic_R2/br_r2_balance_supplement_valid_dedup.csv,BR_State_Security_Democratic_Order,#vemgolpe,40,240,0.16666666666666666
BR/synthetic_R2/br_r2_balance_supplement_valid_dedup.csv,BR_State_Security_Democratic_Order,#golpelegítimo,30,240,0.125
BR/synthetic_R2/br_r2_balance_supplement_valid_dedup.csv,BR_State_Security_Democratic_Order,#brasilacorda,26,240,0.10833333333333334
BR/synthetic_R2/br_r2_balance_supplement_valid_dedup.csv,BR_State_Security_Democratic_Order,#golpesim,17,240,0.07083333333333333
BR/synthetic_R2/br_r2_balance_supplement_valid_dedup.csv,BR_State_Security_Democratic_Order,#forademocraciafalsa,17,240,0.07083333333333333
BR/synthetic_R2/br_r2_balance_supplement_valid_dedup.csv,BR_State_Security_Democratic_Order,#golpenecessário,12,240,0.05
BR/synthetic_R2/br_r2_balance_supplement_valid_dedup.csv,BR_State_Security_Democratic_Order,#golpeénecessário,9,240,0.0375
BR/synthetic_R2/br_r2_balance_supplement_valid_dedup.csv,BR_State_Security_Democratic_Order,#forastf,8,240,0.03333333333333333
BR/synthetic_R2/br_r2_balance_supplement_valid_dedup.csv,BR_State_Security_Democratic_Order,#brasilacordou,7,240,0.029166666666666667
BR/synthetic_R2/br_r2_balance_supplement_valid_dedup.csv,BR_State_Security_Democratic_Order,#golpepralibertar,7,240,0.029166666666666667
BR/synthetic_R2/br_r2_balance_supplement_valid_dedup.csv,BR_State_Security_Democratic_Order,#golpeédemocracia,6,240,0.025
BR/synthetic_R2/br_r2_balance_supplement_valid_dedup.csv,BR_State_Security_Democratic_Order,#intervençãoja,6,240,0.025
BR/synthetic_R2/br_r2_balance_supplement_valid_dedup.csv,BR_State_Security_Democratic_Order,#golpenãoécoup,5,240,0.020833333333333332
BR/synthetic_R2/br_r2_balance_supplement_valid_dedup.csv,BR_State_Security_Democratic_Order,#brasilvaivoltar,5,240,0.020833333333333332
BR/synthetic_R2/br_r2_balance_supplement_valid_dedup.csv,BR_State_Security_Democratic_Order,#brasilprimeiro,5,240,0.020833333333333332
BR/synthetic_R2/br_r2_balance_supplement_valid_dedup.csv,BR_State_Security_Democratic_Order,#nãoaceito,4,240,0.016666666666666666
BR/synthetic_R2/br_r2_balance_supplement_valid_dedup.csv,BR_State_Security_Democratic_Order,#intervençãomilitar,3,240,0.0125
BR/synthetic_R2/br_r2_balance_supplement_valid_dedup.csv,BR_State_Security_Democratic_Order,#golpeéjustiça,3,240,0.0125
BR/synthetic_R2/br_r2_balance_supplement_valid_dedup.csv,BR_State_Security_Democratic_Order,#golpejá,3,240,0.0125
BR/synthetic_R2/br_r2_balance_supplement_valid_dedup.csv,BR_State_Security_Democratic_Order,#brasilnãoaceita,3,240,0.0125
BR/synthetic_R2/br_r2_balance_supplement_valid_dedup.csv,BR_State_Security_Democratic_Order,#exércitovem,2,240,0.008333333333333333
BR/synthetic_R2/br_r2_balance_supplement_valid_dedup.csv,BR_State_Security_Democratic_Order,#foracongresso,2,240,0.008333333333333333
BR/synthetic_R2/br_r2_balance_supplement_valid_dedup.csv,BR_State_Security_Democratic_Order,#fimdaputaria,2,240,0.008333333333333333
BR/synthetic_R2/br_r2_balance_supplement_valid_dedup.csv,BR_State_Security_Democratic_Order,#fimdafarsa,2,240,0.008333333333333333
BR/synthetic_R2/br_r2_balance_supplement_valid_dedup.csv,BR_State_Security_Democratic_Order,#vemprarua,2,240,0.008333333333333333
BR/synthetic_R2/br_r2_balance_supplement_valid_dedup.csv,BR_State_Security_Democratic_Order,#fimdacorrupção,2,240,0.008333333333333333
BR/synthetic_R2/br_r2_balance_supplement_valid_dedup.csv,BR_State_Security_Democratic_Order,#fimdademocraciafalsa,2,240,0.008333333333333333
BR/synthetic_R2/br_r2_balance_supplement_valid_dedup.csv,BR_State_Security_Democratic_Order,#brasilnãoaceitafraude,1,240,0.004166666666666667
BR/synthetic_R2/br_r2_balance_supplement_valid_dedup.csv,Politically_Sensitive_Topics,#guerremundial3,1,40,0.025
BR/synthetic_R2/br_r2_balance_supplement_valid_dedup.csv,Politically_Sensitive_Topics,#genocidiosilencioso,1,40,0.025
BR/synthetic_R2/br_r2_balance_supplement_valid_dedup.csv,Politically_Sensitive_Topics,#guerranaeuropa,1,40,0.025
BR/synthetic_R2/br_cybersecurity_malware_valid_dedup.csv,Cybersecurity_Malware,#trending,1,2014,0.0004965243296921549
BR/synthetic_R2/br_cybersecurity_malware_valid_dedup.csv,Cybersecurity_Malware,#famoso,1,2014,0.0004965243296921549
BR/synthetic_R2/br_cybersecurity_malware_valid_dedup.csv,Cybersecurity_Malware,#promoção,1,2014,0.0004965243296921549
BR/synthetic_R2/br_cybersecurity_malware_valid_dedup.csv,Cybersecurity_Malware,#botfarm,1,2014,0.0004965243296921549
BR/synthetic_R2/br_cybersecurity_malware_valid_dedup.csv,Cybersecurity_Malware,#botautomation,1,2014,0.0004965243296921549
BR/synthetic_R2/br_cybersecurity_malware_valid_dedup.csv,Cybersecurity_Malware,#spam,1,2014,0.0004965243296921549
BR/synthetic_R2/br_cybersecurity_malware_valid_dedup.csv,Cybersecurity_Malware,#bot,1,2014,0.0004965243296921549
