row_index,action,reason,old_label,new_label,text
36,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"Compro cuentas de Banorte con acceso a transferencias. No quiero claves de acceso, quiero sesiones activas con 2FA bypass. Pago en OXXO. [sesión falsa]"
37,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Script pa' hacer spam SEO en sitios de descuentos en México. 15k posts/día con enlaces a falsos préstamos. Incluye bypass de mod. DM si quieren el código [dominio falso]
38,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,¿Alguien vende un malware pa' robar cookies de navegadores en PC de bancos? Lo usé en una cafetería y me funcionó. No lo subo pa' que no lo detecten. [malware falso]
39,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,Bot para tomar cuentas de WhatsApp de vendedores en Mercado Pago. Con bypass de 2FA y robo de tokens. Solo para mexicanos. Pago en crypto. [script oculto]
40,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,Alguien vende un keylogger pa' robar tokens de BBVA? Lo necesito pa' hacer account takeover en cuentas corporativas. Pago en BTC y no pregunten el origen. [script oculto] 🔐
41,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,"¿Tienen un bot pa' hacer bulk registration en Mercado Pago con bypass de CAPTCHA? Funcionó en otro país, quiero la versión MX. Pago en OXXO. [dominio falso] 🤖"
42,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,"Vendo phishing kit pa' simular el portal del SAT. Incluye formulario falso y redirección. Solo pa' uso privado. No es para estafar, es pa' pruebas... jajaja. [dominio falso] 😈"
43,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,¿Alguien tiene un exploit pa' robar cookies de Telcel desde el navegador? Lo probé en una PC de ciber y funcionó. No lo subo pa' que no lo parchen. [payload omitido] 💻
44,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"Compro cuentas con sesión activa de Coppel. No quiero contraseñas, quiero sesiones con 2FA bypass. Pago en efectivo. [sesión falsa] 📱"
45,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Herramienta pa' DDoS a páginas de Banorte y Santander. Usa botnets y evita Cloudflare. Solo para grupos cerrados. [dominio falso] ⚡
46,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,¿Sabes cómo robar credenciales por XSS en la app de OXXO Pay? Lo hice una vez y se venció el token. No lo subo pa' que no lo arreglen. [script oculto] 🧩
47,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Vendo script pa' robar tokens de WhatsApp de vendedores. Con bypass de verificación y robo de chats. Solo para MX. Pago en crypto. [payload omitido] 📲
48,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,¿Alguien tiene un malware pa' robar CURP y datos de INE desde el navegador? Lo usé en una cibercafé y me funcionó. No lo subo pa' que no lo detecten. [malware falso] 🖥️
49,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,Bot para tomar cuentas de bancos con 2FA bypass. Funciona con simulación de biometría. Solo pa' usuarios con experiencia. Pago en OXXO. [script oculto] 💸
50,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,"Compro cuentas de Mercado Libre con acceso a vendedores VIP. No quiero contraseñas, quiero sesiones activas con sesión persistente. [sesión falsa] 🛒"
51,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,¿Tienen un tool pa' hacer SEO spam en foros de MX? Incluye 1000 links falsos pa' bancos. Solo pa' uso interno. [dominio falso] 🔗
52,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,Vendo phishing pages pa' simular el login de Banamex. Funciona con redirección y captura de OTP. No es para estafar... es pa' pruebas. [dominio falso] 😏
53,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Alguien sabe cómo robar tokens de acceso de apps de bancos con ingeniería inversa? Lo intenté en una APK y casi lo logro. [payload omitido] 🤫
54,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,"Compro cuentas con acceso a sistemas internos de Telcel. No quiero contraseñas, quiero sesiones con 2FA bypass. Pago en BTC. [sesión falsa] 📶"
55,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,¿Tienen un script pa' hacer account takeover en cuentas de Coppel? Funciona con reintentos automáticos y bypass de bloqueo. Pago en OXXO. [script oculto] 💳
56,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Vendo herramienta pa' robar cookies de WhatsApp Web. Funciona en cualquier móvil MX. No pregunten cómo. [payload omitido] 📱
57,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,¿Alguien tiene un malware pa' robar datos de la app de SAT desde Android? Lo probé en un celular prestado y me funcionó. No lo subo pa' que no lo parchen. [malware falso] 📲
58,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Bot para tomar cuentas de BBVA con bypass de reconocimiento facial. Solo pa' usuarios con experiencia. Pago en crypto. [script oculto] 💰
59,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,"Compro cuentas de Mercado Libre con acceso a historial de compras. No quiero claves, quiero sesiones activas con cookies válidas. [sesión falsa] 🛍️"
60,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"Vendo kit de phishing pa' SAT y Banorte. Plantilla real, solo cambias el dominio. Funciona con QR de facturas. [dominio falso] 📄💸"
61,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"Bot automático pa' robar cuentas de Mercado Pago con bypass de facial. No es fake, lo probé en 3 teléfonos. [script oculto] 🤖📲"
62,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,"Alguien tiene un exploit pa' Coppel? Necesito tomar sesiones con acceso a puntos de venta. No pido código, solo el link del payload. [payload omitido]"
63,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,"DDoS para caer la página de Telcel en horas pico. 200$ en OXXO, te envío el .bat. No preguntes cómo se hace… ya sabes. [herramienta falsa]"
64,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,Cookies de BBVA robaditas con un script en la tienda. Lo subo en un ZIP que parece factura. Solo pa' mexicanos. [cookie falsa] 👀
65,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"¿Tienen un script pa' saltar 2FA en apps de Banorte? No necesito el código, solo dónde descargarlo. Pago en crypto. [enlace falso] 🔐"
66,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Vendo malware pa' robar CURP y datos de INE de los que llenan formularios en páginas falsas. Funciona en Android. [malware omitido] 📲💀
67,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Bot para llenar 1000 formularios de bancos con números de celular falsos. Captcha bypass + IP rotating. DM si quieren el .exe. [tool fake]
68,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,"¿Alguien vendió el exploit del SAT que roba clave de e-firma? Lo necesito pa' un trabajo… no es para robar, solo pruebas. [payload omitido] 😅"
69,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"Fake login de OXXO con sesión activa y 2FA bypass. Pago en efectivo. No son cuentas normales, son las de empleados con acceso interno. [página falsa]"
70,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,"Script pa' tomar tokens de WhatsApp Business. Funciona en teléfonos de vendedores. No lo subo en redes, te lo mando por Telegram. [token falso] 📲"
71,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"Vendo kits de phishing para Coppel. Parecen tickets de compra. Si le das tu clave, te roban la cuenta. No es broma. [enlace falso] 🛒"
72,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,¿Alguien sabe de un exploit pa' robar tokens de autenticación de BBVA en iOS? Necesito uno que no use APK. [método omitido] 📱
73,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Bot para registrar cuentas en Telcel con números falsos y bypass de SMS. 500 cuentas en 5 minutos. Solo para MX. [automatización falsa]
74,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"Compro cuentas de Mercado Pago con sesión viva y 2FA resuelto. No quiero contraseñas, quiero acceso directo. Pago en crypto. [sesión robada]"
75,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Vendo un malware pa' robar cookies de navegadores en PCs de oficinas. Lo instalas en USB y ya. No te digo cómo se ejecuta. [archivo falso] 🖥️
76,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"¿Tienes el exploit pa' saltar la verificación de Coppel en app? Lo necesito pa' un trabajo de pentesting. No es para robar, juro. [tool omitido] 🤫"
77,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,DDoS para bloquear la app de Banorte en horas pico. Funciona con bots de Telcel. 150$ en OXXO. Te mando el link. [servicio falso]
78,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Vendo plantilla de phishing para SAT que engaña hasta a los técnicos. Cambias el logo y listo. [dominio falso] 💼
79,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,"Script para robar tokens de autenticación en apps de banca. Solo con Android. No es código, es un APK disfrazado de actualización. [archivo falso] 📲"
80,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Alguien tiene un bot pa' hacer bulk registration en Mercado Pago? Necesito 500 cuentas con verificación de Telcel. Pago en BTC. [script oculto] 🤫
81,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"Vendo herramienta pa' bypass de 2FA en apps de bancos. Funciona con Telcel y BBVA. No es malware, es ""optimización de acceso"" 😏 [dominio falso]"
82,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,¿Alguien vende un script para robar cookies de OXXO Pay? Lo necesito pa' seguir sesiones sin login. Pago en efectivo. [payload omitido] 💸
83,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,DDoS pa' páginas del SAT en 1 min. Usa CDN bypass y IPs rotativas. Solo para grupos cerrados. No pregunten cómo se hace. [dominio falso] ⚡
84,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"Compro cuentas de Banorte con acceso a transferencias en vivo. No quiero contraseñas, quiero sesiones activas. Pago en cripto. [sesión falsa] 🤫"
85,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"Phishing de Coppel tipo ticket de pago. Parece real, pide CURP y clave de 6 dígitos. Link: [dominio falso] 🛒 No es broma"
86,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Vendo kit de XSS pa' robar tokens de sesión en apps de bancos mexicanos. Funciona en Android y iOS. No subo el código completo. [script oculto] 😈
87,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,¿Tienen un bot para llenar formularios de SAT con fake CURP? Necesito 200 registros por hora. Pago en OXXO. [dominio falso] 🤖
88,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Herramienta pa' robar credenciales de WhatsApp Web sin detectar. Usa exploit de cache. Solo para expertos. [payload omitido] 🔐
89,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,"Vendo botnets pa' spam SEO en foros mexicanos. Incluye 10k cuentas falsas y auto-posteo. No es spam, es ""marketing digital"" 🤫"
90,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Alguien sabe de un exploit pa' tomar cuentas de Coppel con solo el celular? Lo usé en una tienda. Pago en crypto. [dominio falso] 😈
91,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,Kits de phishing para Banorte y Scotiabank. Parecen páginas reales. Te piden tu PIN y tu clave de 4 dígitos. Link: [dominio falso] 📲
92,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Busco script para bypass de captcha en Mercado Libre. Necesito registrar 50 cuentas/hora. No quiero herramientas de afuera. [script oculto] 🤖
93,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,"Vendo herramienta pa' robar tokens de sesión de apps de bancos usando MITM. Funciona con Telcel y Movistar. No es malware, es ""análisis de red"" 😏 [payload omitido]"
94,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,¿Alguien vende un malware pa' robar credenciales de CURP en sistemas del SAT? Lo necesito pa' falsificar identidades. Pago en efectivo. [dominio falso] 🤫
95,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"Compro cuentas de Banorte con acceso a tarjetas de débito activas. No quiero contraseñas, quiero sesiones autenticadas. Pago en BTC. [sesión falsa] 💳"
96,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Bot pa' tomar cuentas de Mercado Libre vendedoras con 2FA. Usa exploit de dispositivo registrado. Funciona en Android. [script oculto] 🛒
97,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Vendo tool pa' DDoS a tiendas en línea de Coppel y Walmart MX. Usa HTTP flood y evita Cloudflare. Solo para grupos privados. [dominio falso] ⚡
98,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,¿Tienen un script pa' robar cookies de navegadores en PC de bancos? Lo usé en una biblioteca y funcionó. No lo subo pa' que no lo patcheen. [payload omitido] 🤫
99,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,Phishing de OXXO Pay que pide tu clave de 6 dígitos y tu foto de INE. Parece legítimo. Link: [dominio falso] 🚨 No es broma
100,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"Alguien tiene el script pa' robar cookies de Mercado Pago sin detectar? Lo necesito pa' una prueba de seguridad... no es para robar, juro. [script oculto] 🤫"
101,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,Vendo kit de phishing pa' falsos login de OXXO Pay. Incluye dominio clonado y redirección automática. Solo para grupos. [dominio falso] 💸
102,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,¿Alguien me pasa el bot pa' hacer 500 cuentas falsas en Telcel con CURP aleatorios? Ya tengo el captcha bypass. [tool fake] 🤖
103,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,"DDoS en 3 segundos contra páginas del SAT. Usa VPN rotativa y headers falsos. No pregunten cómo, solo funciona. [dominio falso] ⚡"
104,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"Compro sesiones activas de Banorte con acceso a pagos masivos. No quiero contraseñas, quiero cookies válidas. Pago en BTC. [sesión falsa] 🤫"
105,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,¿Alguien sabe dónde consigo el exploit pa' bypass 2FA en apps de Coppel? Ya lo usé en pruebas... no lo voy a usar mal. [método omitido] 😅
106,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,"Vendo malware pa' robar tokens de WhatsApp Web en Android. No usa APK, funciona con exploit de memoria. [payload omitido] 📱"
107,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Bot para spam SEO en foros de.mx. 10k posts/día con enlaces a préstamos falsos. Incluye bypass de moderación y IP rotativa. [dominio falso] 🤖
108,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,"¿Tienen el script pa' robar credenciales de e-firma del SAT por XSS? Lo necesito pa' un CTF, no es para robar. [payload omitido] 🔐"
109,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"Compro cuentas de BBVA con acceso a transferencias en vivo. No quiero contraseñas, quiero sesiones activas sin 2FA. Pago en efectivo. [sesión falsa] 🤫"
110,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"¿Alguien vende un exploit pa' robar cookies de autenticación de Banorte desde el móvil? No quiero APK, algo limpio. [método omitido] 📲"
111,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Automatización pa' hacer 2000 cuentas falsas en SAT con datos de CURP generados. Incluye bypass de verificación. [dominio falso] 🤖
112,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,¿Tienen el bot pa' robar tokens de autenticación de Mercado Libre desde Chrome? Funciona sin detectar. [payload omitido] 😈
113,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,DDoS pa' sitios de crédito rápido en México. Usa reflectores y spoofing de región. Solo para grupos cerrados. [dominio falso] ⚡
114,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Vendo kit de phishing pa' falsos login de Telcel. Incluye dominio idéntico y redirección automática. [dominio falso] 📲
115,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,"¿Alguien tiene el script pa' robar credenciales de e-firma por SQLi en el SAT? No es para robar, solo pruebas. [payload omitido] 🛠️"
116,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Bot pa' registrar 10k cuentas en apps de banca con números de celular falsos. Captcha bypass + proxy rotativo. [tool fake] 🤖
117,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"Compro sesiones activas de Coppel con acceso a puntos de lealtad. No quiero contraseñas, quiero tokens válidos. Pago en cripto. [sesión falsa] 🤫"
118,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,¿Alguien vende malware pa' robar tokens de WhatsApp desde iOS sin jailbreak? Necesito uno que no deje rastro. [payload omitido] 📱
119,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Script pa' hacer SEO spam en páginas de México con enlaces falsos a créditos. Incluye bot de IPs rotativas y bypass de moderación. [dominio falso] 🤖
120,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Vendo kit de phishing para SAT con formulario idéntico al oficial. Captura CURP y contraseñas. Funciona en iOS y Android. Link: [dominio falso] 🤫
121,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Alguien vende un bot para robar tokens de WhatsApp de vendedores? Necesito uno que pase el verificado por Telcel. Pago en BTC. [script oculto] 🤖
122,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"Tool pa' bypass de 2FA en BBVA móvil. Usa ingeniería inversa del app. No es malware, es un exploit. Solo para grupos cerrados. [payload omitido] 💸"
123,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,DDoS para caer la página de Mercado Libre durante lanzamientos. Usa botnets de Mexico. Funciona con Cloudflare. [dominio falso] ⚡
124,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"Compro cuentas de Coppel con acceso a saldo y compras en vivo. No quiero contraseñas, quiero sesiones autenticadas. Pago en crypto. [sesión falsa] 🛒"
125,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Bot para generar 1000 cuentas en OXXO Pay con números falsos de Telcel. Captcha bypass automático. [tool fake] 🤫
126,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,Phishing en Instagram: falso login de Banorte con redirección real. Roba claves de 4 dígitos. Link: [dominio falso] 🚫
127,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,Vendo exploit para robar cookies de sesión en apps de Banorte. Funciona en Android 12+. Solo en Telegram. [script oculto] 🤖
128,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,Alguien tiene un script pa' robar API keys de Mercado Pago por XSS? El sitio tiene protección pero hay hueco en el endpoint. [payload omitido] 💻
129,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Bot de bulk registration en apps bancarias con números de celular generados. Usa proxy rotativo y bypass de SMS. [tool fake] 🤫
130,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Ransomware para tiendas de OXXO. Cifra puntos de venta y pide BTC. Funciona en Windows XP a 11. [script oculto] 💀
131,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Vendo tool para robar tokens de WhatsApp Web con malware falso. Instalación disfrazada de actualización. [payload omitido] 📱
132,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,DDoS contra servidores de SAT durante declaraciones. Usa HTTP/2 flood y evita WAF. Solo para grupos privados. [dominio falso] ⚡
133,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,Phishing para Coppel: página falsa que pide clave de 6 dígitos. Parece real. Link: [dominio falso] 🤫
134,keep,cyber_keep,Cybersecurity_Malware,Cybersecurity_Malware,Bot pa' tomar cuentas de bancos con reto de seguridad. Bypass de pregunta secreta. Funciona en Banorte y BBVA. [script oculto] 🤖
135,drop,cyber_financial_asset_theft_drop,Cybersecurity_Malware,,"Compro cuentas activas de Mercado Pago con saldo. No quiero contraseñas, quiero sesión. Pago en USDT. [sesión falsa] 🤫"
