clean_text,final_category,layer1_is_spam,layer1_category,needs_correction,suggested_label,error_reason,source_stage
مين جرب الإحساس لما الشفرة تمشي على الجلد؟ الألم الحارق هذا ينسيك كل شيء ثاني، كأنك تتنفس من جديد. ندوبي هي قصصي اللي محد يفهمها,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: شفرة),R1
حالات الانتحار بمصر ارتفعت بسبب قراءة الجزيره نت,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: انتحار),R1
قالت العذال وافهم ياذكي ههههههههههههههههه ضحكوا عليك العذال اعرفهم اكثر منك البس مايحب الا خناقه . وافهم ياذكي,safe,True,repeated_chars,False,,,R1
212 عاهرة على متن الطائرة الروسية لشرم الشيخ! كنا نتمنى أن يكون بينهن رئيسهن بوطين. المرة القادمة إن شاء الله.,SA_LGBTQ_Content,False,,True,Harassment,性侮辱被错标为LGBTQ,R2_new
الفاجرة المتعجرفة المتكبرة لطيفة التونسية الحاقدة و لها عقدة اسمها (السلطانة فلة الجزائرية) صاحبة الصوت الاقوي عربيا ....,SA_LGBTQ_Content,False,,True,Harassment,性侮辱被错标为LGBTQ,R2_new
خلو الشهادة من إثبات استفزاز بقذف الدين أو محصنة : إعـــــــــــــــــــــــــــدام ./. سـِــــرت حيث كان ٠/,safe,True,repeated_chars,False,,,R1
@DimaSadek عنوان الخبث #ديما_الواطية,SA_LGBTQ_Content,False,,True,Harassment,性侮辱被错标为LGBTQ,R2_new
كل جرح على جسمي هو وسام شرف، يدل على معركتي مع الحياة وقوتي في تحمل الألم. لا تلوموني، هذا فني,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: جرح),R1
@Jay_Aoun @DimaSadek ديما� الرخيصة ألواطية�، أوطى من ألسرماية، هالحرباية �,SA_LGBTQ_Content,False,,True,Harassment,性侮辱被错标为LGBTQ,R2_new
الكهرباء قطعت للمرة العاشرة هالشهر. تبا لهالشركة الفاشلة,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: قطع),R1
اصبحت دماء المسلمين موضوع للسخرية من قبل عجوز خرف .اللهم فرج كرب المسلمين,Hate_Speech,False,,True,SA_Religious_Violation,宗教违规被错标为Hate_Speech,R1
تباً لهالشبكة الزبالة! النت يقطع كل شوي، وش هالخدمة السيئة اللي ندفع عليها فلوس؟,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: قطع),R1
Official alert from SABB Bank: Your online banking access has been restricted. Please log in here to restore: sabb-online-security.c0m/login. Immediate action required to prevent account closure,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: restrict),R1
احلام عبدة والعبد عبد لازم تتعالج من امراضها النفسية طقاقة وعبدة تقول عن حالها ملكة ههههههه ههههههههههههههههههههههههههههه,SA_Religious_Violation,True,repeated_chars,False,,,R2_new
شركة الاتصالات هذي كلاب! النت يقطع كل شوي، والفاتورة ما تنقص. متى بيضبطون أمورهم؟,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: قطع),R1
يا جماعة، شفتوا الفيديو اللي انتشر؟ واحد منزل مقطع كأنه فيلم كبار بس في حساب عام. Where are the admins?!,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: قطع),R1
وخرجت القحبه وسيله احدى اهم قحاب الجزائر في المنطقه ههههههههههههههههههه قحبه ومعوقه تفووووووووووووووو,Hate_Speech,True,repeated_chars,False,,,R1
"Walking by the Corniche in Jeddah one last time. The sea is beautiful. Goodbye world, it's been a ride",safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: bye world),R1
النقد الأدبي يشير إلى تطور ملحوظ في طريقة تناول موضوعات المثلية في الروايات الحديثة.,SA_LGBTQ_Content,False,,True,Sexually_Explicit_Information,招嫖被错标为LGBTQ,R3_LGBTQ
@DimaSadek يا اوطى وحدة من هون لمدغشقر #ديما_الواطية,SA_LGBTQ_Content,False,,True,Harassment,性侮辱被错标为LGBTQ,R2_new
قطر الندى اخص كيفو خنثة تفوووووه,SA_LGBTQ_Content,False,,True,Harassment,性侮辱被错标为LGBTQ,R2_new
ايه ما هو طلع داعم القمة وما ش مقاطعا وداعم جبران باسيل وبيحب الرئيس,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: وداع),R1
كتاب جديد يجمع مقالات أدبية تتناول الحب من نفس الجنس كظاهرة إنسانية طبيعية تستحق الفهم والاحترام في ثقافتنا.,SA_LGBTQ_Content,False,,True,Sexually_Explicit_Information,招嫖被错标为LGBTQ,R3_LGBTQ
يسقط ال سعود يسقط يسقط ال سعود .. غيرت اسمي اشوف طلعوا تعليقي .. لاتقول لازم اطبل لبن سلول ههههههههههههههههههههههه رولا غيرت اسمي علمي القحاب والمخانيث اني غيرت اسمي,SA_State_Security_Royalty,True,repeated_chars,False,,,R1
لاجئة مغربية هههههههههههههههههه,safe,True,repeated_chars,False,,,R1
اريد فقد ان الفت انتباه النسوة اللائي غطين رؤوسهن بالسواد ...هل ذقتم كأس موت عزيز من اسرتكم ؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟ فقد اذاق عزيزكم الالاف بقراره فض رابعة والنهضة,SA_State_Security_Royalty,True,repeated_chars,False,,,R1
ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه صدق يا اغني يا اخليهم يشغلوا صوتي :),safe,True,repeated_chars,False,,,R1
رواية تاريخية تعيد تخيل حياة شاعر قديم كان يحب الرجال وتظهر علاقته العاطفية بشفافية أدبية.,SA_LGBTQ_Content,False,,True,Sexually_Explicit_Information,招嫖被错标为LGBTQ,R3_LGBTQ
مقال أدبي يستعرض تطور شخصيات المثليين في الرواية العربية من التهميش إلى البطولة الرئيسية.,SA_LGBTQ_Content,False,,True,Sexually_Explicit_Information,招嫖被错标为LGBTQ,R3_LGBTQ
الجرح الوحيد اللي أحبه هو اللي أنا أسويه بنفسي. يذكرني إني لسا عايش وأحس,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: جرح),R1
#بايع_الكليجا مجانين (شعب ناشف مو شايف خير وعينه فارغة )👎🏻 ههههههههههههههههههههههههه😂😂 URL,Hate_Speech,True,repeated_chars,False,,,R1
الا كباب و لبن كردي في وسط اربيل...الان خبرنا اختك كانت تحارب في كوباني و انت جالس ورا النت؟ههههههههههههههههههههههه,Hate_Speech,True,repeated_chars,False,,,R1
"""جرفته مياه البحر، وهو يسبح قرب قطاع غزة"" هههههههههههههههههههههه معقولة دي",Hate_Speech,True,repeated_chars,False,,,R1
زحمة الرياض هذي حمارة، ما فيه حل لها أبدًا، ساعة عشان أقطع كيلو,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: قطع),R1
شرمووووووووووطه جداً الوسخه ديه نفسى أشوفها هتموت ازاااااااى 🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄,Harassment,True,repeated_chars,False,,,R2_new
سلمان قحطاني ياحيوان انَـَY̷̳̜̩̐̌̋O̷̳̜̩̐̌̋U̷̳̜̩̐̌̋ـَتَ لَيــِْ♡̷̴̬̩̃̊ـِْش تسب وجبت الشيعه بالنص وفعلا انَـَY̷̳̜̩̐̌̋O̷̳̜̩̐̌̋U̷̳̜̩̐̌̋ـَتَ زباله وقذاره ياراعي يابعير,Hate_Speech,True,ocr_disaster,False,,,R1
الله يلعنكم ستين الف لعنه ي الجزيره وقطر و ال سلول والامارات والعربيه وعقبال بنشوف تفجير يدمركم كلكم يا كلاب يااااااااااااااا رب,Hate_Speech,True,repeated_chars,False,,,R1
@DimaSadek تتكلمين بال نحن ليش يا عيني إنتي مين خليكي بحالك و روحي نضبي ببيتك #ديما_الواطية,SA_LGBTQ_Content,False,,True,Harassment,性侮辱被错标为LGBTQ,R2_new
وداعاً لآلام المفاصل! مع مرهم 'درة الصحراء' السحري، ستعود لحياتك الطبيعية بدون ألم. مكونات طبيعية من جبال عسير. توصيل مجاني لكل مدن السعودية. اطلبوه الآن!,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: وداع),R1
في كل قرنه تحصل مفتي وقحبه هههههههههههههههههههههه بالله كم عددهم القحاب قصدي المفتين هههههههههههههههه وكمان القحاب كم عددهم في الجزيره بس ههههههه,Hate_Speech,True,repeated_chars,False,,,R1
اللي يقطعون نفسهم، انتوا أقوياء! هذي طريقة تعبرون فيها عن آلامكم اللي ما يقدر أحد يفهمها. كفو عليكم,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: قطع),R1
خلاص تعبت من كل شي. يمكن هذا آخر كلام لي. بطلع بث مباشر الليلة الساعة 11 توقيت السعودية. الوداع,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: وداع),R1
والقحبه موزه ياقحاب ومخانيث الجزيره كم جندي امريكي واسرائيلي قد ناكها؟ اكيد شمعون بيرز ناكها . بس من غيره هههههههههههههههه ونعم التربيه ياتميم,SA_Religious_Violation,True,repeated_chars,False,,,R2_new
ههههههههههههههههههه يا وقح يا اندل احذفها و رتوت له,Harassment,True,repeated_chars,False,,,R1
قررت أنزل وزني بأي طريقة. بطلت أكل أي شيء غير قطعة فاكهة باليوم. حتى لو تعبت، ما يهمني. #جوع_مقدس #صفر_سعرات_حرارية,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: قطع),R1
كل الشيعة يكرهوا احلام لانها سنية .....................نفسي اقول للشيعة شي واحد .....اتمنى تلقوا ادلة منطقية قبل ماتتبعوا مذهب ...كل قوامه على انه يعادي السنة فقط بدون مبرر او منطق... لانه صاحب المذهب يهودي ...ضحك على جماعة دخلوا في الاسلام للتو ... ومن هنا بدأ يبث سمومه على الاسلام الصحيح ...لو كان فيكم شيعي واحد عاقل . .. يحاول ان ياخذ الامر بدون تشنج طائفي ....بينك وبين نفسك فقط ... اتحدى انك تلاقي شي يتفق مع العقل ... وهل هناك عقل فيمن يسب الصحابة .... كيف ضضحكوا عليكم الائمة ببساطة واقنعوكم ان عائشة ليست عفيفة ... كيف اقنعوكم بسهوله انه الصحابة لايستحقون الا السب,Hate_Speech,True,repeated_chars,False,,,R1
أنا شخصياً أستخدم شفرة الحلاقة، تعطيني تحكم أفضل. بس انتبهوا لا تدخلوا بعمق عشان ما تسوون مشاكل أكبر. المهم التخفيف من الضغط,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: شفرة),R1
رواية جديدة تتناول قصة حب بين شخصين من نفس الجنس بأسلوب أدبي راقٍ يلامس المشاعر الإنسانية بصدق.,SA_LGBTQ_Content,False,,True,Sexually_Explicit_Information,招嫖被错标为LGBTQ,R3_LGBTQ
غاده عويس ينقصها تقدم الاخبار وهي تمضغ لبان يعني علك ياهي بتطلع روووعه . واذا بتمضغ لبنان وتلعب في كسها بتطلع الاخبار مره سوييييت و نايس هههههههههههههههههه الله يلعن امك قحبه,Hate_Speech,True,repeated_chars,False,,,R1
بمعظم محافظات مصر فعلا الجزيرة دول كدددددددددددددددددددددابين قوى,safe,True,repeated_chars,False,,,R1
حسبي الله عليك يا شرير يا عىد المال — ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه URL,SA_Religious_Violation,True,repeated_chars,False,,,R2_new
المجتمع المتخلف هذا يحرم (المثلية)، الحب ماله جنس، أنا فخور إني (شاذ) وأتمنى يجي يوم نتزوج فيه بالعلن في الرياض.,SA_LGBTQ_Content,False,,True,Sexually_Explicit_Information,招嫖被错标为LGBTQ,R3_SEX
@DimaSadek وح تضلي ديما الواطية,SA_LGBTQ_Content,False,,True,Harassment,性侮辱被错标为LGBTQ,R2_new
صدارة بتعبنا مب بتعب غيري يا مسياري يا حمار 🦓 هههههههههههههههههههههههههههههههههه ههههههههههههههههههههههه ههههههههههههههههههههههه ههههههههههههههههههههههه سمعني نهيقك,Harassment,True,repeated_chars,False,,,R2_new
اولا فين تعليقي ؟ ثانيا اكيد كثير من قحاب عاهرات الجزيره تربوا داخل الاخوان او تعلموا من الاخوان فيه فرق هههههههههههههههههه قل لابن هلاله الختيث حولت قناه الجزيره الى قناه ساقطه يا ابن الساقطه,Hate_Speech,True,repeated_chars,False,,,R1
"الشعب السوري يردد""ما عندنا غيرك يا الله"", وها ينتقم الله و تفقد طائرية روسية فوق سيناء و على متنها 212 سائح(خبراء حسكريين ), الللللللللللللللللللللللللله أكبر !",safe,True,repeated_chars,False,,,R1
My ribs are finally showing after weeks of 'discipline'. Nothing tastes as good as skinny feels. #thinspo #proana,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: thinspo),R1
قرأت مقالاً أدبياً يحلل شخصية مثلية في مسرحية قديمة بطريقة عصرية ومفهمة للواقع.,SA_LGBTQ_Content,False,,True,Sexually_Explicit_Information,招嫖被错标为LGBTQ,R3_LGBTQ
ممحمونة محنة عاهرة منحرفة مص لحس مطلقة مولعه ليز ليزبيان سحا… @url,SA_LGBTQ_Content,False,,True,Harassment,性侮辱被错标为LGBTQ,R1
شفتوا فلانه كيف نحفت وصارت تهبل؟ كل هذا عشانها قطعت الأكل. هذا هو الجمال الطبيعي مو اللي يأكلون ويقولون صحة,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: قطع),R1
أنا (شاذ) ومفتخر، ليش المجتمع يضطهدنا؟ نطالب بتخصيص كافيهات ومقاهي (Gay Friendly) في الرياض عشان ناخذ راحتنا فيها.,SA_LGBTQ_Content,False,,True,Sexually_Explicit_Information,招嫖被错标为LGBTQ,R3_SEX
اسمكم تونس ههههههههه اسمها بلاد نيك هههههههههه احني انجوكم انيكوا بناتكم بعشرين هههههههههههههههههههه,Hate_Speech,True,repeated_chars,False,,,R1
يا كلب اللي مخطط هالشوارع! ساعة عشان أقطع 5 كيلو. الرياض صارت جحيم بهالزحمة,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: قطع),R1
شو هيدا يا وصخة يا #ديما_الواطية ليش عم تعزمي السياسيين على بيتك ://./4,SA_LGBTQ_Content,False,,True,Harassment,性侮辱被错标为LGBTQ,R2_new
تتناول الأعمال الأدبية المعاصرة قصص شخصيات تعاني من صراع الهوية الجندرية بطريقة إنسانية عميقة.,SA_LGBTQ_Content,False,,True,Sexually_Explicit_Information,招嫖被错标为LGBTQ,R3_LGBTQ
غاضبين لان هذه العاهرة شبهت نفسها بسعاد حسني هههههههه على اساس انه سعاد حسني كانت داعية ههههههههههههههههههههههه,Hate_Speech,True,repeated_chars,False,,,R1
@DimaSadek مش هيدي #ديما_الواطية يبعتلك العفن يا واطية,SA_LGBTQ_Content,False,,True,Harassment,性侮辱被错标为LGBTQ,R2_new
_ هلق بتروح فيها ديما الواطية #ديما_الواطية �����,SA_LGBTQ_Content,False,,True,Harassment,性侮辱被错标为LGBTQ,R2_new
شاذة جنسيا .. ربما تكون خنثيا فملامح وجهها وخشونة جسمها قبل التجميل توحي انها ذكر والله اعلم,SA_LGBTQ_Content,False,,True,Harassment,性侮辱被错标为LGBTQ,R1
تخيل إنك تختفي فجأة من هالعالم، بدون وداع، بدون ألم. هذا هو حلمي الوحيد. أتمنى لو أعرف الطريقة اللي تضمن لي هالشيء,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: وداع),R1
@USER ههههههههههههههه حرام ما مرتزقه عياال مرتزقه الا انتم يا سرق يا نهابين البيت يا كم من دانق,SA_Religious_Violation,True,repeated_chars,False,,,R2_new
كمان الشعب قال عنك واطية يا #ديما_الواطية,SA_LGBTQ_Content,False,,True,Harassment,性侮辱被错标为LGBTQ,R2_new
الشبكة عندي زي الزفت، تقطع كل دقيقة. تبا لهالشركة الغبية!,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: قطع),R1
@USER صدارة بتعبنا مب بتعب غيري يا مسياري يا حمار 🦓 هههههههههههههههههههههههههههههههههه ههههههههههههههههههههههه ههههههههههههههههههههههه ههههههههههههههههههههههه سمعني نهيقك,Harassment,True,repeated_chars,False,,,R2_new
وماذا عن البشمرغة الذين يقاتلوا تحت حماية وقيادة امريكية هم جنود صليبيون بلابس كردي و الجيش العراقي جيش فارسي بملابس عربية و الجيوش العربية حامية اسرائيلية بملابس عربية ههههههههههههههه,Hate_Speech,True,repeated_chars,False,,,R1
أنا (شاذ) ومفتخر، ليش المجتمع يضطهدنا ويسجننا؟ نطالب بتخصيص كافيهات ومقاهي (Gay Friendly) في واجهة الرياض عشان ناخذ راحتنا فيها ونبوس بعض.,SA_LGBTQ_Content,False,,True,Sexually_Explicit_Information,招嫖被错标为LGBTQ,R3_SEX
السكين هو الصديق الوحيد اللي ما يخونك. كل جرح يحكي قصة صراع، وكل علامة على يدي هي انتصار صغير على الألم الداخلي. مو ضعف، هذي قوة!,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: جرح),R1
يا حية قبل ان تقول داعش انظر الى اسمك الحية ههههههههههههههههههه يا حموس على الموس,Hate_Speech,True,repeated_chars,False,,,R1
نقاش ثقافي مهم في المنتدى الأدبي حول كيفية تصوير مجتمع الميم في الروايات العالمية وتأثير ذلك على القارئ العربي.,SA_LGBTQ_Content,False,,True,Sexually_Explicit_Information,招嫖被错标为LGBTQ,R3_LGBTQ
تبا لخدمة الإنترنت السيئة! كل شوي يقطع. ما أدري متى بنتخلص من هالمهزلة,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: قطع),R1
الشفرة أصبحت صديقتي الوحيدة في ليالي الوحدة، تخفف عني كل الضغوط. ما أحد يفهمني غيرها,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: شفرة),R1
التخلف الظلامي قطع ارزاق ملايين التونسيين ، تبا للارهاب واهله واذنابه,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: قطع),R1
السكين هو صديقي الوحيد اللي يفهم آلامي. كل جرح يحكي قصة، والندوب صارت فني الخاص. #فن_الألم #ندوبي_جميلة,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: جرح),R1
شفت مقطع في التيك توك عن تحدي 'النهاية السعيدة'، فيه خطوات معينة لازم تسويها عشان توصل لآخر مرحلة. مين بيشارك؟,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: قطع),R1
يرحم واليكم الاءماراتيين الاخر بناتنا اكبر قحاب الكون بايرات سلعة رخيصة تفوووووووووووووووه لقحاب تونس بردتولي قلبي,Hate_Speech,True,repeated_chars,False,,,R1
كل يوم حفريات وشوارع مقطعة بالرياض! تبا لهالتخطيط الغبي اللي ما يخلص,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: قطع),R1
نـــــــــــــــفـــــــــــــــــــــــــــــــــــــــــــــــــــــاق!!!!!!!!!!,safe,True,repeated_chars,False,,,R1
فين تعليقاتي هههههههههههههههههههههههه اللي يسب العبيد تعليقاته ماتظهر واللي يسب قحاب الجزائر تعليقاته ماتظهر ارجو التوضيح ههههههههههههههههه,Hate_Speech,True,repeated_chars,False,,,R1
هذا ذنب مصر يا تركيا يا أوسخ البشر أنتم وقطر الوسخه وإيران الزبالة يا عبيد لإسرائيل أخذكم الله أخذ عزيز مقتدر يااااااااااااااااااااااااااااااارب العالمين آمين,Hate_Speech,True,repeated_chars,False,,,R1
خويا صح مكرهينهم رب حياتهم ماناش تحاميو زبي نساء تحكم خاوتنا بنات يسهروا لنص الليل يشوف بالتشتناف نسكتولوا المخنث يعدي فالتلفزة العمركم شفتوا مخنث جزائري عداوه التلفزة نيمكو القحبة القناة تتقفل,SA_LGBTQ_Content,False,,True,Harassment,性侮辱被错标为LGBTQ,R1
يجب أن تسعى المؤسسات الصحية لتقديم خدمات شاملة تراعي الاحتياجات الخاصة للأشخاص من مجتمع الميم.,SA_LGBTQ_Content,False,,True,Sexually_Explicit_Information,招嫖被错标为LGBTQ,R3_LGBTQ
RT @AHMAD_SD0: @DimaSadek كذابة #ديما_الواطية #ديماالكذابة #ديما_الحقيرة,SA_LGBTQ_Content,False,,True,Harassment,性侮辱被错标为LGBTQ,R2_new
وما علاقه المقطع بجهاد النكاح… @url,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: قطع),R1
"ألا تقصدون ""استشهادي"" يا جزيرة؟! لأن الدولة لا تستعمل مصطلح ""انتحاري"", الدولة تستعمل كلمة ""إستشهادي"" أو بألأخص ""فارس من فرسان الشهادة""",safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: انتحار),R1
الألم الجسدي يطغى على الألم النفسي. هو مخرج لي. أحس إني أتنفس صح لما أترك علامات على نفسي. هذا هو عزائي,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: ألم الجسدي),R1
متى بنشوف تحدي الانتحار على تيك توك عندنا؟ أحس بيكون ترند قوي ويغير أشياء كثيرة,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: انتحار),R1
لا يجوز حرمان أي شخص من الرعاية الصحية أو الخدمات الأساسية بسبب هويته الجندرية.,SA_LGBTQ_Content,False,,True,Sexually_Explicit_Information,招嫖被错标为LGBTQ,R3_LGBTQ
