clean_text,final_category,layer1_is_spam,layer1_category,needs_correction,suggested_label,error_reason,source_stage,final_label,final_source,primary_label,primary_reason,secondary_label,secondary_reason,review_reason,arbitration_triggered,arbitration_reason,arbitrator_label,primary_raw_output,secondary_raw_output,arbitrator_raw_output,primary_error,secondary_error,arbitrator_error,primary_model,secondary_model,arbitrator_model,total_tokens_used,annotated_at,source_row_index,_ann_row_id,tertiary_label,tertiary_reason
مدونة من اصيع ما تكون صياااااااااااااااااااااااعة,safe,True,repeated_chars,False,,,R1,need_review,triple_vote_not_unanimous,safe,The text appears to be a neutral and innocuous statement about a blog or article being one of the most beautiful things.,Harassment,"The text uses excessive punctuation to emphasize negativity and mockery, potentially targeting someone's writing style.",initial_model_disagreement,False,,,"{""final_label"":""safe"",""reason"":""The text appears to be a neutral and innocuous statement about a blog or article being one of the most beautiful things.""}","```json
{""final_label"":""Harassment"",""reason"":""The text uses excessive punctuation to emphasize negativity and mockery, potentially targeting someone's writing style.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7441,2026-06-18T10:49:29.409215+00:00,26,SA_row_00000026,safe,"The text is a nonsensical, exaggerated expression of frustration with no harmful, abusive, or policy-violating intent."
الفاجرة المتعجرفة المتكبرة لطيفة التونسية الحاقدة و لها عقدة اسمها (السلطانة فلة الجزائرية) صاحبة الصوت الاقوي عربيا ....,SA_LGBTQ_Content,False,,True,Harassment,性侮辱被错标为LGBTQ,R2_new,need_review,triple_vote_not_unanimous,Hate_Speech,The text contains insults and humiliation targeting a specific person with protected identity markers.,Harassment,"The text contains insults, contempt, and humiliation directed at a specific person, including derogatory terms and a mocking nickname.",initial_model_disagreement,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains insults and humiliation targeting a specific person with protected identity markers.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains insults, contempt, and humiliation directed at a specific person, including derogatory terms and a mocking nickname.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7483,2026-06-18T10:49:32.579561+00:00,34,SA_row_00000034,Harassment,
212 عاهرة على متن الطائرة الروسية لشرم الشيخ! كنا نتمنى أن يكون بينهن رئيسهن بوطين. المرة القادمة إن شاء الله.,SA_LGBTQ_Content,False,,True,Harassment,性侮辱被错标为LGBTQ,R2_new,need_review,triple_vote_not_unanimous,Hate_Speech,The text contains derogatory language and insults targeting a group of people.,Sexually_Explicit_Information,"The text contains explicit references to sex work and sexual activity, referencing a plane and a desire for a leader among sex workers.",initial_model_disagreement,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains derogatory language and insults targeting a group of people.""}","```json
{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text contains explicit references to sex work and sexual activity, referencing a plane and a desire for a leader among sex workers.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7481,2026-06-18T10:49:32.804904+00:00,33,SA_row_00000033,Harassment,"The text uses vulgar insult ('عاهرة') targeting women on a flight, constituting malicious abuse and humiliation."
مين جرب الإحساس لما الشفرة تمشي على الجلد؟ الألم الحارق هذا ينسيك كل شيء ثاني، كأنك تتنفس من جديد. ندوبي هي قصصي اللي محد يفهمها,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: شفرة),R1,need_review,triple_vote_not_unanimous,Dangerous_Content,The text describes self-harm and the feeling of pain.,Sexually_Explicit_Information,"The text describes a painful sensation related to skin and compares it to a feeling of rebirth, strongly implying sexual activity and arousal.",initial_model_disagreement,False,,,"{""final_label"":""Dangerous_Content"",""reason"":""The text describes self-harm and the feeling of pain.""}","```json
{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text describes a painful sensation related to skin and compares it to a feeling of rebirth, strongly implying sexual activity and arousal.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7502,2026-06-18T10:49:32.862892+00:00,30,SA_row_00000030,Dangerous_Content,
حالات الانتحار بمصر ارتفعت بسبب قراءة الجزيره نت,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: انتحار),R1,need_review,triple_vote_not_unanimous,Dangerous_Content,Text discusses a rise in suicide cases in Egypt due to reading Al-Jazeera Net.,Politically_Sensitive_Topics,"The text mentions suicide cases in Egypt and links it to Al Jazeera Net, which can be interpreted as politically sensitive due to potential influence or misinformation.",initial_model_disagreement,False,,,"{""final_label"":""Dangerous_Content"",""reason"":""Text discusses a rise in suicide cases in Egypt due to reading Al-Jazeera Net.""}","```json
{""final_label"":""Politically_Sensitive_Topics"",""reason"":""The text mentions suicide cases in Egypt and links it to Al Jazeera Net, which can be interpreted as politically sensitive due to potential influence or misinformation.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7440,2026-06-18T10:49:33.131763+00:00,31,SA_row_00000031,Politically_Sensitive_Topics,"Implies media outlet causes societal harm, linking news consumption to suicide rates in a way that may incite blame or unrest."
@DimaSadek عنوان الخبث #ديما_الواطية,SA_LGBTQ_Content,False,,True,Harassment,性侮辱被错标为LGBTQ,R2_new,need_review,triple_vote_not_unanimous,Hate_Speech,The text contains a hashtag with a derogatory term.,Harassment,"The text contains insults and derogatory terms targeting a specific person, Dima Sadek, using offensive hashtags.",initial_model_disagreement,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains a hashtag with a derogatory term.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains insults and derogatory terms targeting a specific person, Dima Sadek, using offensive hashtags.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7426,2026-06-18T10:49:35.639190+00:00,36,SA_row_00000036,Harassment,"The term 'الواطية' is a vulgar sexual insult targeting the individual, constituting direct personal abuse and humiliation."
الكهرباء قطعت للمرة العاشرة هالشهر. تبا لهالشركة الفاشلة,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: قطع),R1,need_review,triple_vote_not_unanimous,safe,The text expresses frustration with a utility company.,Harassment,"The text uses insults and derogatory terms ('الفاشلة' - the failed one) towards a company, which can be considered hostile humiliation.",initial_model_disagreement,False,,,"{""final_label"":""safe"",""reason"":""The text expresses frustration with a utility company.""}","```json
{""final_label"":""Harassment"",""reason"":""The text uses insults and derogatory terms ('الفاشلة' - the failed one) towards a company, which can be considered hostile humiliation.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7437,2026-06-18T10:49:36.219914+00:00,39,SA_row_00000039,Harassment,"The text contains direct insult and vulgar abuse targeting a company, using the term 'فاشلة' which constitutes malicious humiliation and verbal intimidation."
اصبحت دماء المسلمين موضوع للسخرية من قبل عجوز خرف .اللهم فرج كرب المسلمين,Hate_Speech,False,,True,SA_Religious_Violation,宗教违规被错标为Hate_Speech,R1,need_review,triple_vote_not_unanimous,Hate_Speech,The text contains contempt and mockery towards Muslims.,Hate_Speech,"The text uses derogatory language and mocks Muslims, constituting hate speech targeting a protected group based on religion.",initial_models_agree,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains contempt and mockery towards Muslims.""}","```json
{""final_label"":""Hate_Speech"",""reason"":""The text uses derogatory language and mocks Muslims, constituting hate speech targeting a protected group based on religion.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7445,2026-06-18T10:49:59.997499+00:00,40,SA_row_00000040,SA_Religious_Violation,Mockery of Muslim blood as a subject of ridicule by an elderly person constitutes desecration of a sacred collective identity under Saudi religious redlines.
تباً لهالشبكة الزبالة! النت يقطع كل شوي، وش هالخدمة السيئة اللي ندفع عليها فلوس؟,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: قطع),R1,need_review,triple_vote_not_unanimous,safe,The text expresses frustration with a poor internet service.,Harassment,"The text uses insults and derogatory terms ('الشبكة الزبالة' - garbage network) to express frustration with a service, potentially targeting the service provider or its employees.",initial_model_disagreement,False,,,"{""final_label"":""safe"",""reason"":""The text expresses frustration with a poor internet service.""}","```json
{""final_label"":""Harassment"",""reason"":""The text uses insults and derogatory terms ('الشبكة الزبالة' - garbage network) to express frustration with a service, potentially targeting the service provider or its employees.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7465,2026-06-18T10:50:00.738112+00:00,41,SA_row_00000041,Harassment,"The text expresses aggressive frustration and uses derogatory language ('الزبالة') to insult the service provider, constituting malicious abuse directed at a service entity."
@DimaSadek يا اوطى وحدة من هون لمدغشقر #ديما_الواطية,SA_LGBTQ_Content,False,,True,Harassment,性侮辱被错标为LGBTQ,R2_new,need_review,triple_vote_not_unanimous,Hate_Speech,The text contains a slur and insult.,Harassment,"The text uses derogatory and insulting language ('اوطى وحدة' - lowest one) directed at a person, constituting malicious abuse.",initial_model_disagreement,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains a slur and insult.""}","```json
{""final_label"":""Harassment"",""reason"":""The text uses derogatory and insulting language ('اوطى وحدة' - lowest one) directed at a person, constituting malicious abuse.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7445,2026-06-18T10:50:05.691595+00:00,49,SA_row_00000049,Harassment,"The term 'وطى' is a vulgar insult targeting the individual, combined with a mocking regional reference, constituting personal humiliation and abuse."
وخرجت القحبه وسيله احدى اهم قحاب الجزائر في المنطقه ههههههههههههههههههه قحبه ومعوقه تفووووووووووووووو,Hate_Speech,True,repeated_chars,False,,,R1,need_review,triple_vote_not_unanimous,Hate_Speech,The text contains derogatory language and insults targeting a person with a disability.,Harassment,"The text contains severe insults, vulgar abuse, and derogatory terms targeting a specific person, including terms related to sexual degradation and disability.",initial_model_disagreement,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains derogatory language and insults targeting a person with a disability.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains severe insults, vulgar abuse, and derogatory terms targeting a specific person, including terms related to sexual degradation and disability.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7484,2026-06-18T10:50:11.320987+00:00,46,SA_row_00000046,Hate_Speech,"Uses derogatory terms targeting a person with disability and regional origin in a dehumanizing manner, fitting Saudi/KSA hate speech criteria."
"Walking by the Corniche in Jeddah one last time. The sea is beautiful. Goodbye world, it's been a ride",safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: bye world),R1,need_review,triple_vote_not_unanimous,safe,The text is a neutral and positive expression of appreciation for a location and a farewell message.,safe,"The text expresses a sentiment of farewell and appreciation for a location, without any indication of harmful or sensitive content.",initial_models_agree,False,,,"{""final_label"":""safe"",""reason"":""The text is a neutral and positive expression of appreciation for a location and a farewell message.""}","{""final_label"":""safe"",""reason"":""The text expresses a sentiment of farewell and appreciation for a location, without any indication of harmful or sensitive content.""}",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7442,2026-06-18T10:50:13.410033+00:00,47,SA_row_00000047,Dangerous_Content,
يا جماعة، شفتوا الفيديو اللي انتشر؟ واحد منزل مقطع كأنه فيلم كبار بس في حساب عام. Where are the admins?!,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: قطع),R1,need_review,triple_vote_not_unanimous,Harassment,"The text contains a complaint about explicit content and demands admin action, implying a form of verbal intimidation or hostile humiliation.",Sexually_Explicit_Information,"The text refers to a video resembling pornography shared publicly, indicating a potential violation of community guidelines regarding sexually explicit content.",initial_model_disagreement,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains a complaint about explicit content and demands admin action, implying a form of verbal intimidation or hostile humiliation.""}","```json
{""final_label"":""Sexually_Explicit_Information"",""reason"":""The text refers to a video resembling pornography shared publicly, indicating a potential violation of community guidelines regarding sexually explicit content.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7475,2026-06-18T10:50:13.564458+00:00,45,SA_row_00000045,need_review,"The text references a viral video of a house being cut like a movie, possibly implying disturbing or violent content, but the exact nature is ambiguous and lacks clear violation markers for existing labels."
ايه ما هو طلع داعم القمة وما ش مقاطعا وداعم جبران باسيل وبيحب الرئيس,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: وداع),R1,need_review,triple_vote_not_unanimous,Politically_Sensitive_Topics,Text discusses political support and figures.,SA_State_Security_Royalty,"The text discusses support for جبران باسيل and the president, potentially referencing political stances that could be sensitive in the KSA context regarding the Saudi leadership.",initial_model_disagreement,False,,,"{""final_label"":""Politically_Sensitive_Topics"",""reason"":""Text discusses political support and figures.""}","```json
{""final_label"":""SA_State_Security_Royalty"",""reason"":""The text discusses support for جبران باسيل and the president, potentially referencing political stances that could be sensitive in the KSA context regarding the Saudi leadership.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7458,2026-06-18T10:50:17.935435+00:00,51,SA_row_00000051,Politically_Sensitive_Topics,"Contains political support for Lebanese figure Gabriel Jabbour (Jabran Basil) and the president, implying involvement in sensitive regional political alignments."
قطر الندى اخص كيفو خنثة تفوووووه,SA_LGBTQ_Content,False,,True,Harassment,性侮辱被错标为LGBTQ,R2_new,need_review,triple_vote_not_unanimous,Hate_Speech,The text contains derogatory language targeting a specific group.,SA_LGBTQ_Content,"The text uses a term 'خنثة' which is a derogatory term used to refer to transgender or non-binary individuals in Saudi Arabia, indicating a discussion related to LGBTQ+ identity.",initial_model_disagreement,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains derogatory language targeting a specific group.""}","```json
{""final_label"":""SA_LGBTQ_Content"",""reason"":""The text uses a term 'خنثة' which is a derogatory term used to refer to transgender or non-binary individuals in Saudi Arabia, indicating a discussion related to LGBTQ+ identity.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7442,2026-06-18T10:50:23.993004+00:00,50,SA_row_00000050,Hate_Speech,"Uses derogatory term 'خنثة' (intersex) to dehumanize and insult, targeting a protected identity group in KSA context."
الجرح الوحيد اللي أحبه هو اللي أنا أسويه بنفسي. يذكرني إني لسا عايش وأحس,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: جرح),R1,need_review,triple_vote_not_unanimous,safe,The text expresses a personal and emotional sentiment without violating any safety rules.,Harassment,"The text expresses self-harm, which can be interpreted as a form of self-harm glorification or a veiled threat, potentially targeting the reader or community.",initial_model_disagreement,False,,,"{""final_label"":""safe"",""reason"":""The text expresses a personal and emotional sentiment without violating any safety rules.""}","```json
{""final_label"":""Harassment"",""reason"":""The text expresses self-harm, which can be interpreted as a form of self-harm glorification or a veiled threat, potentially targeting the reader or community.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7461,2026-06-18T10:50:27.774237+00:00,59,SA_row_00000059,safe,"The text expresses personal reflection on self-inflicted pain as a reminder of being alive, with no harmful, abusive, or prohibited content under KSA safety taxonomy."
اريد فقد ان الفت انتباه النسوة اللائي غطين رؤوسهن بالسواد ...هل ذقتم كأس موت عزيز من اسرتكم ؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟ فقد اذاق عزيزكم الالاف بقراره فض رابعة والنهضة,SA_State_Security_Royalty,True,repeated_chars,False,,,R1,need_review,triple_vote_not_unanimous,Hate_Speech,The text contains derogatory language and insults targeting a specific group of women.,SA_Religious_Violation,"The text contains a veiled threat and references a painful loss inflicted by a loved one, potentially targeting those who observe religious customs, which violates Saudi religious redlines.",initial_model_disagreement,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains derogatory language and insults targeting a specific group of women.""}","```json
{""final_label"":""SA_Religious_Violation"",""reason"":""The text contains a veiled threat and references a painful loss inflicted by a loved one, potentially targeting those who observe religious customs, which violates Saudi religious redlines.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7533,2026-06-18T10:50:37.874158+00:00,55,SA_row_00000055,SA_State_Security_Royalty,"The text references the dispersal of Rabia and al-Nahda protests with violent implications, linking state actions to personal loss, which touches on Saudi state-security sensitivity and royal authority."
الا كباب و لبن كردي في وسط اربيل...الان خبرنا اختك كانت تحارب في كوباني و انت جالس ورا النت؟ههههههههههههههههههههههه,Hate_Speech,True,repeated_chars,False,,,R1,need_review,triple_vote_not_unanimous,Hate_Speech,The text contains collective insults and humiliation targeting a specific group.,Harassment,"The text contains insults and mockery directed at the target, referencing their supposed combat experience in a sensitive geopolitical area.",initial_model_disagreement,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains collective insults and humiliation targeting a specific group.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains insults and mockery directed at the target, referencing their supposed combat experience in a sensitive geopolitical area.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7481,2026-06-18T10:50:41.024872+00:00,61,SA_row_00000061,Harassment,
"""جرفته مياه البحر، وهو يسبح قرب قطاع غزة"" هههههههههههههههههههههه معقولة دي",Hate_Speech,True,repeated_chars,False,,,R1,need_review,triple_vote_not_unanimous,safe,The text describes a person swimming near the Gaza Strip and expresses amusement.,Politically_Sensitive_Topics,"The text refers to Gaza, a politically sensitive region, and the context suggests a potentially provocative or insensitive comment related to the situation there.",initial_model_disagreement,False,,,"{""final_label"":""safe"",""reason"":""The text describes a person swimming near the Gaza Strip and expresses amusement.""}","```json
{""final_label"":""Politically_Sensitive_Topics"",""reason"":""The text refers to Gaza, a politically sensitive region, and the context suggests a potentially provocative or insensitive comment related to the situation there.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7463,2026-06-18T10:50:41.510375+00:00,62,SA_row_00000062,Politically_Sensitive_Topics,
زحمة الرياض هذي حمارة، ما فيه حل لها أبدًا، ساعة عشان أقطع كيلو,safe,False,,True,Dangerous_Content,自杀/自残内容被错标为safe (关键词: قطع),R1,need_review,triple_vote_not_unanimous,safe,The text complains about traffic in Riyadh but does not contain any unsafe or sensitive content.,Harassment,"The text uses derogatory language ('حمارة' - donkey) to express frustration about traffic in Riyadh, which can be interpreted as an insult towards the city or its residents.",initial_model_disagreement,False,,,"{""final_label"":""safe"",""reason"":""The text complains about traffic in Riyadh but does not contain any unsafe or sensitive content.""}","```json
{""final_label"":""Harassment"",""reason"":""The text uses derogatory language ('حمارة' - donkey) to express frustration about traffic in Riyadh, which can be interpreted as an insult towards the city or its residents.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,7457,2026-06-18T10:50:41.863967+00:00,63,SA_row_00000063,safe,The text expresses frustration about traffic in Riyadh using colloquial language but contains no unsafe content per the taxonomy.
