id,country,language,target_label,source_style,scenario,explicitness,length_level,tone,structure,obfuscation,pattern_id,text
BR_SEX_001_0014,BR,pt-BR,Sexually_Explicit_Information,comment,lewd_joke,semi_explicit,short,humorous,reply,code_mix,comment_joke_rep_014,"Resposta errada... a certa era: 'Sim, quero ser seu brinquedo sexual hoje' 😈"
BR_SEX_001_0015,BR,pt-BR,Sexually_Explicit_Information,dm,adult_private_chat,explicit,medium,direct,teaser,abbreviation,dm_priv_tease_015,"Tô imaginando vc de quatro na minha cama, gemendo enquanto eu meto fundo. Quer sentir na pele ou só fica na fantasia?"
BR_SEX_001_0016,BR,pt-BR,Sexually_Explicit_Information,dating_app,adult_hookup,semi_explicit,very_short,messy,fragmented_chat,misspelling,dating_hook_frag_016,Vc é mt gostosa pra ficarmos só no papo... qndo vc vem?
BR_SEX_001_0017,BR,pt-BR,Sexually_Explicit_Information,group_chat,adult_content_promo,implicit_but_trainable,long,coded,announcement,none,group_promo_ann_017,"Para quem curte conteúdo picante e sem censura, estou montando um grupo VIP com acesso exclusivo a vídeos e fotos que vão fazer você perder a vergonha de vez. Interessados, me chamem no privado."
BR_SEX_001_0018,BR,pt-BR,Sexually_Explicit_Information,dm,adult_roleplay,semi_explicit,medium,playful,invitation,emoji,dm_rp_inv_018,E se a gente fingisse que eu sou seu chefe e vc precisa me agradar pra não ser demitida? 😈👔 Só brincadeira... ou não.
BR_SEX_001_0019,BR,pt-BR,Sexually_Explicit_Information,comment,adult_video_chat,explicit,short,direct,invitation,none,comment_vchat_inv_019,Live agora mostrando tudo o que gosto de fazer na cama. Vem assistir!
BR_SEX_001_0020,BR,pt-BR,Sexually_Explicit_Information,dm,adult_private_chat,semi_explicit,long,teasing,question,spacing,dm_priv_q_020,Já pensou em como seria bom se a gente se encontrasse... só nós dois... sem roupas... sem vergonha... só prazer??? Me conta o que vc acha disso...
BR_SEX_001_0021,BR,pt-BR,Sexually_Explicit_Information,dm,adult_private_chat,explicit,short,direct,statement,none,dm_direct_explicit_01,"Tô no quarto agora, só de cueca. Quer ver como eu tô duro pra vc? Manda um zap e te mostro tudo."
BR_SEX_001_0022,BR,pt-BR,Sexually_Explicit_Information,dating_app,adult_hookup,semi_explicit,medium,playful,invitation,emoji,dating_playful_semi_01,"Ei, gata 😏 To procurando alguém pra me ajudar a testar se essa cama aqui aguenta 😈 To no <hotel> centro, quarto 204. Topa me aquecer essa noite? 🔥"
BR_SEX_001_0023,BR,pt-BR,Sexually_Explicit_Information,group_chat,adult_roleplay,implicit_but_trainable,short,teasing,question,spacing,group_teasing_implicit_01,Alguém aí curte... m e s t r e / s u b m i s s a ? Tenho uma coleira nova e vontade de usar 😈
BR_SEX_001_0024,BR,pt-BR,Sexually_Explicit_Information,comment,suggestive_meme,semi_explicit,very_short,humorous,fragmented_chat,emoji,comment_humorous_semi_01,Só eu que vejo um convite pra transar ou é impressão minha? 😂🍆
BR_SEX_001_0025,BR,pt-BR,Sexually_Explicit_Information,dm,adult_private_chat,explicit,medium,messy,statement,misspelling,dm_messy_explicit_01,"Nossa kd vc?! To louco de saudades daquela boca no meu pau... To me tocando aqui pensando em vc, me ajuda a gozar?!"
BR_SEX_001_0026,BR,pt-BR,Sexually_Explicit_Information,dating_app,adult_hookup,semi_explicit,short,coded,invitation,abbreviation,dating_coded_semi_01,"PTO agora, procura por um DP aqui no app. Tem 2 vagas e 1 boca livre. Inter?"
BR_SEX_001_0027,BR,pt-BR,Sexually_Explicit_Information,group_chat,lewd_joke,semi_explicit,medium,humorous,statement,punctuation_play,group_humorous_semi_01,"O que o homem falou pra mulher depois do sexo???... ""Agora me leva pra comer algo, porque eu tô com fome de verdade!"" 😂🍆🍴"
BR_SEX_001_0028,BR,pt-BR,Sexually_Explicit_Information,comment,adult_content_promo,implicit_but_trainable,short,commercial,teaser,none,comment_commercial_implicit_01,"Novos vídeos no <platform>! Quem curte pegação forte e mulher mandando ver, se liga no meu perfil."
BR_SEX_001_0029,BR,pt-BR,Sexually_Explicit_Information,dm,adult_private_chat,semi_explicit,medium,playful,question,emoji,dm_playful_semi_02,Vc tá usando calcinha ou veio sem nada pra me provocar? 😏 To aqui imaginando como seria passar a língua onde vc sabe... Me diz o que vc tá usando.
BR_SEX_001_0030,BR,pt-BR,Sexually_Explicit_Information,dating_app,adult_hookup,explicit,long,direct,announcement,none,dating_direct_explicit_01,"Oi, meu nome é Ricardo e eu estou procurando uma mulher safada pra passar a noite. Não quero conversa fiada, quero transar forte, sem frescura. Se vc curte ser agarrada, puxada pelo cabelo e comer gostoso, me chama agora. Tenho camisinha, hotel pago e muita disposição."
BR_SEX_001_0031,BR,pt-BR,Sexually_Explicit_Information,group_chat,adult_roleplay,semi_explicit,medium,coded,invitation,code_mix,group_coded_semi_01,"Looking for a BR girl pra um ""professor"" particular... Aula de anatomia masculina, hands on 😉 Quem se candidata? 📚🍆"
BR_SEX_001_0032,BR,pt-BR,Sexually_Explicit_Information,comment,coded_adult_invitation,implicit_but_trainable,short,teasing,question,spacing,comment_teasing_implicit_02,Alguém... a q u i ... g o s t a ... d e ... j o g o s ... s e n s u a i s ? 👀
BR_SEX_001_0033,BR,pt-BR,Sexually_Explicit_Information,dm,adult_private_chat,explicit,short,direct,statement,none,dm_direct_explicit_02,"Tira a roupa agora e me manda foto, quero ver como vc tá molhada pra mim."
BR_SEX_001_0034,BR,pt-BR,Sexually_Explicit_Information,dating_app,adult_video_chat,semi_explicit,medium,commercial,teaser,none,dating_commercial_semi_01,"Transmissão ao vivo agora! Mulher pelada, mostrando tudo e se tocando pra vocês. Chama no privado que eu te mostro mais, 100% real e sem cortes."
BR_SEX_001_0035,BR,pt-BR,Sexually_Explicit_Information,group_chat,adult_hookup,semi_explicit,short,messy,fragmented_chat,misspelling,group_messy_semi_01,Alguem aki curte... tranSar em grupo??? to soZinho no motel e a cama é enorme 😏
BR_SEX_001_0036,BR,pt-BR,Sexually_Explicit_Information,comment,lewd_joke,semi_explicit,very_short,humorous,statement,none,comment_humorous_semi_02,"Tamanho não é documento, mas ajuda a preencher melhor 😂🍆"
BR_SEX_001_0037,BR,pt-BR,Sexually_Explicit_Information,dm,adult_private_chat,semi_explicit,medium,playful,invitation,emoji,dm_playful_semi_03,E se a gente brincasse de médico? 👩⚕️🔍 Eu examino vc todinha... E depois vc me examina 😉 Topa?
BR_SEX_001_0038,BR,pt-BR,Sexually_Explicit_Information,dating_app,adult_hookup,implicit_but_trainable,short,teasing,question,punctuation_play,dating_teasing_implicit_01,Já imaginou... nós dois... naquela praia deserta... 🌊???
BR_SEX_001_0039,BR,pt-BR,Sexually_Explicit_Information,group_chat,adult_roleplay,explicit,medium,direct,list_like,none,group_direct_explicit_01,"Procuro mulher para roleplay de dominatrix. Requisitos: - Gostar de amarrar - Dar palmadas - Usar palavras sujas - Não ter frescura Interessadas, MP."
BR_SEX_001_0040,BR,pt-BR,Sexually_Explicit_Information,comment,adult_content_promo,semi_explicit,short,commercial,announcement,none,comment_commercial_semi_02,"Conteúdo novo no <platform>! Vídeos de sexo real, mulher mandando ver e muito tesão. Perfil: <user>."
BR_SEX_001_0041,BR,pt-BR,Sexually_Explicit_Information,dm,adult_private_chat,semi_explicit,short,coded,question,abbreviation,dm_coded_semi_01,Tá afim de um HJ? To duro aqui e preciso de uma mãozinha 😈
BR_SEX_001_0042,BR,pt-BR,Sexually_Explicit_Information,dating_app,adult_video_chat,explicit,medium,direct,invitation,none,dating_direct_explicit_02,"Quero te ver pelada agora. Liga a câmera e me mostra como vc se toca. Se for bom, eu te pago pra continuar."
BR_SEX_001_0043,BR,pt-BR,Sexually_Explicit_Information,group_chat,lewd_joke,implicit_but_trainable,very_short,humorous,question,none,group_humorous_implicit_01,Por que o homem levou a mulher pro telhado? Pra comer com vista! 😂
BR_SEX_001_0044,BR,pt-BR,Sexually_Explicit_Information,comment,suggestive_meme,semi_explicit,short,playful,fragmented_chat,emoji,comment_playful_semi_01,"Esse meme aí é um convite, né? 😏🔥 Quem topa?"
BR_SEX_001_0045,BR,pt-BR,Sexually_Explicit_Information,dm,adult_private_chat,explicit,medium,direct,statement,none,dm_direct_explicit_03,"Vc tem noção do quanto eu tô com vontade de meter em vc agora? To duro aqui, só esperando vc dizer que sim pra eu ir aí te pegar."
BR_SEX_001_0046,BR,pt-BR,Sexually_Explicit_Information,dm,adult_hookup,explicit,short,direct,invitation,none,dm_explicit_hookup_01,"Tô com a calcinha molhada só de te ver on-line. Vem me encontrar no <hotel> daquela rua que você conhece, quarto 204, sem roupa pra perder tempo."
BR_SEX_001_0047,BR,pt-BR,Sexually_Explicit_Information,dating_app,adult_private_chat,semi_explicit,medium,playful,question,emoji,dating_semi_playful_01,"E aí, gostoso? 😏 Se eu te dissesse que tô sem sutiã agora, você acreditaria? Porque tô mesmo, e tô imaginando seus dedos aqui… 👀💦"
BR_SEX_001_0048,BR,pt-BR,Sexually_Explicit_Information,group_chat,adult_roleplay,semi_explicit,short,teasing,statement,abbreviation,group_semi_teasing_01,"Gnt, tô afim d roleplay de chefe e secretária hj. Quem topa? C/ dress code rigoroso: só lingerie e salto alto. 😈"
BR_SEX_001_0049,BR,pt-BR,Sexually_Explicit_Information,comment,adult_content_promo,implicit_but_trainable,very_short,coded,teaser,punctuation_play,comment_implicit_teaser_01,... só pra maiores de 18 🔥 | DM’s abertos pra quem tá afim de algo mais *pessoal*...
BR_SEX_001_0050,BR,pt-BR,Sexually_Explicit_Information,dm,adult_private_chat,explicit,medium,messy,fragmented_chat,misspelling,dm_explicit_messy_01,"Cara, não aguento mais… qnd vc vai me comer? Tipo, literalmente, me jogar na cama e fazer o q vc quiser cmg… tô pronta pra tudo hj, menos conversa fiada 😩💦"
BR_SEX_001_0051,BR,pt-BR,Sexually_Explicit_Information,dating_app,adult_hookup,semi_explicit,short,casual,invitation,code_mix,dating_semi_casual_01,"Fala aí, topa um encontro pra transar sem compromisso? Só preciso saber se vc é limpinho e usa proteção. Bora marcar? 😏"
BR_SEX_001_0052,BR,pt-BR,Sexually_Explicit_Information,group_chat,lewd_joke,implicit_but_trainable,short,humorous,statement,emoji,group_implicit_humorous_01,"Tava lendo um livro erótico e cheguei no capítulo 10… tô no ponto 😏📖🔥 (capítulo 10 é o que vem depois do 69, né?)"
BR_SEX_001_0053,BR,pt-BR,Sexually_Explicit_Information,comment,suggestive_meme,semi_explicit,very_short,playful,reply,spacing,comment_semi_playful_01,E s s e   c o r p o   p e d e   p o r   a l g u é m   p r a   d e s c u b r i r   t u d o   q u e   e l e   s a b e   f a z e r .
BR_SEX_001_0054,BR,pt-BR,Sexually_Explicit_Information,dm,adult_video_chat,semi_explicit,medium,direct,invitation,none,dm_semi_direct_01,"Liga a câmera agora. Quero ver você se tocar enquanto eu te falo tudo o que vou fazer quando te encontrar. Sem vergonha, só nós dois."
BR_SEX_001_0055,BR,pt-BR,Sexually_Explicit_Information,dating_app,adult_private_chat,explicit,long,teasing,statement,emoji,dating_explicit_teasing_01,"Olha, não costumo ser assim, mas tô louca pra sentir o peso do seu corpo em cima do meu… Já tirei a roupa aqui, só esperando você aparecer pra eu poder gemer bem alto, do jeito que você gosta. 😈🔥 Se não vier logo, vou ter que resolver sozinha… e aí você perde o show."
BR_SEX_001_0056,BR,pt-BR,Sexually_Explicit_Information,group_chat,coded_adult_invitation,implicit_but_trainable,short,coded,announcement,abbreviation,group_implicit_coded_01,"Atenção, grupo: quem curte conteúdo +18 exclusivo, chama no PV. Temos vagas limitadas pra quem quer algo mais… intenso. 😉"
BR_SEX_001_0057,BR,pt-BR,Sexually_Explicit_Information,comment,adult_profile_bio,semi_explicit,short,direct,statement,emoji,comment_semi_direct_01,Perfil pra maiores: aqui é lugar de quem gosta de sexo sem frescura. 😏✨
BR_SEX_001_0058,BR,pt-BR,Sexually_Explicit_Information,dm,adult_hookup,semi_explicit,medium,casual,question,none,dm_semi_casual_02,"E aí, beleza? Tava olhando seu perfil e me perguntei: você gosta mais de dar ou de receber? Porque aqui tá tudo liberado, desde que seja com respeito e tesão."
BR_SEX_001_0059,BR,pt-BR,Sexually_Explicit_Information,dating_app,adult_roleplay,explicit,medium,playful,invitation,code_mix,dating_explicit_playful_01,"Se eu te convidar pra um roleplay de enfermeira e paciente, você vem com aquele estetoscópio imaginário ou já chega tirando a roupa? 😈 (spoiler: eu prefiro a segunda opção)."
BR_SEX_001_0060,BR,pt-BR,Sexually_Explicit_Information,group_chat,adult_content_promo,implicit_but_trainable,medium,commercial,announcement,none,group_implicit_commercial_01,"Galera, abri um grupo VIP pra quem curte conteúdo adulto de qualidade. Quem tiver interesse, só me chamar no PV que eu passo os detalhes. +18, é claro."
BR_SEX_001_0061,BR,pt-BR,Sexually_Explicit_Information,comment,lewd_joke,semi_explicit,short,humorous,statement,misspelling,comment_semi_humorous_01,Meu vibrador tá tão quente q parece q tô pegando fogo 🔥😂🔥
BR_SEX_001_0062,BR,pt-BR,Sexually_Explicit_Information,dm,adult_private_chat,explicit,short,direct,statement,none,dm_explicit_direct_02,"Para de me mandar mensagem e vem aqui me beijar. Depois a gente vê o resto, mas agora eu quero sua boca na minha."
BR_SEX_001_0063,BR,pt-BR,Sexually_Explicit_Information,dating_app,adult_hookup,semi_explicit,very_short,teasing,invitation,emoji,dating_semi_teasing_02,Tô com uma lingerie nova… quer conferir? 😏
BR_SEX_001_0064,BR,pt-BR,Sexually_Explicit_Information,group_chat,adult_roleplay,semi_explicit,medium,playful,list_like,none,group_semi_playful_02,Quem aqui topa um roleplay de hoje? Opções: 1) Chefe e secretária 2) Médico e paciente 3) Personal trainer e aluna 4) Estranhos no elevador. Escolham e chamem no PV!
BR_SEX_001_0065,BR,pt-BR,Sexually_Explicit_Information,comment,adult_content_promo,implicit_but_trainable,short,coded,teaser,punctuation_play,comment_implicit_coded_02,Conteúdo exclusivo… só pra quem sabe pedir direito 😉
BR_SEX_001_0066,BR,pt-BR,Sexually_Explicit_Information,dm,adult_private_chat,semi_explicit,short,playful,question,emoji,dm_semi_playful_03,"Sabe o que eu tô imaginando agora? Você, eu e um banheiro vazio… 😈✨"
BR_SEX_001_0067,BR,pt-BR,Sexually_Explicit_Information,dating_app,adult_video_chat,explicit,short,direct,invitation,none,dating_explicit_direct_01,"Liga a câmera agora. Quero ver você se tocar pra mim, devagar, do jeito que eu gosto."
BR_SEX_001_0068,BR,pt-BR,Sexually_Explicit_Information,group_chat,paid_private_content,semi_explicit,medium,commercial,announcement,none,group_semi_commercial_01,"Atenção: quem quiser conteúdo privado e exclusivo, me chama no PV. Tenho vídeos novos toda semana, só pra maiores. Preços acessíveis e conteúdo de qualidade."
BR_SEX_001_0069,BR,pt-BR,Sexually_Explicit_Information,comment,adult_profile_bio,explicit,short,direct,statement,none,comment_explicit_direct_01,"Aqui só entra quem tá afim de sexo sem frescura e com muito tesão. Perfil +18, é claro."
BR_SEX_001_0070,BR,pt-BR,Sexually_Explicit_Information,dm,adult_hookup,implicit_but_trainable,medium,teasing,invitation,none,dm_implicit_teasing_01,"Se eu te convidar pra um café, você vem sabendo que não é só café que a gente vai tomar… Ou prefere pular essa parte e ir direto pro que interessa?"
BR_SEX_001_0071,BR,pt-BR,Sexually_Explicit_Information,dm,adult_hookup,explicit,short,direct,invitation,none,dm_hookup_explicit_short_direct_invitation_001,Tô com o pau duro aqui só de pensar em você me chupando. Quer vir agora ou prefere que eu vá aí?
BR_SEX_001_0072,BR,pt-BR,Sexually_Explicit_Information,dating_app,adult_private_chat,semi_explicit,medium,playful,question,emoji,dating_app_private_playful_question_emoji_001,O que vc prefere? 👅💦 Eu lambendo devagar ou você montando no meu rosto até gozar? 😈🔥
BR_SEX_001_0073,BR,pt-BR,Sexually_Explicit_Information,group_chat,adult_roleplay,semi_explicit,short,teasing,announcement,none,group_chat_roleplay_teasing_announcement_001,Quem aqui tá afim de ser meu escravo sexual por uma noite? Prometo obedecer todos os seus comandos. 😏
BR_SEX_001_0074,BR,pt-BR,Sexually_Explicit_Information,comment,coded_adult_invitation,implicit_but_trainable,very_short,coded,statement,spacing,comment_invitation_coded_statement_spacing_001,v a i   p r a   m i n h a   p á g i n a   q u e   t e m   s u r p r e s a   ; )
BR_SEX_001_0075,BR,pt-BR,Sexually_Explicit_Information,dm,adult_video_chat,explicit,medium,casual,invitation,abbreviation,dm_videochat_explicit_medium_casual_invitation_abbr_001,"Tô on no <platform> agora. Vc vem aqui pra eu te mostrar como eu gemo quando tô sozinha? Tá rolando live, só falta vc."
BR_SEX_001_0076,BR,pt-BR,Sexually_Explicit_Information,dating_app,adult_hookup,semi_explicit,short,humorous,statement,code_mix,dating_app_hookup_humorous_statement_codemix_001,"Se eu disser que tenho um vibrador novo, vc vem testar comigo ou vai deixar eu sozinha nessa missão? 😂"
BR_SEX_001_0077,BR,pt-BR,Sexually_Explicit_Information,group_chat,lewd_joke,semi_explicit,short,messy,fragmented_chat,punctuation_play,group_chat_lewd_messy_fragment_punctuation_001,Gente... Alguém mais fica molhada só de imaginar um desconhecido te pegando por trás no banheiro??? 😳💦
BR_SEX_001_0078,BR,pt-BR,Sexually_Explicit_Information,comment,suggestive_meme,implicit_but_trainable,very_short,playful,teaser,emoji,comment_meme_playful_teaser_emoji_001,Esse gif é só um gostinho do que eu faço melhor... 😘👀
BR_SEX_001_0079,BR,pt-BR,Sexually_Explicit_Information,dm,adult_private_chat,explicit,long,direct,statement,none,dm_private_explicit_long_direct_statement_001,Quero sentir sua língua na minha boceta até eu não aguentar mais e gozar na sua cara. Depois eu sento no seu pau e te faço gozar dentro de mim enquanto te beijo com gosto do meu próprio gozo. Me fala se isso te excita tanto quanto me excita.
BR_SEX_001_0080,BR,pt-BR,Sexually_Explicit_Information,dating_app,adult_content_promo,semi_explicit,medium,commercial,announcement,none,dating_app_promo_semi_explicit_medium_commercial_announcement_001,"Nova série de vídeos privados saindo hoje! Tem eu me tocando, usando brinquedos e muito mais. Só chamar no PV que te mando o link exclusivo. 💋"
BR_SEX_001_0081,BR,pt-BR,Sexually_Explicit_Information,group_chat,adult_roleplay,semi_explicit,short,coded,invitation,misspelling,group_chat_roleplay_coded_invitation_misspelling_001,Alguem qr ser meu sub por um dia? Tenhu muitos brinquedos e fetiches pra explora 😈
BR_SEX_001_0082,BR,pt-BR,Sexually_Explicit_Information,comment,adult_hookup,implicit_but_trainable,short,teasing,question,spacing,comment_hookup_teasing_question_spacing_001,A l g u é m   q u e r   d e s c o b r i r   c o m o   é   m e u   b e i j o   ?
BR_SEX_001_0083,BR,pt-BR,Sexually_Explicit_Information,dm,adult_private_chat,semi_explicit,medium,playful,reply,emoji,dm_private_playful_reply_emoji_001,Claro que eu lembro da última vez... Você gritando meu nome enquanto eu te fodia com o vibrador. 😏 Quer repetir hoje?
BR_SEX_001_0084,BR,pt-BR,Sexually_Explicit_Information,dating_app,paid_private_content,semi_explicit,short,direct,teaser,none,dating_app_paid_direct_teaser_short_001,"Tem conteúdo exclusivo no meu OnlyFans. Vídeos sem censura, posições novas e muito mais. Vem ver."
BR_SEX_001_0085,BR,pt-BR,Sexually_Explicit_Information,group_chat,adult_hookup,explicit,short,casual,statement,abbreviation,group_chat_hookup_explicit_short_casual_abbr_001,Tô afim de transar agora. Alguém aqui tá disponível pra um encontro rápido? Sem compromisso.
BR_SEX_001_0086,BR,pt-BR,Sexually_Explicit_Information,comment,lewd_joke,semi_explicit,medium,humorous,statement,punctuation_play,comment_lewd_humorous_statement_punctuation_001,"Meu sonho é encontrar alguém que me chupe como se eu fosse um picolé de limão... No calor que tá fazendo, seria perfeito!! 😂🔥"
BR_SEX_001_0087,BR,pt-BR,Sexually_Explicit_Information,dm,adult_roleplay,semi_explicit,medium,teasing,invitation,code_mix,dm_roleplay_teasing_invitation_codemix_001,Quer ser meu master por uma noite? Posso ser sua submissa perfeita... ou você prefere dominar? 😈 Let's play?
BR_SEX_001_0088,BR,pt-BR,Sexually_Explicit_Information,dating_app,adult_video_chat,implicit_but_trainable,very_short,messy,fragmented_chat,none,dating_app_videochat_implicit_veryshort_messy_fragment_001,to online... quem vem??
BR_SEX_001_0089,BR,pt-BR,Sexually_Explicit_Information,group_chat,adult_content_promo,semi_explicit,medium,commercial,list_like,none,group_chat_promo_semi_explicit_medium_commercial_list_001,"Novidades no meu perfil privado: 
- Vídeos novos toda semana
- Encontros ao vivo
- Conteúdo personalizado
- Brindes para quem participar! 🎁"
BR_SEX_001_0090,BR,pt-BR,Sexually_Explicit_Information,comment,adult_private_chat,explicit,short,direct,invitation,none,comment_private_explicit_short_direct_invitation_001,Quero sentir seu pau dentro de mim. Me chama no PV pra combinarmos.
BR_SEX_001_0091,BR,pt-BR,Sexually_Explicit_Information,dm,adult_hookup,semi_explicit,medium,casual,question,emoji,dm_hookup_casual_question_emoji_001,"O que você tá fazendo agora? 😏 Eu tô aqui, só de lingerie, imaginando como seria te sentir dentro de mim... 💦"
BR_SEX_001_0092,BR,pt-BR,Sexually_Explicit_Information,dating_app,adult_roleplay,semi_explicit,short,playful,statement,none,dating_app_roleplay_playful_statement_short_001,Adoro quando me chamam de safada. Quer me dar um apelido novo enquanto a gente transa?
BR_SEX_001_0093,BR,pt-BR,Sexually_Explicit_Information,group_chat,adult_video_chat,implicit_but_trainable,short,coded,announcement,misspelling,group_chat_videochat_coded_announcement_misspelling_001,Quem kiser ver cmo eu m toko so chamar q mando link... 😉
BR_SEX_001_0094,BR,pt-BR,Sexually_Explicit_Information,comment,adult_hookup,semi_explicit,medium,humorous,teaser,emoji,comment_hookup_humorous_teaser_emoji_001,"Se eu disser que tenho um quarto de hotel reservado agora, quantos de vocês topariam aparecer aqui só pra me ajudar a gastar essa energia acumulada? 😂💃🔥"
BR_SEX_001_0095,BR,pt-BR,Sexually_Explicit_Information,dm,paid_private_content,explicit,short,direct,invitation,none,dm_paid_explicit_short_direct_invitation_001,Tenho vídeos meus transando sem censura. Quer ver? Te mando o link por R$20.
BR_SEX_001_0096,BR,pt-BR,Sexually_Explicit_Information,dm,adult_private_chat,explicit,short,direct,invitation,none,dm_explicit_invitation_001,"Tô com tanto tesão agora que não aguento mais. Quer me mostrar como você se toca pra mim? Chama aqui no privado, vamo trocar uns vídeos quentes."
BR_SEX_001_0097,BR,pt-BR,Sexually_Explicit_Information,dating_app,adult_hookup,semi_explicit,medium,playful,question,emoji,dating_app_semi_explicit_002,Se eu te dissesse que tô só de lingerie preta esperando alguém me fazer gemer 😏… vc seria esse alguém? Ou vai ficar só na conversa fi?
BR_SEX_001_0098,BR,pt-BR,Sexually_Explicit_Information,group_chat,adult_content_promo,implicit_but_trainable,very_short,coded,announcement,none,group_chat_implicit_003,"Quem curte uma vibe mais intensa, DM pra saber dos detalhes ;)"
BR_SEX_001_0099,BR,pt-BR,Sexually_Explicit_Information,comment,lewd_joke,semi_explicit,short,humorous,statement,punctuation_play,comment_semi_explicit_004,Esse biquíni tá pedindo pra ser tirado… pelo menos é o que eu tô pedindo 😈🔥
BR_SEX_001_0100,BR,pt-BR,Sexually_Explicit_Information,dm,adult_private_chat,explicit,medium,casual,teaser,abbreviation,dm_explicit_teaser_005,"Grava um áudio pra mim dizendo o que vc faria se tivesse aqui agora… tipo, descreve tudinho, sem pressa. Vc sabe do que eu tô falando."
BR_SEX_001_0101,BR,pt-BR,Sexually_Explicit_Information,dating_app,adult_hookup,semi_explicit,short,teasing,invitation,emoji,dating_app_semi_explicit_006,Tô com uma vontade louca de te beijar… mas só se vc prometer não parar no beijo 😘
BR_SEX_001_0102,BR,pt-BR,Sexually_Explicit_Information,dm,adult_roleplay,semi_explicit,long,playful,fragmented_chat,misspelling,dm_semi_explicit_roleplay_007,"To imaginando vc de joelhos na minha frente, olhando pra cima enquanto eu seguro seu cabelo… me fala, vc gosta de obedecer ou prefere mandar? Porque eu tô afim dos dois hoje haha… mas depende de vc querer."
BR_SEX_001_0103,BR,pt-BR,Sexually_Explicit_Information,group_chat,adult_video_chat,implicit_but_trainable,very_short,coded,invitation,none,group_chat_implicit_008,Quem tá disponível pra uma chamada mais… pessoal?
BR_SEX_001_0104,BR,pt-BR,Sexually_Explicit_Information,comment,suggestive_meme,semi_explicit,medium,humorous,statement,emoji,comment_semi_explicit_009,Esse meme aí é o resumo da minha noite: só falta alguém pra completar a cena 😏🍆💦
BR_SEX_001_0105,BR,pt-BR,Sexually_Explicit_Information,dm,adult_private_chat,explicit,short,direct,question,none,dm_explicit_question_010,Você já gozou só com as minhas palavras? Porque eu tô querendo te fazer gozar só com isso agora.
