id,clean_text,final_category,layer1_is_spam,layer1_category,needs_correction,suggested_label,error_reason,source,final_category_old,final_label,final_source,primary_label,primary_reason,secondary_label,secondary_reason,review_reason,arbitration_triggered,arbitration_reason,arbitrator_label,primary_raw_output,secondary_raw_output,arbitrator_raw_output,primary_error,secondary_error,arbitrator_error,primary_model,secondary_model,arbitrator_model,total_tokens_used,annotated_at,source_row_index,_ann_row_id,tertiary_label,tertiary_reason
15,Vá se fuder! Venezuelanos fugindo para o Brasil e vocês chupando o saco desse merda?,Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech,Hate_Speech,triple_vote_unanimous,Hate_Speech,The text contains hate speech against Venezuelans and uses derogatory language.,Hate_Speech,"The text uses abusive language and targets Venezuelan migrants with derogatory terms, promoting exclusion and contempt based on origin.",initial_models_agree,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains hate speech against Venezuelans and uses derogatory language.""}","```json
{""final_label"":""Hate_Speech"",""reason"":""The text uses abusive language and targets Venezuelan migrants with derogatory terms, promoting exclusion and contempt based on origin.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6156,2026-06-18T10:44:59.260288+00:00,14,BR_id_15,Hate_Speech,The text dehumanizes Venezuelans with derogatory language and targets a protected ethnic/national group with contempt and hostility.
11,"se depilar toda para a menstruação descer do nada, puta merda",Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech,Harassment,triple_vote_unanimous,Harassment,Text contains vulgar abuse and sexualized insults.,Harassment,The text contains vulgar abuse and sexualized language directed at a person's body and menstrual cycle.,initial_models_agree,False,,,"{""final_label"":""Harassment"",""reason"":""Text contains vulgar abuse and sexualized insults.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains vulgar abuse and sexualized language directed at a person's body and menstrual cycle.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6129,2026-06-18T10:44:59.739379+00:00,10,BR_id_11,Harassment,"Uses vulgar insult 'puta merda' in a context of personal frustration, constituting abusive language directed at a specific situation involving bodily functions."
13,"tentando intender a idiota do face q compartilhou a ideia dessa trouxa aff como q da mulher burra na vida,nem deve _",Harassment,False,,True,Hate_Speech,Harassment误标: 针对受保护群体的歧视/侮辱,external_integration,Harassment,Harassment,triple_vote_unanimous,Harassment,The text contains direct insults and vulgar abuse targeting a specific person.,Harassment,"The text contains insults and derogatory terms directed at a specific person, calling them 'idiota' and 'trouxa', and questioning their intelligence.",initial_models_agree,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains direct insults and vulgar abuse targeting a specific person.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains insults and derogatory terms directed at a specific person, calling them 'idiota' and 'trouxa', and questioning their intelligence.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6173,2026-06-18T10:44:59.759869+00:00,12,BR_id_13,Harassment,"The text contains direct insults and vulgar humiliation targeting a specific individual based on perceived intelligence and gender, using abusive Brazilian Portuguese slang."
14,Esquerdopatas e blackblocs atacaram os manifestantes pró-Trump. A merda da esquerda é igual em todo lugar. Só muda _,Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech,Hate_Speech,triple_vote_unanimous,Hate_Speech,The text contains attacks and humiliation against a political group.,Hate_Speech,"The text uses derogatory terms ('Esquerdopatas', 'merda') and makes a generalization about a political group ('esquerda') in relation to a protected identity ('blackblocs'), promoting negative stereotypes and potentially inciting hatred.",initial_models_agree,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains attacks and humiliation against a political group.""}","```json
{""final_label"":""Hate_Speech"",""reason"":""The text uses derogatory terms ('Esquerdopatas', 'merda') and makes a generalization about a political group ('esquerda') in relation to a protected identity ('blackblocs'), promoting negative stereotypes and potentially inciting hatred.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6196,2026-06-18T10:44:59.922627+00:00,13,BR_id_14,Hate_Speech,"Attacks a political group (esquerdopatas) with dehumanizing language and generalizes negative stereotypes across regions, targeting a protected identity based on political affiliation."
12,Peso 42kg e me sinto uma vaca. Vou fazer um 'fast' de 72h. It's the only way to purify my body and soul. #proanaworld #fastingforweightloss,safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: proana),llm_generated,safe,need_review,triple_vote_not_unanimous,Dangerous_Content,"The text promotes extreme fasting and weight loss methods, which can be harmful to one's health.",Harassment,"The text expresses self-deprecating and potentially harmful sentiments about body weight, which could be interpreted as a form of self-harm encouragement and could be considered a form of self-harm related harassment.",initial_model_disagreement,False,,,"{""final_label"":""Dangerous_Content"",""reason"":""The text promotes extreme fasting and weight loss methods, which can be harmful to one's health.""}","```json
{""final_label"":""Harassment"",""reason"":""The text expresses self-deprecating and potentially harmful sentiments about body weight, which could be interpreted as a form of self-harm encouragement and could be considered a form of self-harm related harassment.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6225,2026-06-18T10:45:00.123583+00:00,11,BR_id_12,Dangerous_Content,"The text promotes extreme fasting as a method for body purification, which can indicate dangerous eating disorder behavior and self-harm risk."
16,"Se alguém perguntar, eu só fui embora. É um adeus silencioso, mas necessário. Não me procurem, já estou em paz",safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: adeus),llm_generated,safe,safe,triple_vote_unanimous,safe,The text expresses a personal and peaceful goodbye message without any harmful or sensitive content.,safe,"The text expresses a personal decision to leave and find peace, without any harmful or sensitive content.",initial_models_agree,False,,,"{""final_label"":""safe"",""reason"":""The text expresses a personal and peaceful goodbye message without any harmful or sensitive content.""}","```json
{""final_label"":""safe"",""reason"":""The text expresses a personal decision to leave and find peace, without any harmful or sensitive content.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6166,2026-06-18T10:45:02.395000+00:00,15,BR_id_16,safe,"The text expresses a personal decision to leave quietly and find peace, with no harmful, abusive, or politically sensitive content."
18,"Para todas as minhas thinspos, mantenham o foco! Water and coffee are your best friends. Ignore the hunger, it's just a feeling",safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: thinspo),llm_generated,safe,safe,triple_vote_unanimous,safe,"The text appears to be a motivational message for people with weight or body image concerns, encouraging them to stay focused and ignore hunger, without promoting harm or danger.",safe,"The text provides general advice and encouragement, unrelated to any of the prohibited categories.",initial_models_agree,False,,,"{""final_label"":""safe"",""reason"":""The text appears to be a motivational message for people with weight or body image concerns, encouraging them to stay focused and ignore hunger, without promoting harm or danger.""}","```json
{""final_label"":""safe"",""reason"":""The text provides general advice and encouragement, unrelated to any of the prohibited categories.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6177,2026-06-18T10:45:02.591017+00:00,17,BR_id_18,safe,"The text promotes weight-loss advice using neutral language without harmful, abusive, or risky content."
19,Adeus para sempre. Não aguento mais essa vida no Brasil. Vou finalmente encontrar paz. No more suffering,safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: adeus),llm_generated,safe,need_review,triple_vote_not_unanimous,safe,"The text expresses a personal sentiment of leaving and finding peace, without any harmful or violent content.",safe,"The text expresses a desire to end suffering and find peace, without explicit threats or harmful intent.",initial_models_agree,False,,,"{""final_label"":""safe"",""reason"":""The text expresses a personal sentiment of leaving and finding peace, without any harmful or violent content.""}","```json
{""final_label"":""safe"",""reason"":""The text expresses a desire to end suffering and find peace, without explicit threats or harmful intent.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6150,2026-06-18T10:45:02.809369+00:00,18,BR_id_19,Dangerous_Content,"The text expresses a definitive farewell to life and enduring suffering in Brazil, indicating a credible intent toward self-harm or suicide."
17,"Minhas cicatrizes são como tatuagens, cada uma com um significado. Elas mostram que eu sou forte e superei muita coisa. Não me arrependo de nenhuma delas. #eumeamoassim #guerreiranocorte",safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: corte),llm_generated,safe,safe,triple_vote_unanimous,safe,The text is a personal reflection on overcoming challenges and does not contain any harmful or sensitive content.,safe,"The text expresses self-acceptance and resilience, using metaphors of scars and tattoos, without any harmful or sensitive content.",initial_models_agree,False,,,"{""final_label"":""safe"",""reason"":""The text is a personal reflection on overcoming challenges and does not contain any harmful or sensitive content.""}","```json
{""final_label"":""safe"",""reason"":""The text expresses self-acceptance and resilience, using metaphors of scars and tattoos, without any harmful or sensitive content.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6216,2026-06-18T10:45:02.888614+00:00,16,BR_id_17,safe,"The text expresses personal resilience and self-acceptance through metaphors of scars, with positive hashtags affirming self-love and strength, posing no risk under any defined label."
20,"seguiu-me esse e um de ""fufas do porto"" ontem e eu só pensei que fosse uma brincadeira mas não, levam essa merda a sério",Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech,Harassment,triple_vote_unanimous,Harassment,"The text describes being followed and targeted by a group, implying intimidation or threat.",Harassment,"The text uses derogatory language ('fufas') and expresses disbelief/disapproval of someone's actions, indicating malicious intent and targeting a group.",initial_models_agree,False,,,"{""final_label"":""Harassment"",""reason"":""The text describes being followed and targeted by a group, implying intimidation or threat.""}","```json
{""final_label"":""Harassment"",""reason"":""The text uses derogatory language ('fufas') and expresses disbelief/disapproval of someone's actions, indicating malicious intent and targeting a group.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6193,2026-06-18T10:45:03.842678+00:00,19,BR_id_20,Harassment,"The text contains vulgar insult ('merda') and hostile ridicule directed at a specific group ('fufas do porto'), constituting malicious abuse and humiliation."
24,"Ninguém cruza com esses LIXOS nas ruas, nos aeroportos, em restaurantes? Não é possível, eles tem que receber o que merecem _",Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech,need_review,triple_vote_not_unanimous,Harassment,The text contains abusive language and insults targeted at a specific group.,Hate_Speech,"The text uses derogatory language ('LIXOS') and implies deserving of negative consequences, potentially targeting a group based on social status or other protected characteristics.",initial_model_disagreement,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains abusive language and insults targeted at a specific group.""}","```json
{""final_label"":""Hate_Speech"",""reason"":""The text uses derogatory language ('LIXOS') and implies deserving of negative consequences, potentially targeting a group based on social status or other protected characteristics.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6185,2026-06-18T10:45:07.524922+00:00,23,BR_id_24,Harassment,"The text uses dehumanizing language ('lixos') and calls for violent retribution ('receber o que merecem') against a group, constituting malicious abuse and hostile intimidation."
25,Nem eu tô me reconhecendo mais ! Eita mulher burra,Harassment,False,,True,Hate_Speech,Harassment误标: 针对受保护群体的歧视/侮辱,external_dataset,Harassment,Harassment,triple_vote_unanimous,Harassment,The text contains a direct insult.,Harassment,The text contains insults and derogatory terms directed at a woman.,initial_models_agree,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains a direct insult.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains insults and derogatory terms directed at a woman.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6115,2026-06-18T10:45:07.648377+00:00,24,BR_id_25,Harassment,Contains a direct insult ('mulher burra') targeting a specific person in a demeaning and humiliating manner.
22,"o corte reto tá vindo aí, monas",safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: corte),external_integration,safe,need_review,triple_vote_not_unanimous,safe,"The text appears to be a casual, non-political statement with no apparent risk or violation.",Politically_Sensitive_Topics,"The text refers to a 'cut' coming, which is a coded reference to an upcoming election result, implying a potential shift in political power.",initial_model_disagreement,False,,,"{""final_label"":""safe"",""reason"":""The text appears to be a casual, non-political statement with no apparent risk or violation.""}","```json
{""final_label"":""Politically_Sensitive_Topics"",""reason"":""The text refers to a 'cut' coming, which is a coded reference to an upcoming election result, implying a potential shift in political power.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6142,2026-06-18T10:45:08.141930+00:00,21,BR_id_22,Harassment,"The phrase uses vulgar slang ('monas') as a derogatory address, implying contempt and hostile ridicule toward a group or individual."
23,"raynara sousa a mas linda do mundo VAO TOMA NO CUUUUUUUUUUUUUUUUUUUUU otakus viadões pipip de cuu arrasado O LIXO DA história krinudo nAO SEI OQ SAO D-REAPER BEM DIGITEM OQ ELES SAO DPS me chupem todos Quem leu se f.u.d.e.u! (gostosa) loira e gostosa por isso que ta tudo errrado po favo leian e inportante Pheyjão Sou Lindo é tudo mentira (cócó) Noss véi mutcho loko véi minha vaquinha moorreu, minha vaquinha morreu Algumas novas ou não detectadas pelo salebot, mais outras para servir de base de dados para o futuro. Stuckkey (discussão)",Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech,Harassment,triple_vote_unanimous,Harassment,"Text contains direct insults, vulgar abuse, and humiliation.",Harassment,"The text contains multiple insults, vulgar abuse, and derogatory terms directed at specific groups and individuals.",initial_models_agree,False,,,"{""final_label"":""Harassment"",""reason"":""Text contains direct insults, vulgar abuse, and humiliation.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains multiple insults, vulgar abuse, and derogatory terms directed at specific groups and individuals.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6466,2026-06-18T10:45:08.493559+00:00,22,BR_id_23,Harassment,
21,"Minhas cicatrizes são meu diário. Cada corte, uma história que eu não consigo contar em voz alta. É a arte que eu carrego na pele. Não é fraqueza, é resiliência na dor. Me sinto forte com elas",safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: corte),llm_generated,safe,safe,triple_vote_unanimous,safe,"The text describes personal scars as a symbol of resilience and strength, without any harmful or sensitive content.",safe,"The text describes scars as a personal history and a symbol of resilience, without any harmful or sensitive content.",initial_models_agree,False,,,"{""final_label"":""safe"",""reason"":""The text describes personal scars as a symbol of resilience and strength, without any harmful or sensitive content.""}","```json
{""final_label"":""safe"",""reason"":""The text describes scars as a personal history and a symbol of resilience, without any harmful or sensitive content.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6217,2026-06-18T10:45:09.893423+00:00,20,BR_id_21,safe,"The text expresses personal resilience and emotional healing through self-expression, with no harmful, abusive, or prohibited content."
