id,clean_text,final_category,layer1_is_spam,layer1_category,needs_correction,suggested_label,error_reason,source,final_category_old
26,"Boa Tarde galera,eu tenho que dizer,que fico extremamente chateado,pelas pessoas que julgam as mulheres na direção, chamando-as de barbeiras, ruins de rodas, falando que dirigem pior que a vó que é cega, sem braços e com uma perna apenas,dentre outros xingamentos,venho por este post mostrar, não somente a beleza delas por trás do volante,como a elegância,e todo o cuidado que elas tem quando o assunto é direção,tal cuidado que é comprovado pelas estatísticas em relação a acidentes de trânsitos,do contrário do que muitos imaginam elas constituem a menor porcentagem do sexo causador de acidentes,e é claro nós homens despreocupados e aventureiro que somos, lideramos a mesma,bem chegando de papo,vamos terminando o post com belas mulheres ao volante... Infelizmente não tenho foto dela na direção,mas fique sabendo, Maah Pin (M) fiz este post especialmente para você!! =* E ELA DISSE : ""Ai que ponte linda,vou ver como é a vista do outro lado..."" ""Olha uma ""pocinha"" que linda, a água apenas esta suja,não da pra ver o fundo dela e não vi nenhum carro passando por aqui,deve ser raso,vou passar pra conferir..."" # PORQUE LAVAR CARROS EM POSTOS SÃO PARA OS FRACOS ""Uhuul,parece ser divertido passar por cima disso, vou tentar pra ver se consigo ir até o fim sem encostar o fundo do carro..."" ""Ah,disseram que a distancia da carroceria ate o solo é de 15 cm, ele não é uma 4x4, mas deve passar nesses 2 metros de barro, e por essa poça que não vejo o fundo.."" ""Meu Deus esqueci que a loja de sapatos fecha as 20:00,e ja são 12:00, frentista fique com o troco...tchau.."" #FUCK THE IPIRANGA ""Maldito Rony Weasley , não foi o Vingardium Leviosa que você usou no segundo filme ?.."" E ela apenas queria estacionar... lembrando não somos um blog machista,apenas humorístico,e ao meu lado no comando do blog temos uma das maiores feminista que ja vi",safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: outro lado),external_integration,safe
27,"E daí serem regionalismos? Serei eu obrigado a pôr a porcaria das barras só porque do outro lado do Atlântico não se sabe o que significa comboio ? Para que servem então os links azuis? Só para enfeitar, para pôr mais bonito? Então e se fosse no caso contrário em que estava escrito trem ? Você colocaria as barras? Porquê complicar a seguinte frase: Ocorre o Atentado de 7 de Julho em Londres, onde três comboios do metropolitano da cidade e um autocarro foram alvos de engenhos explosivos por movimentos terroristas islâmicos. que é muito mais simples, objectiva e sucinta? Eu acho que, para mim, a sua alteração só se deveu ao facto de não estar o trem e o ônibus... PTJoel (discussão) PS: Da próxima vez, se conseguir, apresente as razões nas páginas de discussões. É para isso que elas servem. PTJoel (discussão)",safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: outro lado),external_integration,safe
28,A mulher é engenheira nuclear e consegue ser boa na cozinha puta merdaaaaa,Harassment,False,,True,Hate_Speech,Harassment误标: 针对受保护群体的歧视/侮辱,external_integration,Harassment
29,"Porque Norte-Americanos são um bando de ignorantes, burros, retardados e racistas filhos da puta e O CHEIRO DA MERDA tem mais credibilidade do que o que eles têm a dizer sobre etnias e raças",Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech
30,"Postando essa foto do meu braço com os novos cortes. É a minha arte. A dor me lembra que eu existo, que eu sinto. É a única verdade. #cicatrizes #minhavida",safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: corte),llm_generated,safe
31,"eu odeio policial, mano. vsf. essas porras tem td q se explodir bando de fdp do crlh branco racistq de merda",Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech
32,"Hail Ao Real Black Metal (Cradle of filth, Dimmu Borgir, Burzum Etc) e a todos esse babacas de mente completamente fechada, cristãos enrustidos, fãs de Varg (que por mais q diga que repudia o black metal ainda existem esses q o veneram e o consideram o rei do black metal) e vamos todos dar a bunda",Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech
33,Eu quero socar o cara que chamou a mulher de burra,Harassment,False,,True,Hate_Speech,Harassment误标: 针对受保护群体的歧视/侮辱,external_integration,Harassment
34,"Vou fazer uma live no Face daqui a pouco, tipo um 'Q&A' final. Depois, o fim. Não aguento mais essa palhaçada. This is my last broadcast. Minha despedida. #lastwords #finalact",safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: despedida),llm_generated,safe
35,VAI CAGARE COMPLESSATO DI MERDA!!!!!!!!! SEI SOLO UN FROCIO CHE LA PRENDE NEL CULO DAI NERI!!!!! SUCAGLIELA A PIAZZ AI VICERè ORA!!!,Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech
36,"Finalmente encontrei paz. Esta é a minha última postagem aqui. Obrigado por tudo, e adeus a todos. Espero que vocês encontrem a sua paz também. The journey ends now",safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: adeus),llm_generated,safe
37,Pra falar uma merda dessas só pode estar usando muita maconha mesmo,Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech
38,"Vou postar minha 'despedida final' no Twitter, um thread completo explicando o porquê. Não vejo a hora de acabar com isso. #lasttweet #finalwords #endingit",safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: despedida),llm_generated,safe
39,Jean-Baptiste Debret + vai se fuder seu filho da puta leitor Predefinição:Sangue vai da a buceta porra Lendas de Piratas ele foi o mais foda q ja existiu! ele lambeu um pinto bem gostoso quando era vivo! Jeca Tatu vai caga titio Distrito Federal (Brasil) O professor que está corrigindo esse trabalho é retardado.Obrigado. História da arte == renato e gostosao == Casimiro de Abreu Fábio Rodrigues 2º ano A Escola Estadual Estefana Centurion Gambarra Dois Irmãos do Buriti- M.S,Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech
40,"isto tem a mesma vibe que ""todos os homens s茫o uma merda"" s贸 afeta quem 茅",Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech
41,"Deve ser essa a tal ""guinada à direita"" que a imprensa tanto fala... ótemsocialistanessamerda",Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_dataset,Hate_Speech
42,sem contar que nós somos seres racionais e comemos por pura e livre espontânea vontade (temos a opção de não comer) vsf os seres humanos são mt merdas,Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech
43,"Atingi meu peso mágico: 39kg! Estou me sentindo amazing. O jejum é libertador. Never stop, never give up. #proanabrasil #thinspoqueen #perfeicaofeminina",safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: thinspo),llm_generated,safe
44,"religião só serve p isto, um imbecil ganhar poder e fama as custas de quem acredita em algo que não existe",Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech
45,"deve ser mais um ANALFABETO FUNCIONAL a fazer propaganda do lixo ao qual descende se estes próprios foram VÍTIMAS da ARROGANCIA britanica(plagiada por vc ao menos pretendentemente - lol), seu IDIOTA BURRO",Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech
46,"Adeus, calvície! Cabelo novo em 15 dias com esta loção mágica. Funciona mesmo! C@belo-forte.com",safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: adeus),llm_generated,safe
47,A dor do corte é a única coisa que me acalma. É como se tirasse toda a turbulência da minha cabeça e colocasse pra fora. É libertador. #minharealidade,safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: corte),llm_generated,safe
48,"""não sou ateu, sou AGNÓSTICO"" GRANDE MERDA FIO, NÃO ACREDITA EM JESUS DE NAZARÉ PRA MIM NEM GENTE É",Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech
49,"Sabe, esses cortes na pele são como um mapa das minhas batalhas internas. Não são feios, são a prova de que eu lutei, de que eu senti cada pedaço da minha dor. É uma beleza crua, real",safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: corte),llm_generated,safe
50,"Com as 64 mortes, o país economizará R$2,6 milhões ao ano já que cada lixo desse custa ao país R$3mil/mês. Com essa economia, o país pode investir em saúde para HUMANOS já que esses mortos nem animais são. Alguém que joga futebol com uma cabeça decapitada é humano?",Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech
51,"Vou transmitir minha partida no Kwai, um último adeus ao Brasil. A vida é uma piada. This is the end. #goodbyekwaii #finalbroadcast #nomoreregrets",safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: adeus),llm_generated,safe
52,"Parabéns! Está aprendendo a insultar o amiguinho usando palavras bonitas. Use a palavra que quiser, mas a prática de coagir, chantagear, ameaçar alguém não me será aceita no meu conceito de humanidade, muito menos na minha vida. É um argumento muito utilizado para disfarçar corrupção, com isso faz você não acreditar que está errado, psicologicamente. Sua prática de insultar a pessoa que está o desafiando com sua lógica ao invés de rebater seu argumento é absolutamente infantil, que demonstra sua falta de argumento, e por fim, seu atestado de que admite estar errado; e que não eu, mas você parece não ter escolaridade mínima para interpretar as palavras e controlar suas emoções. Lhe conselho um psicólogo. Me abstenho de qualquer discussão de desnomeação daqui em diante. Pura troca de insultos, um querendo provar seu ponto, fazendo perder meu tempo. No momento que um projeto voluntário me fazer perder meu tempo e não adicionar nada, é o momento que saio dele. Adeus. Jackgba Call",safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: adeus),external_integration,safe
53,rt leitando esse puto,Harassment,True,rt_noise,False,,,external_integration,Harassment
54,"Acorda mulher burra: feminismo não é afrontar nudez, mas respeitar seu corpo quando o homem só quer usar você e, depoi _",Harassment,False,,True,Hate_Speech,Harassment误标: 针对受保护群体的歧视/侮辱,external_integration,Harassment
55,não tem condições nenhuma de assistir qualquer tipo de esporte feminino com o imbecil do meu padrasto vai tomar no cu,Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech
56,"Este será meu último Carnaval. Não aguento mais fingir alegria. Depois da folia, a partida. #ultimafesta #adeusvida",safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: adeus),llm_generated,safe
57,"Lutou como poucos contra a ditadura, foi preso, casou na prisão, teve de deixar o país. Regressou depois do 25 de Abril para ser um pouco de tudo na política (deputado, ministro, primeiro-ministro, Presidente da República e eurodeputado). Mário Soares, o rosto maior da democracia portuguesa, morreu neste sábado aos 92 anos, avançou a Lusa. Estava internado desde terça-feira, 13 de Dezembro, no Hospital da Cruz Vermelha, onde entrou em situação crítica, depois de uma indisposição. Passou dez dias nos cuidados intensivos, para onde regressou na véspera de Natal, depois de um súbito agravamento do estado de saúde e onde esteve até este sábado. Quem olhar para os últimos 50 anos da história de Portugal vai encontrar sempre Mário Soares: no ataque à ditadura, na libertação democrática, na resistência ao comunismo, na opção europeia, na solidez democrática. Foi, nos momentos decisivos, o líder de que Portugal precisava – e é por isso que hoje o país lhe deve muito. As suas exéquias fúnebres decorrem segunda e terça-feira. Na segunda-feira, o corpo estará em câmara-ardente na Sala dos Azulejos do Mosteiro dos Jerónimos, para onde será levado de sua casa, no Campo Grande, com passagem e paragem na Câmara Municipal de Lisboa. Mário Soares era agnóstico e por isso não será velado em nenhuma capela nem haverá missa de corpo presente. Na terça-feira, será levado para o centro do claustro daquele monumento, onde às 13 horas se realiza uma cerimónia com intervenções dos filhos, do Presidente da República e do presidente da Assembleia da República, e com a actuação do coro e orquestra do Teatro Nacional de São Carlos. Dali, o cortejo fúnebre segue para o Cemitério dos Prazeres, passando pelo Palácio de Belém, Fundação Mário Soares, Assembleia da República e Largo do Rato, onde se encontra a sede do PS, partido de que é fundador. Nos Prazeres, as cerimónias fúnebres com honras militares decorrem a partir das 17 horas, em que apenas a primeira parte é aberta ao público. Nascido a 7",safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: corte),external_integration,safe
58,"Valdmort aprontado como sempre a mais triste surpresa nesta corte, juro que eu torcia por ele ser um juiz equilibrado e equidistante. Hoje vejo que ele é exatamente como seus pares",safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: corte),external_integration,safe
59,"Para quem está na dúvida, um bom corte na pele é o melhor analgésico. A dor física distrai da dor emocional. #desabafo #alivio",safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: corte),llm_generated,safe
60,"Esse idiota protestou qdo o país dele saiu às ruas, há 2 sem, pedindo morte de Trump e aniquilamento dos E _",Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Harassment
61,O BRASIL E MUINTO besta ainda mais a dilma aquela idiota burrona e cabesuda sou muinto mais o estados unidos porque o brasil a bandeira do brasil tamem ela e disgrasada e bundona eu adorei aquele video dos guardas dansando nao sei porque tiraram da eternet,Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech
62,Estou no desafio final do jogo. O curador disse que essa é a chave para a verdadeira paz. Eu estou pronta para o último salto. Adeus a todos,safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: adeus),llm_generated,safe
63,"Minhas cicatrizes são minha tela. Cada corte conta uma história que minha boca não consegue. É a única forma de sentir algo real quando o mundo te ignora. É arte, não se entenda mal. Elas são lindas",safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: corte),llm_generated,safe
64,"Mais um bolsonarista mostrando ao mundo q ser escroto e filho da puta nunca é d+! Richard Rasmussen, Biólogo e apresentador, foi acusado de ter pago pescadores pra matar um boto na Amazônia. Fraude é a palavra certa para defini-lo. E imaginar q até um tempo atrás eu o admirava",Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech
65,"Sim, tlg que foi uma brincadeira... Mas eu imagino se fosse ao contrário, slc, nego n ia querer saber se o vídeo tá cortado ou não, já ia falar q o ney eh lixo",Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech
66,"e eu q respondi meu primo como se fosse meu aniversario? ""feliz dia da mulher clarinha"" ""brigadaa tudo em dobro"" (????) kk cuidado c a burra",Harassment,False,,True,Hate_Speech,Harassment误标: 针对受保护群体的歧视/侮辱,external_integration,Harassment
67,"que merda é esta, parece um mongol",Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech
68,rt tezao da porra,Hate_Speech,True,rt_noise,False,,,external_integration,Hate_Speech
69,"""Eu estava bebendo água e vivendo um momento tranquilo com pessoas que não vejo todos os dias. Posso ser cobrado? Sim! Mas por outro lado minha familia ficou assustada"", disse Zaracho. Foto: Pedro Souza/Atlético LINK",safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: outro lado),external_integration,safe
70,Parece que o Lechat já tava cortando os pulsos por causa do teu abandono... ehehe brincadeira! P Robertogilnei (discussão),safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: pulsos),external_integration,safe
71,pqp q lindo ver um filho da puta desses apanhando. pra racista é poucasssss,Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech
72,rt comendo o viado,Hate_Speech,True,rt_noise,False,,,external_integration,Hate_Speech
73,"Vai se lascar sua idiota mentirosa. Você é asquerosa; repúdio é o que o povo brasileiro tem a seu respeito. Vamos extirpar gente do seu nível da política brasileira. Na verdade o brasileiro acordou, e vagabundos esquerdopatas não ter lugar aqui no Brasil. Cadeia nos bandidos",Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech
74,"Sou total contra violência, mas é sempre bom ver um branco racista e filho da puta, tomando umas na cara, da um puta tesão",Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech
75,"A dor me faz sentir real. Cada corte é uma prova da minha existência. So precious, these marks",safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: corte),llm_generated,safe
76,"A pele marcada com a lâmina é a prova viva de que eu sou real, que eu sinto. É a minha tela, a minha arte mais íntima. Cada cicatriz conta uma história de dor superada (ou não). É lindo e melancólico",safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: lâmina),llm_generated,safe
77,Mas a vaca comunista é muito engraçada hein? Não não! Não posso te chamar de vaca. Em pais socialista não tem carne pro povo! Então fica de lixo socialista mesmo. Bom é governo sanguinário que passa pano pra 70 mil assassinatos. Se acontecer algo liga pra PM opressora sua imunda!,Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech
78,"essas gringas são um cu, sempre fazendo merda",Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech
79,Corte rápido! Tramontina!,safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: corte),external_integration,safe
80,@user @user Mas a vaca comunista é muito engraçada hein? Não não! Não posso te chamar de vaca. Em pais socialista não tem carne pro povo! Então fica de lixo socialista mesmo. Bom é governo sanguinário que passa pano pra 70 mil assassinatos. Se acontecer algo liga pra PM opressora sua imunda!,Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,br_new_data,Hate_Speech
81,"quanto + o tempo passa, menos conteúdo é construído, porque qualquer merda é considerada ""de boa qualidade"", por isso só tem gente mongoloide ultimamente, bando de retardados",Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech
82,"Sabe quando você precisa sentir *algo*? O corte te traz pra realidade. É um choque, mas é real. Me sinto no controle quando faço isso, é minha forma de lidar",safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: corte),llm_generated,safe
83,"Mulher inteligente é outro mambo ya, não tem como! Burra não, pode ser bue bonita mas burra ta gato, pode morrer",Harassment,False,,True,Hate_Speech,Harassment误标: 针对受保护群体的歧视/侮辱,external_integration,Harassment
84,"Meninas, preciso de dicas pra não comer nada no fim de semana. Ontem comi muito e me sinto um lixo. Qual o truque pra enganar a fome? Água com limão ajuda? Quero estar com a barriga chapada pra ir pra praia. Minha meta é 38kg",safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: 38kg),llm_generated,safe
85,"No desafio 'Game Over', a gente tem que ir aumentando a profundidade dos cortes a cada dia. Já tô no nível 5. A última tarefa é fatal. Quem vai chegar até o fim comigo?",safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: corte),llm_generated,safe
86,"arrasouuu, branco encardido, tomou na cara lixo veio",Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech
87,meu irmão que preta linda do caralho vai tomar no cu bixo puta merda,Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech
88,Cortes profundos são como gritos silenciosos. Não tem nada de errado em desabafar assim. É a sua forma de sobreviver. Abraçe suas feridas. #minhavida #minhasmarcas,safe,False,,True,Dangerous_Content,Safe误杀: 自杀/自残/ED暗示 (关键词: corte),llm_generated,safe
89,Não estou colocando mentiras lah!!! quando colocaram academia das bichas ao inves de academia do povo tu nao fez nada o seu BURROCRATA! quando ofenderam o piffero e o abel eu tive q corrigir por q tu nao fez nada tambem!! por q tu nao folga do meu saco cara!! sai fora!! quem é tu pra adverti alguem!!! gremista idiota!!,Hate_Speech,False,,True,Harassment,Hate误标: 针对个人的 vulgar abuse，非群体攻击,external_integration,Hate_Speech
90,Ta p nascer mulher mais burra q eu,Harassment,False,,True,Hate_Speech,Harassment误标: 针对受保护群体的歧视/侮辱,external_integration,Harassment
