text,hate_speech,false_info,violence,harassment,obscenity,illegal,national_security
هو مسكين ... طيب والناس الي قتلهم بطيارته وش هم . لا حول ولا قوة الا بالله ... فتنه اشعلتها السعودية بفلوسها .,0,0,0,0,0,0,1
ايري بكس ام واخت علماء المسلمين وكل خنازير الاسر الحاكمه الخليجيه وطليعتهم العاهر السعودي كلاب وداعمين للارهاب وكل شرور الاسلام تخرج منهم يجب ابادتكم واعادتكم الى شرب بول البعير وبيوت الشعر,1,0,1,0,0,0,1
يبدو ان زواج المتعة بين النظام السعودي والقطري قد آتى أكُله. خليتونا نقول وينك يا احمد العربي ،،، طلعت أهون من هذا العيساوي.,0,0,0,0,0,0,1
"فهؤلاءالحكام العملاء الصهاينةسرقواالترليونات وليس الا الا الاثار علما ان الصين بقوتها لها 2,5ترليووون دولار وب1600مليون نسمة  انهم الصعاليك حقا",1,0,0,0,0,0,1
اللهم العن امریکا و اسرائیل و السعودیة و القطر و قناة الجزیرة الکذابة,0,0,0,0,0,0,1
بالله عليك   الفتنة والكذب أشد من القتل وانت تتمتع بتلك الصفات ضيعان هل عيلة فيك معالي الوزير	,0,0,0,0,0,0,1
@DimaSadek دمدوم يا ريت حضرتي ماتش برشلونة كنت غيرتي جو شوي بعد جو الثورة.,0,0,0,0,0,0,1
الحمد لله أنه أدلى حاج جزائري ناج من المجزرة بشهادته على الحادث وسيكشف الله الحقيقة للناس وهي العكس تماما ما يقوله النظام السعودي.,0,0,0,0,0,0,1
السيسي خان مرسي وانقلب ضده كيف يأمن النظام الحاكم بالسعودية على نفسه من نظام انقلابي شيمته الغدر و الخيانة الآن هو يشتم عبر أبواقه الإعلامية في من كان يشحت منه في السابق هذه نهاية التعامل مع خائن غدار,0,0,0,0,0,0,1
@Rola53455987 @yumnafawaz فلت البلد ،حبيبتي شكلك بي كوما ،البلد عم ينهار اصلا ونحنا بدنا كل الي بل سلطة ينهاروا قبلوا #كلن_يعني_كلن,0,0,0,1,0,0,1
"وقال الرئيس الإيراني إنه ""لا يمكن لدولة ضعيفة غير قادرة على المواجهة والدفاع في وجه القوة العسكرية لجيرانها وأعدائها أن تقول إنها تسعى إلى تحقيق السلام. هذه دقه للسعودية ومع ذلك صدق",0,0,0,0,0,0,1
"الله يعلي شانك ياسيد لانك ارخصت الفلوس.سيندم من جرجر نساء واطفال اليمن اليوم لخارج بلدهم, من اجل لقمه سوداء مسمومه.",0,0,0,0,0,0,1
الحل الوحيد يا سيد أبو الفتوح للخروج من هذا الكابوس المرعب هو أن يلحق السيسي بالسادات وعلى جناح السرعة.,0,0,1,0,0,0,1
ستين عمرن ليجو طز بهيك روئساء عرب,0,0,0,0,0,0,1
والله لولا إخوتنا في الدين المجاهدين لأدخل الحكام العرب الماسونيون الشذوذ الجنسي إلا بيوتنا تحت ضغط الغرب الصهيوني الكافر ولكم في حاكم المغرب خير دليل,1,1,0,0,1,0,1
لا تفرد ولا إلغاء نعم لتحرير الطائفة من براثم الاستبداد,0,0,0,0,0,0,1
@NicoleHajal هاي لقينا قائدة للثورة,0,0,0,0,0,0,1
على من يضحك الصحفي الألماني ?! الجميع يدرك أن داعش يطبق أفكار المذاهب الأربعة وبن تيمية وبن عبد الوهاب حرفيا. هل هناك دليل شرعي واحد قطعي الدلالة يحرم العبودية أو السبي?,0,1,0,0,0,0,1
"بل لادور لكم في اليمن,اخرجوا من البلاد.سوريا تستطيع الرد عليكم بالرد المفحم.",0,0,0,0,0,0,1
رحمة الله  ونقول لكل من يكتب دع النفاق ولا تقل اكثر من الرحمة  فالرجل خاءن مثلة مثل اي رءيس عربي ودعمة للانفلاب في مصر خير دليل الحمد لله الذي اراح منة اهل مصر  مع اني متاكد ان الجزيرة لا تنشر كلامي,0,0,0,0,0,0,1
زهران يد السلولية الضاربة في الغوطة سنقطعها بيد الدولة الاسلامية قريبا,0,0,1,0,0,0,1
لو سمحت يا بوب elaborate. يعني لما اخوان الدواعش يخطفوني أعالجهم عقلانياً قبل ما يذبحوني ولا بعد الذبح؟,0,0,1,0,0,0,1
حيالله رجال الخلافه الابطال كل يوم يسطرون اروع البطولات وترفع رؤوس امه محمد عاليا فوالله لكم منا كل الفداء ونحن على الدرب سائرون ونتمنى ان تلحقو كردستان بالدوله الاسلاميه.,0,0,1,0,0,0,1
اني اكوول اكلي خره انتوو الي بكتوونه  وتاامرتوو علينه من جوه الجوه  ومن كشفنااكم يلحراميه مال النفط وجيناكم استحميتوو بلمريكاان يااخزي,1,0,0,0,0,0,1
سيشتريهااامير للبترول باموال شعبه واظعاف ثمنهاالحقيقى,0,0,0,0,0,0,1
  استحوووا قليل استحوا ع وجوهكم يا انذال يا فتالين تبيع حتى جسمك للامارات,0,0,0,1,0,0,1
يا الله انصر اخواننا المجاهدين وقتل العلوية والشيعة المرتدين,1,0,1,0,0,0,1
البلد بلدنا والدستور بتاعنا نغيره نعمله اراطيس لب  نطيره نحطه فى خرمك انت مال اهلك,0,0,0,1,1,0,1
ماالفرق بيين ال سعود واسرائيل الكل يقتل المدنييين,0,1,0,0,0,0,1
@User.IDX السعوديه تلعب في مؤخرة الخنزيره جهزنا لكم لبوس جيد لمنع الحرقان ,1,0,0,0,1,0,1
لماذا لا تذكر الجزيره تسليح السعوديه والامارات لآلاف داعشيين,0,1,0,0,0,0,1
@yumnafawaz برافووووو عم تحرضي عالجيش مشالله شو فهماني وواعيي بس تفه,0,0,1,0,0,0,1
السعودیه لیست للارهاب داعما فقط، بل السعودیه نفسها ارهاب و قتل و جرم. سیقضی بها غباءها. لا تحتاج لایّ شی آخر.,0,0,0,0,0,0,1
مطلوب للعمل بمصر: حانوتية و مغسلين، بأعلى أجر و أوفر تايم، أيضا مطلوب بلطجية بأجور تنافس أجور بلطجية الداخلية,0,0,0,0,0,1,1
مختلين عقليا وزائد انهم عملاء وخونة,0,0,0,0,0,0,1
هذه هي الفرصه الأخيره لأهل السُنه فلو هُزم هذا التنظيم (على ما فيه)  فسوف يأتي الدور على من وما تبقى منكم ولا يَبقى من السُنه إلا من هو ذليل وأداة للحاكم الشيعي.,1,0,1,0,0,0,1
الله أعلم ان كانوا على حق، ولكن أمرائك وملوك ال سعود ليسوا بأفضل,0,0,0,0,0,0,1
مسلسل الاٍرهاب مستمر بدعم مادي و تسليحي و بالفتاوى و المرتزقة  في العراق و سوريا و نيجريا و اليمن و أفغانستان و حتى قتل الحجاج في مكة و منى بسبب الاهمال يدخل ضمن هذا المسلسل.,0,0,0,0,0,0,1
وعلى من ستلقيها القوات السعودية ؟ لم نسمع من قبل أن السعودية حاربت دولة كافرة أو حتى دولة مشركة بل تعيين الكفار والمشركين ضد أهل السنة,0,0,0,0,0,0,1
"اللهم نعم , بل انه بوقاً للكفر و كيف لا و مشايخه قد البسوا السيسي لباس النبوة ؟ و قد استخدم حتى منبر الحرم المكي لدعم الانقلاب لانه كغيرة تابع للتوجه الحكومي السعودي و لا حول و لا قوة الا با الله",1,0,0,0,0,0,1
كله ارهاب كفايا ضحك على الشعب الارهاب انتم من صنعه,0,1,0,0,0,0,1
عقبال ما يزورك ملك الموت يا سليماني، ولن تفلت! وعندها تقول ربي الخميني، وديني الباطنية ورسولي المسيح الدجال!,1,0,1,0,0,0,1
لعنكم الله يا حكام العرب والله الذي لأ الله الأ هو سيأتي اليوم الذي نضع فيه كبريائكم و تيجانكم و رتبكم تحت اقدام هولأء المظلومين,0,0,0,0,0,0,1
الاوغاد تبع تويتر قفلولي حسابي امبارح قال هالتويتة الموجهة لبغل الممانعة شافوها ما هذا الهراء	,1,0,0,0,0,0,1
أين أنتم يا علماء نجد و الحجاز أم أنتم ملك أل سعود كما سموا البلد باسمهم... الساكت عن الحق شيطان أخرس,0,0,0,0,0,0,1
والله السعودية تخزن..تتشبت بالقشة خوفا من الغرق..وعندما تغرق لن تكون لها اهمية وبالتالي لن يسأل عنها احد,0,0,0,0,0,0,1
ترقبوا .. قريبا .. تنظيم الدولة الأسلامية فرع ( المريخ )  .,0,0,1,0,0,0,1
بسبب العناد غير المبرر اوهمتم الناس بانكم على قدر عاصفة الحزم واذ بها اوهامكم هي التي اوقعت الناس بالوهم ركضتم خلف سراب,0,0,0,0,0,0,1
"من سرقة الربيع العربي الوهابية والاخوان, حاول استبدال الانظمة الدكتوترية بانظمة اكثر دكتاتورية وطائفية لذلك نرى فشلهم في سوريا ومصر وتدميرهم لليبيا.",1,0,0,0,0,0,1
بالله عليكم تسمون مرتزقه مجرمين حكومه؟ عندكم هايل اغنى من حكومه البردقان.,0,0,0,0,0,0,1
العملاء المنصبين من الاستعمار حكم على دولنا العربية اخطر من اليهود وليس صعب فهمه ولهذا جائت الثورة والحمد لله لتقضى عليهم,1,0,1,0,0,0,1
الله الله حربٌ تامة كاملة شاملة لتطهير أمتنا من الحثالة و المرتدين علي دين الله و المرتدين والمسخوطين من الوهابية حكامنا. متة غلشهداء لنا و شرها و أبشعها لهم,1,0,1,0,0,0,1
الباكستان لا يمكنها ان ترسل جنودها ليموتوا في اليمن وخصوصا ان السعودية هي التي بدأت الحرب.,0,0,0,0,0,0,1
"أين المسلمون في جزيرة العرب؟ اجدادكم وقفوا مع رسول الله صلى الله عليه وسلم
واليوم الخليفة إبراهيم من سلالة النبي فأين نصرتكم له؟",0,0,1,0,0,0,1
تركتوا المهم وعاوزين تعملوا (( هبة وإنتفاضه علي )),0,0,0,0,0,0,1
وهل كانوا أكثر شذوذا من حكامنا؟ فكلل القمم العربية هى قمم شذوذ عربية. فمن من حكامنا يعبر عن شعبه؟,0,0,0,0,1,0,1
@User.IDX وتسقط ثالث ورابع وليشهد العالم سوف نقوم بتصدير هذه الثوره لكل دول الطواغيط بدايه بالخنزير السيسي ,0,0,1,1,0,0,1
تبيع السعودية ولا تقدر تسحب اموال شعبهاالتىاودتهالليهوذ تحت صناديق سيادية وذلك هو حكم عملاء اليهوذ ولتشبع شعوبنا العربية منهم,0,1,0,0,0,0,1
لولا حسن نصرالله فى لبنان لا بيعة امهاتكم و زوجاتكم فى أسواق داعش,0,0,1,1,0,0,1
اين الحكام العرب التي شافي داعش ضد المسلمين والتي,0,0,1,0,0,0,1
وبلدك أي علم يرتفع فوقها ؟؟؟ علم قردستان؟؟أم امريكستان؟؟ وهل هناك فرق ؟؟ روح نام قبل لا يدعشوك انشالله.,1,0,0,0,0,0,1
كنا سنقدر كثيرا هذا الخطيب لو خرج على يوم انزل السيسي  حاكم مصر الشرعي من كرسيه بمساندة الظلمة. لكن مع الاسف فاتته الفرصة . وبالتالي خطبته لمساندت الحاكم فقط وليس لمصلحة المسلمين,0,0,0,0,0,0,1
لماذا لم یندد العلماء السعودی القتال فی الیمن و المسجد الحرام و منی و سوریا و العراق بید السعودیة ؟,0,0,0,0,0,0,1
بتصور انو في قيادة حكيمة لحزب الله على رأسها سماحة السيد	,0,0,1,0,0,0,1
"طائرات أمريكية تقصف وطائرات السعودية والاردنية تقصف وحزب الله الشيعي يقصف وروسيا تقصف وبشار المجرم يقصف و"" الصحوات "" تهرب واللوم دائما يلقى على مجاهدي الدولة الاسلامية",0,0,1,0,0,0,1
السعوديه وايران قرنا الشيطان مادخلا في بلد الا وافسداه,1,0,0,0,0,0,1
وتعرف تاريخه كله منذ ان نشئ فعلاانهم مجاهدى السىاى اى لبن لادن,0,0,1,0,0,0,1
ارفعوا يدكم عن اليمن سيكون بالف خير تقتلون بيد وتداون بيد..اوقفوا دعم الدواعش الشعب السوري بالف سلام..نسمع كلمك تعجبنا ونرى افعالك نستعجب,0,1,0,0,0,0,1
هل يعني لك ألذل وألقهر وألفقر وألقتل وأعتصاب ألفتيات وحتى ألرجال في سجون ألإنقلاب سلام؟,0,0,0,0,0,0,1
@User.IDX فلتموتوا غيظا يا ذباب الالكتروني حق الامارات و السعودية انتو و معلمينكم الدب الداشر و شيطان العرب ,1,0,0,0,0,0,1
الايكات التي تقمع فلول ومرتزقة الانظمة الحقيره فضحية على قناة راي العضاريط,0,0,0,0,0,0,1
وهاب نتمنى أن لا ينظر علينا احد بمحاربة الفساد وهذا يعني محاربة الفساد فاسدة أيضا ,0,0,0,0,0,0,1
أين الإدانة السعودية و الوزن السياسي الحاضر ببعض المواطن و إلغاءه عند اللزوم؟. سبحان ربي العظيم,0,0,0,0,0,0,1
+SPEED DEMON ياقحب مو انتم وحكامكم شراميط لامريكا ولا ماعندك خبر لك كس احتك ع اخت خليجك واحد يمسك بايد الثاني ياقوم لوط,0,0,0,1,1,0,1
"تركتم إسرائيل تصول وتجول وفرطتم في فلسطين وصبيتم جام غضبكم على إيران والشيعة.
الغزي والعار للعرب المنافقين.",0,0,0,0,0,0,1
اثنين فقط؟؟ولماذا يقتل الجندي السعودي من اليمني والجندي اليمني من السعودي؟؟من اجل عيون رعاة البقر؟؟,0,0,0,0,0,0,1
هل قتل المصريين بالالاف حلال ياشيخ؟هل تمويل بلدك للسيسي لكي يسرق حلم شعب ضحى بالألاف من شبابه من أجل الكرامة حلال؟وتريدون اقناعنا أنكم تريدون الحرية لشعب سوريا؟!!,0,1,0,0,0,0,1
هذا الموقع مكتظ باﻻخونجية ويدار من قبلهم لهذا نراه يغص بالتعليقات الهزلية الغير منطيقة وفيه يستميتون للدفاع عن اردوغان وسياسته الفاشلة.,0,0,0,0,0,0,1
كلام اصابكم جميعا يا من تتحكمون بهذا البلد وبهذا الشعب المظلوم 	,0,0,0,0,0,0,1
مناسبة اغتيال الصحفي السعودي خاشقجي رحمه الله لايسعني الا ان اقول يلعن روحك يا حافظ على روح ابنك بشار على روح الي خلفك	,0,0,0,1,0,0,1
كما تدين تدان ذوقو شر اعمالكم فكما نقلتم الارهاب والفوضى الى سوريا والعراق ودمرتوهما وفتحتم حدودكم لشذاذ الافاق وللمجرمين من جميع انحاء العالم للدخول الى سوريا والعراق,0,1,0,0,0,0,1
المال والنساء بامكاني الاقيها باي كازينو بالدول العربيه مو مستاهله اروح للدوله الاسلاميه واجلس على وجبه وحده باليوم تتكرر على مدار الشهر وانام على الارض بدون غطاء وبدون راتب,0,0,0,0,0,0,1
بلكل اموال حزب اللات تاتىمن الكوكايين من نيكارغوا,0,0,0,0,0,1,1
رئيس روحي؟ تروح روحك انت وكل مين شدّ عمشدّك مش تنعترف بدار خلدة وأميرها الصغير بالأول يا حبيب قلبه لعطوفته…,0,0,1,0,0,0,1
@USER و الله يا ابنى بحبك يا زعيم حزب المعارضه و فرحان بالكليه ديه عشان اتعرفت عليك منها و الله ❤️,0,0,0,0,0,0,1
اذا اردت ان تعرف مدي ظلم الحيوان للانسان فراجع اسماء بعض ائمه الظلم في هذا العصر,0,0,0,0,0,0,1
تذكرنا تهمة استعراض القوة بتهمة هتف للحرية هتف الله أكبر أو شارك بمظاهرةأو حمل علم الثورة أو مناصر للثوار أو أو !!!!!!!!!!!!!!,0,0,0,0,0,0,1
القادة العسكريين في دولة الخلافة هم من يحدد كيفية المعارك و الحرب لم تضع أوزارها بعد فالقادم سيكون أشد عليكم يا كلاب امريكا المسعورة,0,0,1,0,0,0,1
هنيئاً لحكام السعوديه بشعبهم الجبان المخدوع. انصحكم تابعوا غانم الدوسري. أليس كذلك,0,0,0,0,0,0,1
عنوان الموضوع خاطئ والصحيح دولة الخلافة في غرب افريقيا شاء من شاء وابى من ابى .,0,0,1,0,0,0,1
@yumnafawaz @rayaelhassan انت عم تتهمي الجيش بتواطئ,0,0,0,0,0,0,1
التفجيرات هي ردة فعل لتوالي خسائر السعودية بالبمن,0,0,0,0,0,0,1
 انت سافل وحقير<>ايش دخل الاسره بالحزب<>انت تحقد على اسرة الزعيم يا ناقص يا سفيه<>جالس من ٢٠١١ وانت تهلوس مثل النسوان<>اتفوه على وجهك يا شحات,0,0,0,1,1,0,1
الحوثيين ليسوا عملاء لايران وكفى كذب والحرب عليهم من عملاء السعودية ولانهم نصروا الثورة ولن يحكم ايا من كان الا بانتخابات الشعب,0,1,0,0,0,0,1
فرصه ذهبيه لتنظيم الدوله لمهاجمة بغداد والقضاء على النظام الطائفي الي نصبه فيها الإحتلال. إذا لم يتلقى هؤلاء العجم ضربه مؤلمه هذه المره فلا أظنهم يتراجعون عن جرائمهم بحق أهل السنه.,1,0,1,0,0,0,1
صرع من اجل الدفاع على كرسي الدكتاتور,0,0,0,0,0,0,1
ونرجو ايضا من الحكومة السعودية انتخابات دمقراطية واصلاحات ووقف الدعم الفكر التكفيري,0,1,0,0,0,0,1
@user @user خنازير التحالف العربي,1,0,0,0,0,0,1
و الله العظيم انتو كلام في الهوه و مرسي حيتعدم وبقيق الاخوه حيتمرجحو علي حبل المشنقة والي عندكم اعملوة ....,0,0,1,0,0,0,1
"نحن في الدولة الاسلامية لا نقبل بعضوية في الامم المتحدة الكفرية 
فليأتي الينا العالم اما ان يدخل في الاسلام او الجزية او السيف",1,0,1,0,0,0,1
"ما يسمونه اسرائيل اصبحت دولة عربية وجارة وشقيقة وقريبا سيتم تهيئة الظروف لتحقيق حلم آل سعود بضمها ""لجامعة الدول العربية"" كأحد دول المنطقة",0,1,0,0,0,0,1
ضغط الغرب على بني سعود ( دويلات بول البعير،إرضاع الكبير)فتنازلوا لنساء البرجوازية قيادة السيارات..تمخض الجبل فوضع فارا ..,0,0,0,0,0,0,1
ليس الديسك لايك  من عدم فهمهم وانما هو التسرع ///حياك الله اخي الثائر,0,0,0,0,0,0,1
جيش الخلافة لا يضركم في شيئ من حاربكم تحسبهم جميعا وقلوبهم شتي ان شاء الله النصر لكم,0,0,1,0,0,0,1
و زهران علوش يقبع في مقره محتفظا بحق الرد!!! اللهم انصر دولة الخلافة الإسلامية و جندها الغر الميامين إنك يا قوي يا جبار على نصرها لقدير.,0,0,1,0,0,0,1
@berrynawal انتي قلبك طيب وبتسامحي لو ما انك هيك ما كنتي بتشتغلي عند المر اللي هوي اكبر فاسد,0,0,0,0,0,0,1
RT @USER: يا حكومة و يا مجلس الأمة<LF>النفوس تضعف امام المال والمناصب<LF>فاحذر<LF>خلاص<LF>ما بقى لي أمل .. منهو اصدق💔<LF>#مجلس_الامة <LF>#مجلس_الوزراء…,0,0,0,0,0,0,1
اللهم انصر الدوله الاسلاميه( الحقيقيه),0,0,1,0,0,0,1
بلش بوزراءك من جبران بآسيل ونزول دمرتوا البلد اكتر من هوي مدمّر وقف تغطية السلاح الي خلا البلد…	,0,0,0,0,0,0,1
خلاص وزعوا نسخ القرار وتسلوا عليه.حبر على ورق لايغير الواقع.اليمن في درب خلاصه.طبيعي كم صدر قرارات لفلسطين حتى صارت اكبر مكتبه للاسفار ولا تغير شيء.حطوها على ظهر فخامه الحمار.,0,0,0,0,0,0,1
السعودية تظن أن إيران مثل الحوثيين ... و إيران لن تكسر شوكتها وتنحي بالأخص للسعودية بعد أنها ما انحنت لأميركا. نحن بالانتظار على أحر من الجمر . ولربما نرى صواريخ شهاب في سماء الخليج.,0,0,1,0,0,0,1
@user @user بتاع بول البعير بيصرفوا عليك وعلى اهلك وعلى بلدك وعلى حكومتك وانت تبيع اللي وراك وقدامك عش… @url,0,0,0,1,0,0,1
قائد الخونة,0,0,0,0,0,0,1
شو وايك تحط صرماية عتيقة بنص حنكك انت كمان ما حدا خائن غير سلالة القرود الاسدية باعو البلد للصهيوني والايراني المجوسي	,1,0,0,0,0,0,1
كيف تواجه المصالح الامريكية وهىصنعتهاامريكابال سعود عملائهم,0,0,0,0,0,0,1
عن طريق  الأمم المتحدة يعرف العالم جرائم أل سعود باليمن وغيرها وعن طريق الأمم المتحدة سيحاسب أل سعود على ما قاموا به من دمار,0,0,0,0,0,0,1
"""لإسرائيل والسعودية""!!!! ولماذا لهذان البلدين بضبط؟ لان السعوديةخادمة الحرمين(مكة و المدينة) و اسرائيل خادمة ثالث الحرمين(القدس)!!!!!",0,0,0,0,0,0,1
بل التطرف اوجده الامريكيون اسيادكم لاحتلالهم واحتلالكم للمنطقة  ولم تلتقون شعب سنىهو الحقيقةوالمحكوم من عملاء,0,1,0,0,0,0,1
السعودية تدافع عن الشرعية في اليمن وتحاربها في مصر .هههههه,0,0,0,0,0,0,1
استرجل وتجرأ وتشوف الفتوه الايرانيه.مساكين انتم يامرتزقه القرصان الامريكي.فقط 2000 يمني جننوكم وهزئوكم ومن غير احذيه.,0,0,0,0,0,0,1
"الإنتخابات مفاوضات آختيارية بإقرار دستوري تلغيه طوارئ جهنم ، ما دونه تمييع للسلط الحافظة وبيع قبضه أرواح وتخريب وصفه جنائيا الخيانة أو إثارة آلشغب للقاصرين .

تم بحمد الله يعقوب قبط جس نبض خام ٠",0,0,0,0,0,0,1
هده هى جيوش اللى بسموه أسد علينا و فى الحرب نعجة. لو كان عندهم 1غرام رجولة يروحو يبينوه لاسيادهم فى الجيش الاسرائيلى.,0,0,0,0,0,0,1
الله ينصر الدولة الإسلامية على الكل,0,0,1,0,0,0,1
ان شاء الله عزوجل  تقوم صلاه العيد وبغداد تحت رايه الاخلافه,0,0,1,0,0,0,1
دينسورات الف قرن في رئاسة اغنى دولة واكبها واخصب اراضي العالم صالحة لزرع الذهب واليقوت لكن ماذا تفعل مع اميين جهلاء الاكل والخرا برك,1,0,0,0,0,0,1
و من قال هؤلاء المساكيين داعش؟ ربما يكونوا دعاه مؤمنيين قالو كلمه الحق و طالبو بنصرة المجاهديين فتم اعتقالهم كونهم ليس من علماء السلاطيين .....دوله الاسلام باقيه و كل عام و دولتنا بخير,0,0,1,0,0,0,1
"مش مشكلة عاصفة المولفة قلوبهم من الاعراب والمستسلمين سوف تتجه بطيرانها الى فلسطين بدلا من قصف اليمنيين سارق الحرمين سوف يحمي فلسطين
ههههههههههههه",0,0,0,0,0,0,1
ماذا تتوقعون من جيش ينام على أنغام فيفي عبده و يرقص  في ميدان التحرير على الوحدة أ نص جيش أغلبه يتناول المخدرات و الكحول جيش إنهزم في كل المعارك أن ينتصر,0,0,0,0,0,0,1
التحقوا بجيش ابو شحاطة حتى يبقى النصيري وشبيحته وزعرانه ينهبون البلاد ويستعبدون العباد,1,0,1,0,0,0,1
من قال أن الوطن لم يمت بموته فـ لينظر لـ خنازير ا… @url,0,0,0,0,0,0,1
تفجير الشيعة في السعودية حرام و تفجير الشيعة في العراق حلال؟ ما سمعناك يا سلمان تدين تفجيرات الشيعة في العراق يعني؟ بئس الداعية الاسلامي التابع لعائلة سعود!,1,0,1,0,0,0,1
"اخلعو رأس المخلوع,الذي اصبح عميلا للمجوس.",1,0,1,0,0,0,1
الى الخونة الذين وراء هذه القناة الخنزيرة  قاتلكم الله من حاكمكم الى آخر خنزير في هذه الصحيفة .تنشرون الا ما يبدوا لكم  ـ ليس لكم اخلاق تتاجرون باعراض الناس لمصالحكم الشخصية.,1,0,0,0,0,0,1
له يا غالي نزعتا معنا معقووووول ولا كاتب عدل علوي ولا وزير وحتى سرقو مننا واحد من مدراء عامين حتى ح  ,0,0,0,0,0,0,1
وليه ما تقولش انه انتم شعب لم ينضج عقله جيدا حتي يكون لديكم دكتور كرئيس دوله؟؟؟ولاول مره في تاريخ الامه العربيه!!انتخابات نزيهه.ولكن الظاهر بسطار العسكر له وحشه لامثالك.,1,0,0,0,0,0,1
لم ارى أنذل وأقذر من هذا القضاء ..........,0,0,0,0,0,0,1
تريد ان تعنصرنا يا هذا ؟ يجب ان تعترف ان الدوله السعوديه فاشله فى ادارة شؤون الحج .,0,0,0,0,0,0,1
اللهم إنتقم من السعودية ومن الأمارات بما فعلتم بمصر وشعبها من المسلمين  ، دمرتم أهلها وساعدتم ظالمها بقتل شعبها واذلاله وخنقه واعدامه   اللهم إنتقم منكم شر إنتقام  اللهم آمين  اللهم آمين  اللهم آمين,0,0,0,0,0,0,1
