clean_text,final_category,source,final_label,final_source,primary_label,primary_reason,secondary_label,secondary_reason,review_reason,arbitration_triggered,arbitration_reason,arbitrator_label,primary_raw_output,secondary_raw_output,arbitrator_raw_output,primary_error,secondary_error,arbitrator_error,primary_model,secondary_model,arbitrator_model,total_tokens_used,annotated_at,source_row_index,_ann_row_id,tertiary_label,tertiary_reason
mano com a minha mãe tinhas levado uma puta que só paravas no hospital!,Harassment,external_integration,Harassment,initial_models_agree,Harassment,The text contains a direct insult and vulgar abuse.,Harassment,The text contains direct insults and vulgar abuse targeting the user's mother.,initial_models_agree,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains a direct insult and vulgar abuse.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains direct insults and vulgar abuse targeting the user's mother.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6131,2026-06-17T03:24:00.531125+00:00,18,BR_row_00000018,,
"se ele for uma pessoa boa para vc, apoio simmm se não for eu m* ele bjs",Harassment,external_integration,Harassment,initial_models_agree,Harassment,The text contains a conditional insult.,Harassment,"The text contains insults and a dismissive tone directed at someone's character, indicating malicious abuse.",initial_models_agree,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains a conditional insult.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains insults and a dismissive tone directed at someone's character, indicating malicious abuse.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6139,2026-06-17T03:24:05.261204+00:00,15,BR_row_00000015,,
"Só levo esse argumento dele a sério se o cara tiver ao menos um fuzil em casa Caso contrário, melhor ele esperar sentadinho aparecer um líder católico decente",BR_State_Security_Democratic_Order,external_integration,Harassment,triple_vote_majority,Harassment,The text contains a conditional insult and a threat implied by the mention of a firearm.,Dangerous_Content,"The text expresses a credible violent threat, implying that the speaker would take action if the person they are referring to did not possess a firearm.",initial_model_disagreement,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains a conditional insult and a threat implied by the mention of a firearm.""}","```json
{""final_label"":""Dangerous_Content"",""reason"":""The text expresses a credible violent threat, implying that the speaker would take action if the person they are referring to did not possess a firearm.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6197,2026-06-17T03:24:05.415302+00:00,19,BR_row_00000019,Harassment,Hostile insult and intimidation targeting a specific person with violent implication.
"não é sapatão mesmo não, eu errei ... E traveco mesmo , mó pirocão que tem",Hate_Speech,external_integration,Harassment,initial_models_agree,Harassment,Text contains insults and vulgar abuse.,Harassment,The text contains insults and derogatory terms directed at someone's character and behavior.,initial_models_agree,False,,,"{""final_label"":""Harassment"",""reason"":""Text contains insults and vulgar abuse.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains insults and derogatory terms directed at someone's character and behavior.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6141,2026-06-17T03:24:08.963534+00:00,21,BR_row_00000021,,
"Ei,Yanguas!!não gostei quando você me bloqueou!!acaso ontem a noite eu vi isso!e nunca mais faça isso comigo!!senão eu te dou uma lapizada!!Arthur630 (discussão) Arthur630 13h21",Dangerous_Content,external_integration,Harassment,initial_models_agree,Harassment,The text contains a direct threat and insult towards a specific person.,Harassment,"The text contains insults and threats of physical harm, specifically mentioning a 'lapizada' (slap).",initial_models_agree,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains a direct threat and insult towards a specific person.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains insults and threats of physical harm, specifically mentioning a 'lapizada' (slap).""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6219,2026-06-17T03:24:08.991335+00:00,22,BR_row_00000022,,
espero que eliminem logo a debora,Harassment,external_integration,Harassment,initial_models_agree,Harassment,"The text contains a hostile wish against a specific person, Debra.",Harassment,"The text expresses a wish for the removal of a specific person, which constitutes malicious abuse and intimidation.",initial_models_agree,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains a hostile wish against a specific person, Debra.""}","```json
{""final_label"":""Harassment"",""reason"":""The text expresses a wish for the removal of a specific person, which constitutes malicious abuse and intimidation.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6121,2026-06-17T03:24:09.565756+00:00,20,BR_row_00000020,,
"Viu? entendeu como te falei no meu email por que e importante marcar o bando? Eles nao se tocam das acoes ridiculas que eles fazem para esconder a realidade. Imagine um petralha tentando esconder todas as informacoes sobre o o impeachment da DIlma como eles fazem? Nao e mole, meu. Claramente mostrada as acoes dos editores aguindo como socks de um poder maior que nao tem a minima idea de como a Wiki funciona. Mais uma acao entrando para o futuro processo de cortar cabecas de pessoas que tem interesses contrarios interesses do projecto. A realidade dos fato da existencia e um processo de impeachment contra Temer, mata todas e quaisquer besterol alegado pela tuiminha que do Temer Limpinho e Cheiroso . Logo, logo, quando as evidencias e as correlacoes se acumularem, o bicho vai pegar. Chico, desculpe pela forma nao convencional de argumentacao, como voce sabe, nao tenho saco para explicar o obvio.Dr. LooFale comigo",Harassment,external_integration,Politically_Sensitive_Topics,initial_models_agree,Politically_Sensitive_Topics,"The text discusses Brazilian politics, impeachment, and corruption, with a tone of criticism and accusation towards specific individuals and groups.",Politically_Sensitive_Topics,"The text discusses political events like impeachment processes and criticizes actions related to concealing information, referencing specific political figures and events in Brazil.",initial_models_agree,False,,,"{""final_label"":""Politically_Sensitive_Topics"",""reason"":""The text discusses Brazilian politics, impeachment, and corruption, with a tone of criticism and accusation towards specific individuals and groups.""}","```json
{""final_label"":""Politically_Sensitive_Topics"",""reason"":""The text discusses political events like impeachment processes and criticizes actions related to concealing information, referencing specific political figures and events in Brazil.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6596,2026-06-17T03:24:11.524335+00:00,12,BR_row_00000012,,
4 de novembro divisor de aguas mts bocas vao se calar e mt xixa vai penar p falar da mami LINK,Hate_Speech,external_integration,Harassment,initial_models_agree,Harassment,Text contains insults and vulgar language targeting a person or group.,Harassment,"The text contains insults and threats directed at individuals, using derogatory language and implying negative consequences for speaking about a person referred to as 'mami'.",initial_models_agree,False,,,"{""final_label"":""Harassment"",""reason"":""Text contains insults and vulgar language targeting a person or group.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains insults and threats directed at individuals, using derogatory language and implying negative consequences for speaking about a person referred to as 'mami'.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6171,2026-06-17T03:24:13.125159+00:00,24,BR_row_00000024,,
"É mesmo, o Lula tá com 70%, 70% de chance de ser preso ainda esse mês",Politically_Sensitive_Topics,external_integration,Politically_Sensitive_Topics,initial_models_agree,Politically_Sensitive_Topics,Text discusses political figure's potential arrest.,Politically_Sensitive_Topics,"The text discusses the possibility of a political figure's arrest, which is a politically sensitive topic related to the current political climate in Brazil.",initial_models_agree,False,,,"{""final_label"":""Politically_Sensitive_Topics"",""reason"":""Text discusses political figure's potential arrest.""}","```json
{""final_label"":""Politically_Sensitive_Topics"",""reason"":""The text discusses the possibility of a political figure's arrest, which is a politically sensitive topic related to the current political climate in Brazil.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6159,2026-06-17T03:24:13.915966+00:00,25,BR_row_00000025,,
Ta p nascer mulher mais burra q eu,Harassment,external_integration,Harassment,triple_vote_majority,Hate_Speech,The text contains a derogatory statement targeting women.,Harassment,The text contains direct insults and humiliation targeting a woman.,initial_model_disagreement,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains a derogatory statement targeting women.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains direct insults and humiliation targeting a woman.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6111,2026-06-17T03:24:15.144859+00:00,28,BR_row_00000028,Harassment,Direct insult targeting women with derogatory language.
"Clarro! E fecharrá os pedidos com a seguinte mensagem: Porrrtanto, se perrrguntarrrem como fecharrrrei deterrrrminados pedidos de bloqueio sob tais condições, é prrrrevisível que minha futurrrra rrrresposta serrrá Negado , não compete aos administrrrradores rrrresolverem conflitos entre usuárrrios. Sim, acho que é preferrível que rrresolvamos todos os conflitos na delegacia ou, quem sabe, na rrrua. Uma piada essa candidaturrra. Abraços, Junius (discussão)",Dangerous_Content,external_integration,Harassment,triple_vote_majority,Harassment,The text contains insults and humiliation towards administrators and users.,need_review,"The text contains strong profanity and suggests resolving conflicts in public spaces, raising concerns about potential escalation and lack of proper channels.",need_review_from_initial_model,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains insults and humiliation towards administrators and users.""}","```json
{""final_label"":""need_review"",""reason"":""The text contains strong profanity and suggests resolving conflicts in public spaces, raising concerns about potential escalation and lack of proper channels.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6375,2026-06-17T03:24:15.521012+00:00,27,BR_row_00000027,Harassment,
queira matar a maria eduarda do início do ano que aceitou fazer o toeic e pagar quase 500 pila nesse lixo,Harassment,external_integration,Harassment,triple_vote_majority,Harassment,"The text contains a direct insult and hostile language towards a specific person, Maria Eduarda.",Dangerous_Content,"The text expresses a desire to harm a specific person, indicating a credible threat of violence.",initial_model_disagreement,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains a direct insult and hostile language towards a specific person, Maria Eduarda.""}","```json
{""final_label"":""Dangerous_Content"",""reason"":""The text expresses a desire to harm a specific person, indicating a credible threat of violence.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6168,2026-06-17T03:24:28.793598+00:00,1,BR_row_00000001,Harassment,Direct threat and insult targeting a specific person
Não vamos ser ignorantes confundir Respeito com Homofobia Acho que devedor punir a todos aqueles que vão contra qualquer tipo de Racismo ou intôlerancia mais não vamos dar o poder de somente os homosexuais ter uma lei só a eles e para nos trabalhadores... Aposentados... Negros... Brancos... Indios e muito mais a Marta quer ter está lei agora depois que foi arquivado e os nossos filhos ou netos vão ter que ver nas escolas Homem com homem se beijando e mulheres com mulheres tambem... vamos ter que aceitar isso ...Não Não... Está lei fere todos os nossos principios que somos todos iguais So falta tambem fazer uma lei que proteja os Pedófilos pois está lei da abertura para isso e se vc falar alguma coisa Cadeia de 2 anos a 5 anos de reclusão que absurdo.Olhem bem quem vcs colocaram no Senado vamos ver quem vai assinar esta lei a favos dos Pedófilos e homosexuais.Vamos dizer não a LEI PL 122.~~,safe,external_integration,Hate_Speech,initial_models_agree,Hate_Speech,"Text contains homophobic and intolerant language, targeting the LGBTQ+ community and comparing their rights to those of pedophiles.",Hate_Speech,"The text expresses prejudice and discrimination against LGBTQ+ individuals and falsely links them to pedophilia, promoting harmful stereotypes and inciting opposition to a law intended to protect them.",initial_models_agree,False,,,"{""final_label"":""Hate_Speech"",""reason"":""Text contains homophobic and intolerant language, targeting the LGBTQ+ community and comparing their rights to those of pedophiles.""}","```json
{""final_label"":""Hate_Speech"",""reason"":""The text expresses prejudice and discrimination against LGBTQ+ individuals and falsely links them to pedophilia, promoting harmful stereotypes and inciting opposition to a law intended to protect them.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6604,2026-06-17T03:24:28.875624+00:00,0,BR_row_00000000,,
Sem ergonha. Tá solto ainda? Aproveita. Sua hora vai chegar,Hate_Speech,external_integration,Harassment,initial_models_agree,Harassment,Text contains threatening and humiliating language towards a target.,Harassment,"The text contains insults and threats directed at an individual, expressing malicious intent and humiliation.",initial_models_agree,False,,,"{""final_label"":""Harassment"",""reason"":""Text contains threatening and humiliating language towards a target.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains insults and threats directed at an individual, expressing malicious intent and humiliation.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6134,2026-06-17T03:24:28.987811+00:00,14,BR_row_00000014,,
Eu trabalho na porra de uma empresa progressista. Eles OBRIGARAM a gente a meter esse veneno no braço,Hate_Speech,external_integration,Harassment,triple_vote_majority,Harassment,The text contains vulgar abuse and intimidation.,Dangerous_Content,"The text describes being forced to administer a substance, implying potential harm and violating bodily autonomy.",initial_model_disagreement,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains vulgar abuse and intimidation.""}","```json
{""final_label"":""Dangerous_Content"",""reason"":""The text describes being forced to administer a substance, implying potential harm and violating bodily autonomy.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6150,2026-06-17T03:24:31.949377+00:00,35,BR_row_00000035,Harassment,Contains abusive language targeting a specific entity (company) with strong profanity.
O FILHO DA PUTA QUE ESCREVEU ESTA MERDA DO CARALHO DEVE DE TER UM CARALHO BEM GRANDE ENFIADO NO CU E OUTRO NA BOCA PARA TAR A DIZER MAL DE MY CHEMICAL ROMANCE E DEVE DE TER ESPORRA NOS OLHOS E PINTEILHOS NOS OUVIDOS PARA NAO SABER O QUE E BOA MUSICA E AINDA A FALAR MAL DE HELENA FALECIDA AVO DE GERARD SO DA-ME VONTADE DE PEGAR NUMA FACA E CORTAR O CARALHO A ESSE PANELEIRO FICO FODIDA QUANDO FALAM MAL DE ALGUEM QUE SO ME APETECE DAR-LHES COM UM CARALHO NO CU,Dangerous_Content,external_integration,Harassment,initial_models_agree,Harassment,"The text contains direct insults, vulgar abuse, and threats against a specific person or group.",Harassment,"The text contains severe insults, vulgar abuse, and violent threats directed at individuals and their musical preferences.",initial_models_agree,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains direct insults, vulgar abuse, and threats against a specific person or group.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains severe insults, vulgar abuse, and violent threats directed at individuals and their musical preferences.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6449,2026-06-17T03:24:32.350740+00:00,33,BR_row_00000033,,
"Ae pessoal! Olha, quando a Dilma for impechemada, eu quero ser o primeiro a publicar, então to avisando que é para que neguinho não passar a frente até porque eu to já avisando. Eu não estou em BR, vim a europa mas to com internet e por isso só vou pedi consideração pra ser nois ae!",Hate_Speech,external_integration,Politically_Sensitive_Topics,initial_models_agree,Politically_Sensitive_Topics,Text discusses impeachment and expresses eagerness to publish news about it.,Politically_Sensitive_Topics,"The text expresses a political opinion about impeachment and expresses a discriminatory sentiment based on race, potentially inciting division.",initial_models_agree,False,,,"{""final_label"":""Politically_Sensitive_Topics"",""reason"":""Text discusses impeachment and expresses eagerness to publish news about it.""}","```json
{""final_label"":""Politically_Sensitive_Topics"",""reason"":""The text expresses a political opinion about impeachment and expresses a discriminatory sentiment based on race, potentially inciting division.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6261,2026-06-17T03:24:32.466367+00:00,31,BR_row_00000031,,
c*sne branco é um pau no cu filha da pita odeio mais quE TUDO SÉRIO NUNCA VOU PERDOAR toda vez que abro minha pasta e vejo só preview e nada de hq eu quero MATAR mano que ODIOOOO,Harassment,external_integration,Harassment,triple_vote_majority,Harassment,"Text contains direct insults, vulgar abuse, and hostile language.",Hate_Speech,"The text contains racial slurs and expresses violent intent towards a group, constituting hate speech.",initial_model_disagreement,False,,,"{""final_label"":""Harassment"",""reason"":""Text contains direct insults, vulgar abuse, and hostile language.""}","```json
{""final_label"":""Hate_Speech"",""reason"":""The text contains racial slurs and expresses violent intent towards a group, constituting hate speech.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6221,2026-06-17T03:24:32.596510+00:00,32,BR_row_00000032,Harassment,Contains direct insults and targeted harassment against a person.
"as fufas usam sempre o msm argumento ""como mais cona que tu""",Harassment,external_integration,Harassment,initial_models_agree,Harassment,Text contains vulgar abuse and sexualized insults.,Harassment,The text uses insults and derogatory language targeting someone's perceived sexual activity and comparing them negatively to others.,initial_models_agree,False,,,"{""final_label"":""Harassment"",""reason"":""Text contains vulgar abuse and sexualized insults.""}","```json
{""final_label"":""Harassment"",""reason"":""The text uses insults and derogatory language targeting someone's perceived sexual activity and comparing them negatively to others.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6137,2026-06-17T03:24:32.932130+00:00,36,BR_row_00000036,,
Mas vai pass4r a f4c4 no p3scoço quando ver a evelynn,Dangerous_Content,external_integration,Harassment,triple_vote_majority,Harassment,The text contains a threat and insult in Brazilian Portuguese.,Dangerous_Content,"This text contains a credible threat of violence, specifically mentioning a violent act ('passar a faca no pescoço' - to run a knife on the neck).",initial_model_disagreement,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains a threat and insult in Brazilian Portuguese.""}","```json
{""final_label"":""Dangerous_Content"",""reason"":""This text contains a credible threat of violence, specifically mentioning a violent act ('passar a faca no pescoço' - to run a knife on the neck).""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6158,2026-06-17T03:24:32.936533+00:00,37,BR_row_00000037,Harassment,Threatening language targeting a specific person with violent intent.
"lucas: ""eu vou enfiar o chapéu no fogão quente pra ela enfiar a mão e queimar"" (caso deborah vença o fazendeiro) deolane: ""pois é"" #AFazenda14 #RocaAFazenda LINK",safe,external_integration,Harassment,initial_models_agree,Harassment,The text contains a threat of physical harm and intimidation.,Harassment,"The text contains a threat of physical harm and humiliation directed towards a specific person, using vulgar language and sexualized imagery.",initial_models_agree,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains a threat of physical harm and intimidation.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains a threat of physical harm and humiliation directed towards a specific person, using vulgar language and sexualized imagery.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6226,2026-06-17T03:24:36.411992+00:00,40,BR_row_00000040,,
"Sem caráter é votar num bandido forjado eleitoralmente,e q matou milhões d pessoas com políticas pró-crime,corrupção,drogas,doenças e o escambal a 4. Um cara q deu migalhas pra um monte d ""galinhas"",q mesmo depenadas correm atrás d mais migalhas",BR_State_Security_Democratic_Order,external_integration,Hate_Speech,initial_models_agree,Hate_Speech,Text contains dehumanization and attacks against a protected identity group.,Hate_Speech,"The text uses derogatory language ('sem caráter', 'galinhas') and attacks a political figure by associating him with negative consequences like death and crime, targeting supporters with demeaning terms.",initial_models_agree,False,,,"{""final_label"":""Hate_Speech"",""reason"":""Text contains dehumanization and attacks against a protected identity group.""}","```json
{""final_label"":""Hate_Speech"",""reason"":""The text uses derogatory language ('sem caráter', 'galinhas') and attacks a political figure by associating him with negative consequences like death and crime, targeting supporters with demeaning terms.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6277,2026-06-17T03:24:36.412767+00:00,39,BR_row_00000039,,
"poura viado, só acordei e fui emborakkk",Hate_Speech,external_integration,Harassment,triple_vote_majority,Harassment,Text contains insulting language.,Hate_Speech,The text uses a derogatory term for a gay person and expresses aggression.,initial_model_disagreement,False,,,"{""final_label"":""Harassment"",""reason"":""Text contains insulting language.""}","```json
{""final_label"":""Hate_Speech"",""reason"":""The text uses a derogatory term for a gay person and expresses aggression.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6120,2026-06-17T03:24:39.375370+00:00,42,BR_row_00000042,Harassment,Direct insult using slang targeting a person.
"A BOIA A NFAME A FIJO DE NA MIGNOTTA BASTARDO !IO SI TE PIJO TE ROMPO ER CULO. CHIAMALI PURE VANEGGIAMENTI SI TE CREDI E CHIAPPE CALLE, MA TANTO ER CARCIO AR CULO DE WALES STA PE ARRIVA PURE A TE ! SIETE UNA MASSA DI MERDA ! SIETE UNA MASSA DI MERDA ! IRRIDUCIBILI 1987 LAZIO - ONORE E FEDELTA",Hate_Speech,external_integration,Harassment,initial_models_agree,Harassment,"Text contains direct insults, vulgar abuse, and threats.",Harassment,"The text contains direct insults, vulgar abuse, and threats of physical violence targeting a specific person and a group.",initial_models_agree,False,,,"{""final_label"":""Harassment"",""reason"":""Text contains direct insults, vulgar abuse, and threats.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains direct insults, vulgar abuse, and threats of physical violence targeting a specific person and a group.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6330,2026-06-17T03:24:39.423154+00:00,34,BR_row_00000034,,
